epoch,loss,swd,repulsive,color,oob,identity,identity_ratio,lr,data_time_sec,transfer_time_sec,fwd_loss_time_sec,backward_time_sec,optimizer_time_sec,step_overhead_time_sec,compute_time_sec,epoch_time_sec,samples_seen,samples_per_sec,compute_samples_per_sec,attn_entropy,attn_max_prob,id_swd_ratio,health_warning_count
1,7.381080627441406,3.302793264389038,0.0,0.15800534188747406,0.003598074661567807,3.9166836738586426,0.20205079019069672,6.666666666666667e-07,0.5194983980618417,0.006575600476935506,17.281610200647265,6.014790800400078,0.11947670020163059,18.191512099001557,23.42245330172591,42.13844442367554,10240,243.00849592460617,437.18733764090604,0.3006618618965149,0.5491992831230164,1.189070224761963,0.0
2,6.803040504455566,3.2725436687469482,0.0,0.14937861263751984,0.00304735847748816,3.3780715465545654,0.20400391519069672,1.3333333333333334e-06,0.47546920110471547,0.005040299613028765,11.10079149948433,1.6589610003866255,0.09934999980032444,18.755449400749058,12.86414279928431,32.098047971725464,10240,319.02251529501774,796.0110642249476,0.30031901597976685,0.5493748188018799,1.034306287765503,0.0
3,5.963935852050781,3.272826910018921,0.0,0.1477954387664795,0.0025039331521838903,2.5408108234405518,0.20283202826976776,2.0000000000000003e-06,0.4887449012603611,0.005768899340182543,11.1194597997237,1.6928653004579246,0.10086079989559948,18.707296000793576,12.918954799417406,32.11811900138855,10240,318.82315398225217,792.6337818336343,0.30023396015167236,0.5497127771377563,0.7766426205635071,0.0
4,5.07600736618042,3.248825788497925,0.0,0.14357388019561768,0.0022265834268182516,1.681382417678833,0.20126953721046448,2.666666666666667e-06,0.4765714011155069,0.005156398983672261,11.118713299743831,1.662907500518486,0.09843659959733486,18.75047290069051,12.885213798843324,32.115278244018555,10240,318.8513554886354,794.7093591042487,0.30230405926704407,0.5473597049713135,0.5183776021003723,0.0
5,4.450972080230713,3.271127700805664,0.0,0.14603117108345032,0.0021351405885070562,1.031678557395935,0.20097656548023224,3.3333333333333333e-06,0.4973115995526314,0.005595799768343568,11.110951800365001,1.6852402000222355,0.099576999200508,18.71618470014073,12.901364799356088,32.11881470680237,10240,318.81624815473947,793.7144758910376,0.3047654628753662,0.5445773601531982,0.3161291182041168,0.0
6,3.9788715839385986,3.215118885040283,0.0,0.12959806621074677,0.0023445512633770704,0.6318103671073914,0.19882813096046448,4.000000000000001e-06,0.4777201001998037,0.0051327000837773085,11.11088789999485,1.6720498001668602,0.09808190073817968,18.735931699397042,12.886152300983667,32.10303735733032,10240,318.9729334960209,794.6514801953977,0.3094322681427002,0.5391917824745178,0.1969553530216217,0.0
7,3.813990354537964,3.2534070014953613,0.0,0.13507479429244995,0.0020618257112801075,0.4234474301338196,0.19921875,4.666666666666667e-06,0.4812502006534487,0.00527610071003437,11.134772499790415,1.6653717993758619,0.10182039975188673,18.749044499825686,12.907240799628198,32.14099478721619,10240,318.59623722887613,793.3531386735243,0.31256720423698425,0.5360905528068542,0.13054682314395905,0.0
8,3.6546475887298584,3.214289903640747,0.0,0.1334797441959381,0.0019115230534225702,0.30496594309806824,0.19453124701976776,5.333333333333334e-06,0.49093270022422075,0.0054835008922964334,11.145574600202963,1.679840599419549,0.10291260038502514,18.758501798845828,12.933811300899833,32.187097787857056,10240,318.1398977780207,791.7233181906389,0.31644150614738464,0.5318883657455444,0.0951279029250145,0.0
9,3.6278553009033203,3.2441794872283936,0.0,0.14033088088035583,0.0019108988344669342,0.24143341183662415,0.20742188394069672,6e-06,0.47886860044673085,0.005514300428330898,11.143266700208187,1.667627801420167,0.10056630102917552,18.791614497778937,12.91697510308586,32.189626693725586,10240,318.11490383005855,792.755263386214,0.31803619861602783,0.5305553078651428,0.07454416155815125,0.0
10,3.5929787158966064,3.246969223022461,0.0,0.1329801082611084,0.0020693757105618715,0.21095974743366241,0.20058594644069672,6.666666666666667e-06,0.5012836994137615,0.005617500748485327,11.152098599588498,1.6914375009946525,0.10024329996667802,18.761529098497704,12.949396901298314,32.21550226211548,10240,317.8593931792257,790.7704179623479,0.318786084651947,0.530129611492157,0.06505616754293442,0.0
11,3.6058602333068848,3.2686054706573486,0.0,0.134921133518219,0.0019220663234591484,0.20041118562221527,0.20185546576976776,7.333333333333333e-06,0.478080399800092,0.005234600510448217,11.143600199604407,1.6668437996413559,0.0986509001813829,18.793806600850075,12.914329499937594,32.18920159339905,10240,318.1191049516397,792.9176656093127,0.3203147053718567,0.5286137461662292,0.061420585960149765,0.0
12,3.571962356567383,3.222295045852661,0.0,0.13361430168151855,0.0019152393797412515,0.21413879096508026,0.201171875,8.000000000000001e-06,0.49495630129240453,0.005397200118750334,11.147435799241066,1.696018899558112,0.10221790056675673,18.769242601003498,12.951069799484685,32.21768307685852,10240,317.8378772791157,790.6682736284414,0.3188158869743347,0.5303753614425659,0.06666704267263412,0.0
13,3.6317222118377686,3.2057743072509766,0.0,0.14847473800182343,0.0020597700495272875,0.2754131257534027,0.205078125,8.666666666666668e-06,0.4774860003963113,0.005321200704202056,11.133577500004321,1.6684328999835998,0.0994439001660794,18.788330000592396,12.906775500858203,32.17590069770813,10240,318.25060924337663,793.3817396389297,0.31359508633613586,0.536632239818573,0.08602923899888992,0.0
14,3.9832897186279297,3.250195026397705,0.0,0.1401059627532959,0.001994895748794079,0.5909938216209412,0.19853515923023224,9.333333333333334e-06,0.49119489965960383,0.005490400129929185,11.143576299538836,1.6665700990706682,0.10042050038464367,18.782848701113835,12.916057299124077,32.19375777244568,10240,318.07408356548905,792.811595895788,0.30398163199424744,0.5487825274467468,0.18244867026805878,0.0
15,5.154726028442383,3.2744483947753906,0.0,0.12829288840293884,0.002561080502346158,1.7494248151779175,0.20283202826976776,1e-05,0.487523200456053,0.005500100087374449,11.14290379988961,1.6742833000607789,0.1013150995131582,18.774763599736616,12.92400229955092,32.19062304496765,10240,318.10505766525745,792.3242168067253,0.30002325773239136,0.5540790557861328,0.5316019058227539,0.0
16,7.263774394989014,3.642716646194458,0.0,0.13921549916267395,0.0051290737465023994,3.476710557937622,0.20332030951976776,1e-05,0.4890775994863361,0.005467699375003576,11.137274600565434,1.65326919965446,0.09926650044508278,18.807938601356,12.89527800003998,32.19543194770813,10240,318.0575435866748,794.0891231633976,0.29867851734161377,0.5561225414276123,0.9515604972839355,0.0
17,9.016274452209473,4.030348777770996,0.0,0.14752508699893951,0.019860802218317986,4.818539619445801,0.20556640625,1e-05,0.48914539930410683,0.005517999175935984,11.14522260078229,1.6914437003433704,0.09890499897301197,18.754303401336074,12.941089299274608,32.18829846382141,10240,318.12803064161415,791.2780572941404,0.3001154959201813,0.5537302494049072,1.1955687999725342,0.0
