experiment,epoch,checkpoint,margin_mean,margin_pos_rate,diversity_lpips_across_styles_mean,identity_mse_latent_mean,content_lpips_mean,edge_sobel_l1_mean,hf_ratio_mean,patch_consistency_var_mean,delta_margin_mean,identity_degradation_ratio,delta_hf_ratio_pct,delta_diversity_lpips,is_effective,noise_shortcut,structure_break
E0_no_swd,1,/mnt/g/GitHub/Latent_Style/Thermal/unet_lite/epoch_0100.pt,-0.21482861787080765,0.25,0.38181079675753915,0.3806041479110718,0.6591580659151077,0.2571240052580833,0.0005310481166816317,1.3584987527792691e-05,,,,,,,
E1_p2,1,/mnt/g/GitHub/Latent_Style/Thermal/unet_lite/epoch_0100.pt,-0.21482861787080765,0.25,0.38181079675753915,0.3806041479110718,0.6591580659151077,0.2571240052580833,0.0005310481166816317,1.3584987527792691e-05,0.0,0.0,0.0,0.0,False,False,False
