epoch,loss,flow,kinetic_energy,ot_cost,terminal_swd,color,repulsive,plan_entropy,bridge_sigma,identity_ratio,t_mean,velocity_abs,endpoint_abs,lr,data_time_sec,forward_time_sec,backward_time_sec,optimizer_time_sec,compute_time_sec,epoch_time_sec,samples_seen,samples_per_sec
1,8.67520523071289,0.0,0.3620641231536865,0.0,3.79670786857605,4.5164313316345215,0.0,0.0,0.0,0.4862499535083771,1.0,0.318359375,0.5095386505126953,0.0003,4.244948699997622,38.65438780000841,10.40010639999673,0.08072230000834679,49.135216500013485,57.77887797355652,2400,41.53767058436823
2,8.021820068359375,0.0,0.37570425868034363,0.0,3.4926233291625977,4.1534929275512695,0.0,0.0,0.0,0.4862499535083771,1.0,0.33203125,0.4419468343257904,0.0002999537388717002,0.04523089999565855,4.876905199998873,1.1210999000104493,0.06720610001502791,6.0652112000243505,9.430971622467041,2400,254.4806724137068
3,7.862443447113037,0.0,0.40879809856414795,0.0,3.402047634124756,4.051599025726318,0.0,0.0,0.0,0.4862499535083771,1.0,0.345703125,0.4065728783607483,0.00029981498719186745,0.03995279999799095,4.930942499988305,1.0070946000050753,0.0627080999838654,6.000745199977246,9.392126560211182,2400,255.53318352494986
4,7.747873783111572,0.0,0.434559166431427,0.0,3.3165123462677,3.9968020915985107,0.0,0.0,0.0,0.4862499535083771,1.0,0.36328125,0.38384002447128296,0.0002995838400539723,0.03705379999883007,4.846157300016785,1.0397865999984788,0.0616920000029495,5.947635900018213,9.350014209747314,2400,256.6841018806174
5,7.68965482711792,0.0,0.48723891377449036,0.0,3.254213809967041,3.9482033252716064,0.0,0.0,0.0,0.4862499535083771,1.0,0.380859375,0.36870551109313965,0.0002992604558747169,0.038404899976740126,4.840204500032996,1.0703438999989885,0.061704499974439386,5.972252900006424,9.334342956542969,2400,257.11504400186027
6,7.594035625457764,0.0,0.4879709482192993,0.0,3.2003071308135986,3.905757427215576,0.0,0.0,0.0,0.4862499535083771,1.0,0.380859375,0.36286598443984985,0.0002988450562854644,0.03944590002356563,4.855050000012852,0.9969301999735762,0.05862239999260055,5.910602599979029,9.213837623596191,2400,260.47778331297224
7,7.524571418762207,0.0,0.519320011138916,0.0,3.1361992359161377,3.869051218032837,0.0,0.0,0.0,0.4862499535083771,1.0,0.390625,0.35310858488082886,0.0002983379259803436,0.04031840000243392,4.826441699966381,1.0600693000014871,0.061934200013638474,5.9484451999815064,9.326099872589111,2400,257.3423009391076
8,7.457526206970215,0.0,0.5282210111618042,0.0,3.0802974700927734,3.849008083343506,0.0,0.0,0.0,0.4862499535083771,1.0,0.39453125,0.3490913212299347,0.0002977394125211339,0.03603159999329364,4.828523200019845,1.0155977999966126,0.06029739998484729,5.904418400001305,9.249143600463867,2400,259.48348340917033
9,7.407353401184082,0.0,0.5417478084564209,0.0,3.0452792644500732,3.820326566696167,0.0,0.0,0.0,0.4862499535083771,1.0,0.40234375,0.34461918473243713,0.0002970499260990638,0.0360429999709595,4.855281699987245,1.0321486000102595,0.05882309999287827,5.946253399990383,9.313252449035645,2400,257.69729889030464
10,7.35991907119751,0.0,0.5531784296035767,0.0,3.0054314136505127,3.801309823989868,0.0,0.0,0.0,0.4862499535083771,1.0,0.404296875,0.342340886592865,0.0002962699392536863,0.03716609998809872,4.837608700014243,1.0965128999814624,0.0615867000160506,5.995708300011756,9.346204996109009,2400,256.78871809458093
11,7.300862789154053,0.0,0.5532692074775696,0.0,2.9686710834503174,3.778923273086548,0.0,0.0,0.0,0.4862499535083771,1.0,0.40234375,0.34273096919059753,0.0002953999865490242,0.037169499999436084,4.8378087999954005,0.9880847000022186,0.061121099985030014,5.887014599982649,9.21274447441101,2400,260.50869061506637
12,7.238961696624756,0.0,0.5677310228347778,0.0,2.925402879714966,3.745828866958618,0.0,0.0,0.0,0.4862499535083771,1.0,0.4140625,0.3399658203125,0.00029444066420720603,0.03876049999962561,4.8379850999990595,1.0394335000164574,0.06364830000529764,5.9410669000208145,9.234829187393188,2400,259.88569482977874
13,7.181229591369629,0.0,0.574002206325531,0.0,2.8843090534210205,3.722919225692749,0.0,0.0,0.0,0.4862499535083771,1.0,0.412109375,0.3381401002407074,0.0002933926296998457,0.039517899982456584,4.835250900003302,1.0338281000222196,0.06146480002644239,5.930543800051964,9.28140377998352,2400,258.58157417694645
14,7.146636009216309,0.0,0.5803095698356628,0.0,2.8639488220214844,3.7023773193359375,0.0,0.0,0.0,0.4862499535083771,1.0,0.4140625,0.33894699811935425,0.0002922566012974441,0.040391100010310765,4.807401799975196,1.0190924999842537,0.06143580000207294,5.8879300999615225,9.23288369178772,2400,259.9404563207813
15,7.112078666687012,0.0,0.5778746604919434,0.0,2.854448080062866,3.6797573566436768,0.0,0.0,0.0,0.4862499535083771,1.0,0.419921875,0.3438539505004883,0.0002910333575771222,0.04060170002776431,4.788437299997895,1.0344921999931103,0.06177080000634305,5.884700299997348,9.211837530136108,2400,260.5343387948939
16,7.063662528991699,0.0,0.5724181532859802,0.0,2.839454174041748,3.6517913341522217,0.0,0.0,0.0,0.4862499535083771,1.0,0.41796875,0.3444465100765228,0.0002897237368890237,0.04047319998790044,4.889753799994651,1.0583326000123634,0.057555799998226576,6.005642200005241,9.349145889282227,2400,256.70794192561885
17,6.936150550842285,0.0,0.5837005376815796,0.0,2.7862462997436523,3.5662031173706055,0.0,0.0,0.0,0.4862499535083771,1.0,0.419921875,0.34220752120018005,0.00028832863678175105,0.034638200006156694,4.812267699991935,1.0419446999876527,0.06131469997490058,5.915527099954488,9.299086809158325,2400,258.0898586338961
18,6.837612628936768,0.0,0.6006738543510437,0.0,2.771244764328003,3.465693950653076,0.0,0.0,0.0,0.4862499535083771,1.0,0.42578125,0.3457653224468231,0.00028684901338723115,0.037153200020838995,4.838666700015892,1.0935870999965118,0.058655200016801246,5.990909000029205,9.368198871612549,2400,256.1858509721077
19,6.7660112380981445,0.0,0.6216154098510742,0.0,2.762561321258545,3.381834030151367,0.0,0.0,0.0,0.4862499535083771,1.0,0.431640625,0.34329065680503845,0.0002852858807654296,0.03710790002514841,4.945735700021032,1.0524551999842515,0.061777800030540675,6.059968700035824,9.435537576675415,2400,254.35752658468382
20,6.771565914154053,0.0,0.6281468272209167,0.0,2.743084669113159,3.4003331661224365,0.0,0.0,0.0,0.4862499535083771,1.0,0.435546875,0.3420470058917999,0.00028364031020936524,0.03780499999265885,4.876667100004852,1.146765499994217,0.060211400013940874,6.08364400001301,9.37948226928711,2400,255.8776626572175
21,6.807693958282471,0.0,0.6202711462974548,0.0,2.7423324584960938,3.4450905323028564,0.0,0.0,0.0,0.4862499535083771,1.0,0.427734375,0.3429761528968811,0.00028191342951089913,0.03902370000287192,4.842927600024268,0.9869421000039438,0.05972979999205563,5.889599500020267,9.200735807418823,2400,260.848702781446
22,6.665862083435059,0.0,0.6371842622756958,0.0,2.7034084796905518,3.325270414352417,0.0,0.0,0.0,0.4862499535083771,1.0,0.435546875,0.3456045985221863,0.0002801064221878023,0.037576099966827314,4.9459830000123475,0.9911075000054552,0.06112100000609644,5.998211500023899,9.371394395828247,2400,256.0984949121744
23,6.593113422393799,0.0,0.6401666402816772,0.0,2.694284677505493,3.258662223815918,0.0,0.0,0.0,0.4862499535083771,1.0,0.435546875,0.34433650970458984,0.00027822052667263213,0.03771240000787657,4.810680100003083,1.0864775999943959,0.06050399997911882,5.9576616999765974,9.256636381149292,2400,259.2734446053739
