checkpoint,step,checkpoint_path,timestamp,clip_style,content_lpips,transfer_clip_style,transfer_content_lpips,idt_clip_style,idt_content_lpips,generation_sec,eval_sec,vae_decode_sec,wall_total_sec,summary_path,sigma,parent_delta_clip,parent_delta_lpips,raw_control_clip,raw_control_lpips,raw_control_delta_clip,raw_control_delta_lpips,i2sb_fiber_project_gate_active,i2sb_fiber_project_gate_mean,i2sb_fiber_project_gate_rms
sigma0p0,0,../exp/aaai2027_phase2_i2sb_orthogonal_lowanchor050_k070_e3_sigma0p02_b8a2_vlen010/epoch_0009.pt,2026-06-16 15:29:05,0.6900472393631935,0.3495984256,0.6900472393631935,0.3495984256,0.0,0.0,4.897406824005884,3.690074430007371,1.489278537032078,30.79901543300366,docs\experiments\phase2_fiber_bundle\eval\aaai2027_eval_fiber_project_gate_lowanchor050e9_sigma0p0\summary.json,0.0,-0.011381585001945527,-0.022604136399999974,0.6877110931277275,0.35816692075000006,0.0023361462354659634,-0.008568495150000077,1.0,0.7086156296730042,0.7087650632858277
sigma0p2,2,../exp/aaai2027_phase2_i2sb_orthogonal_lowanchor050_k070_e3_sigma0p02_b8a2_vlen010/epoch_0009.pt,2026-06-16 15:29:46,0.7023857396841049,0.3968350602499999,0.7023857396841049,0.3968350602499999,0.0,0.0,4.104516008999781,3.519459627001197,1.439092814005562,28.99924885999644,docs\experiments\phase2_fiber_bundle\eval\aaai2027_eval_fiber_project_gate_lowanchor050e9_sigma0p2\summary.json,0.2,0.0009569153189659119,0.024632498249999968,,,,,1.0,0.708700270652771,0.7088482165336609
sigma0p3,3,../exp/aaai2027_phase2_i2sb_orthogonal_lowanchor050_k070_e3_sigma0p02_b8a2_vlen010/epoch_0009.pt,2026-06-16 15:39:39,0.7127208057045936,0.43920809414999995,0.7127208057045936,0.43920809414999995,0.0,0.0,4.009597622018191,3.6252086060121655,1.441709365011775,29.374302292999346,docs\experiments\phase2_fiber_bundle\eval\aaai2027_eval_fiber_project_gate_lowanchor050e9_sigma0p3\summary.json,0.3,0.011291981339454638,0.06700553214999999,,,,,1.0,0.708790876865387,0.7089373779296875
sigma0p4,4,../exp/aaai2027_phase2_i2sb_orthogonal_lowanchor050_k070_e3_sigma0p02_b8a2_vlen010/epoch_0009.pt,2026-06-16 15:40:20,0.7193423950672149,0.48212102304999993,0.7193423950672149,0.48212102304999993,0.0,0.0,4.050801218996639,3.611790840004687,1.4387938340223627,29.226420717008295,docs\experiments\phase2_fiber_bundle\eval\aaai2027_eval_fiber_project_gate_lowanchor050e9_sigma0p4\summary.json,0.4,0.017913570702075887,0.10991846104999997,,,,,1.0,0.7089063715934754,0.7090508246421814
sigma0p5,5,../exp/aaai2027_phase2_i2sb_orthogonal_lowanchor050_k070_e3_sigma0p02_b8a2_vlen010/epoch_0009.pt,2026-06-16 15:30:27,0.7184767118096352,0.5216206533500001,0.7184767118096352,0.5216206533500001,0.0,0.0,3.988852096008486,3.5482260579883587,1.4379374450072646,28.882821321996744,docs\experiments\phase2_fiber_bundle\eval\aaai2027_eval_fiber_project_gate_lowanchor050e9_sigma0p5\summary.json,0.5,0.017047887444496257,0.14941809135000012,0.7035600009560585,0.5922244672999999,0.014916710853576709,-0.07060381394999982,1.0,0.7090351390838623,0.7091771173477173
