epoch,epoch_int,checkpoint,timestamp,transfer_clip_style,transfer_content_lpips,all_pairs_clip_style,all_pairs_content_lpips,identity_clip_style,identity_content_lpips,eval_wall_total_sec,eval_total_sec,generation_sec,vae_decode_sec,summary_path
sigma_0p0,0,exp/aaai2027_phase2_i2sb_orthogonal_lowanchor050_k070_e3_sigma0p02_b8a2_vlen010/epoch_0009.pt,2026-06-16 eval-only,0.6877110931277275,0.35816692075000006,0.6877110931277275,0.35816692075000006,0.0,0.0,,,,,docs\experiments\phase2_fiber_bundle\eval\aaai2027_eval_fiber_project_lowanchor050e9_sigma0p0\summary.json
sigma_0p5,5,exp/aaai2027_phase2_i2sb_orthogonal_lowanchor050_k070_e3_sigma0p02_b8a2_vlen010/epoch_0009.pt,2026-06-16 eval-only,0.7035600009560585,0.5922244672999999,0.7035600009560585,0.5922244672999999,0.0,0.0,,,,,docs\experiments\phase2_fiber_bundle\eval\aaai2027_eval_fiber_project_lowanchor050e9_sigma0p5\summary.json
sigma_1p0,10,exp/aaai2027_phase2_i2sb_orthogonal_lowanchor050_k070_e3_sigma0p02_b8a2_vlen010/epoch_0009.pt,2026-06-16 eval-only,0.6762682858109473,0.6841363608000001,0.6762682858109473,0.6841363608000001,0.0,0.0,,,,,docs\experiments\phase2_fiber_bundle\eval\aaai2027_eval_fiber_project_lowanchor050e9_sigma1p0\summary.json
sigma_1p5,15,exp/aaai2027_phase2_i2sb_orthogonal_lowanchor050_k070_e3_sigma0p02_b8a2_vlen010/epoch_0009.pt,2026-06-16 eval-only,0.6736374336481094,0.7081454948999999,0.6736374336481094,0.7081454948999999,0.0,0.0,,,,,docs\experiments\phase2_fiber_bundle\eval\aaai2027_eval_fiber_project_lowanchor050e9_sigma1p5\summary.json
