epoch,loss,distill,code,code_ref,code_proto,proto,style_ce,dir,proto_sep,style_pred_acc,xfer_margin,proto_cos_max,proto_cos_mean,same_id,cycle,gram,moment,push,nce,idt,w_cycle_eff,w_nce_eff,w_idt_eff,style_ref_alpha,transfer_ratio,lr,epoch_time_sec
1,16.006377363204955,0.0,0.0,0.0,0.0,0.0,1.8260154843330383,0.0,0.0,0.1990000007674098,-0.45844548419117925,0.0850341796875,0.0850341796875,0.0,0.1330141625367105,0.0,0.0,0.0,0.0,0.06811158987693489,10.0,0.0,1.0,0.0,1.0,0.0002,14.262168645858765
2,9.645795249938965,0.0,0.0,0.0,0.0,0.0,0.9904026746749878,0.0,0.0,0.5034999921917915,0.0414022522047162,0.006164455413818359,0.006164455413818359,0.0,0.163140407204628,0.0,0.0,0.0,0.0,0.09116962626576423,10.0,0.0,1.0,0.0,1.0,0.0001997071467046472,11.586897373199463
3,6.403713130950928,0.0,0.0,0.0,0.0,0.0,0.6602429658174515,0.0,0.0,0.5734999939799309,0.2548671277239919,-0.05515289306640625,-0.05515289306640625,0.0,0.10126986261457205,0.0,0.0,0.0,0.0,0.10907085724174977,10.0,0.0,1.0,0.0,1.0,0.00019883039235653812,11.504821300506592
4,4.061878895759582,0.0,0.0,0.0,0.0,0.0,0.41651643216609957,0.0,0.0,0.7659999966621399,0.460738031566143,-0.1138671875,-0.1138671875,0.0,0.05980817563831806,0.0,0.0,0.0,0.0,0.13166568316519262,10.0,0.0,1.0,0.0,1.0,0.0001973751424377793,11.3653724193573
5,2.5609636187553404,0.0,0.0,0.0,0.0,0.0,0.2255285806953907,0.0,0.0,0.9149999916553497,0.6707920283079147,-0.1248046875,-0.1248046875,0.0,0.061003143340349196,0.0,0.0,0.0,0.0,0.14670354649424552,10.0,0.0,1.0,0.0,1.0,0.0001953503690480396,11.647063493728638
6,1.7897615075111388,0.0,0.0,0.0,0.0,0.0,0.13326920978724957,0.0,0.0,0.9634999990463257,0.7825430899858474,-0.14423828125,-0.14423828125,0.0,0.05750204473733902,0.0,0.0,0.0,0.0,0.14858736395835875,10.0,0.0,1.0,0.0,1.0,0.00019276855558857225,11.438438653945923
7,1.294116985797882,0.0,0.0,0.0,0.0,0.0,0.08333881348371505,0.0,0.0,0.9950000017881393,0.8523315131664276,-0.189697265625,-0.189697265625,0.0,0.04893962014466524,0.0,0.0,0.0,0.0,0.138010248914361,10.0,0.0,1.0,0.0,1.0,0.00018964561979789495,11.572605609893799
8,1.0431390434503556,0.0,0.0,0.0,0.0,0.0,0.06148900631815195,0.0,0.0,1.0,0.8890866219997406,-0.230712890625,-0.230712890625,0.0,0.04314759373664856,0.0,0.0,0.0,0.0,0.11975107453763485,10.0,0.0,1.0,0.0,1.0,0.00018600081561363877,11.613468170166016
9,0.824850994348526,0.0,0.0,0.0,0.0,0.0,0.045750374160707,0.0,0.0,1.0,0.9154691874980927,-0.254736328125,-0.254736328125,0.0,0.03752806428819895,0.0,0.0,0.0,0.0,0.08356736861169338,10.0,0.0,1.0,0.0,1.0,0.00018185661446562003,11.64678430557251
10,0.7071207135915756,0.0,0.0,0.0,0.0,0.0,0.0385270306840539,0.0,0.0,1.0,0.9292119741439819,-0.272265625,-0.272265625,0.0,0.034348323941230774,0.0,0.0,0.0,0.0,0.05542123597115278,10.0,0.0,1.0,0.0,1.0,0.00017723856673200296,11.559892177581787
