probe_family,style_id,encoded_style_code_abs,adapted_style_code_abs,resolved_style_code_abs,pre_structured_style_code_map_abs,post_resolved_style_code_map_abs,structured_style_map_abs,style_map_abs,style_spatial_source_code_map,style_spatial_source_structured_map,style_spatial_source_legacy_zero,style_spatial_code_map_primary,style_spatial_code_map_residual,forward_abs,predict_transport_base_abs,integrate_abs
styleid_per_style,0,0.12123562395572662,0.12123562395572662,0.12601396441459656,0.06928400695323944,0.07065889239311218,0.004449946340173483,0.07118783891201019,0.0,1.0,0.0,0.0,1.0,0.18669761717319489,0.8190345168113708,0.8216897249221802
styleid_per_style,1,0.12123562395572662,0.12123562395572662,0.12274954468011856,0.06928400695323944,0.06908692419528961,0.004188192542642355,0.06896427273750305,0.0,1.0,0.0,0.0,1.0,0.18472988903522491,0.8184486627578735,0.8213742971420288
styleid_per_style,2,0.12123562395572662,0.12123562395572662,0.12395596504211426,0.06928400695323944,0.06908145546913147,0.004435323178768158,0.06961497664451599,0.0,1.0,0.0,0.0,1.0,0.18548226356506348,0.8190611600875854,0.8212751150131226
styleid_per_style,3,0.12123562395572662,0.12123562395572662,0.12483660876750946,0.06928400695323944,0.07009994983673096,0.004910867661237717,0.0702478289604187,0.0,1.0,0.0,0.0,1.0,0.18502487242221832,0.8185710310935974,0.8212185502052307
styleid_per_style,4,0.12123562395572662,0.12123562395572662,0.12397609651088715,0.06928400695323944,0.07055500149726868,0.004429509397596121,0.0696742832660675,0.0,1.0,0.0,0.0,1.0,0.18600204586982727,0.819141149520874,0.8216322660446167
