dataset,dataset_id,source,method,label,step_or_epoch,scope,count,clip_style,content_lpips,one_minus_lpips,noop_clip_style,style_gain_vs_noop,note
Legacy256 / overfit50,legacy256_overfit50,No-op audit,No-op,No-op,0,full,750,0.661913,0.000000,1.000000,0.661913,0.000000,unchanged 5x5 copy
Legacy256 / overfit50,legacy256_overfit50,SaMAM curve,SaMAM,SaMAM 14000,14000,full,750,0.696867,0.436278,0.563722,0.661913,0.034954,SaMAM best clip_style for this scope
Legacy256 / overfit50,legacy256_overfit50,SaMAM curve,SaMAM,SaMAM 25000,25000,full,750,0.693823,0.393958,0.606042,0.661913,0.031910,SaMAM best LPIPS/latest point
Legacy256 / overfit50,legacy256_overfit50,No-op audit,No-op,No-op,0,transfer,600,0.616694,0.000000,1.000000,0.616694,0.000000,unchanged 5x5 copy
Legacy256 / overfit50,legacy256_overfit50,SaMAM curve,SaMAM,SaMAM 15000,15000,transfer,600,0.673892,0.445060,0.554940,0.616694,0.057198,SaMAM best clip_style for this scope
Legacy256 / overfit50,legacy256_overfit50,SaMAM curve,SaMAM,SaMAM 25000,25000,transfer,600,0.666977,0.402174,0.597826,0.616694,0.050283,SaMAM best LPIPS/latest point
Legacy256 / overfit50,legacy256_overfit50,LANCET S-add full_eval,LANCET,S-add K-1 C-0 W-20 Col-0 e8,8,full,750,0.716724,0.461527,0.538473,0.661913,0.054810,historical 8-epoch LANCET baseline on overfit50
Legacy256 / overfit50,legacy256_overfit50,LANCET S-add full_eval,LANCET,S-add K-1 C-0 W-20 Col-0 e8,8,transfer,600,0.692537,0.471155,0.528845,0.616694,0.075843,historical 8-epoch LANCET baseline on overfit50
