dataset_id,dataset,artifact_time,primary_artifacts
legacy256_overfit50,Legacy256 / overfit50,2025-05-12 LANCET historical eval; 2026-06-01 SaMAM convergence summary; 2026-06-02 no-op audit,SchrodingerBridge/S-add__K-1_C-0_W-20_Col-0/full_eval/epoch_0008/summary.json | Related_Works/baseline_pipeline/results/samam_wsl_mamba_256_* | docs/experiments/metric_hacking_noop_20260602/legacy256_no_op_identity_5x5/summary.json
wikiart512_5style,WikiArt512-5style / 3600 per class,2025-05-31 SaMAM 512 scratch eval; 2026-06-01 LANCET local WSL eval; 2026-06-02 no-op audit,SchrodingerBridge/exp/local_wsl_wikiart512_hist_b32_e8/full_eval_epoch_0008_b2_opt_nocls/summary.json | Related_Works/baseline_pipeline/results/samam_wsl_mamba_512_scratch_clean_silent_b1_20k/formal_eval_750/step_005000/summary.json | docs/experiments/metric_hacking_noop_20260602/legacy512_no_op_identity_5x5/summary.json
distinct5_512,Distinct5-512 / 1000 per class,2026-06-02 dedicated distinct-style audit and LANCET/SaMAM curves,SchrodingerBridge/docs/experiments/distinct5_512_20260602/tables/clip_style_vs_1lpips_full_transfer_points.csv | SchrodingerBridge/docs/experiments/distinct5_512_20260602/artfid_metric_hacking/distinct5_aggregate_artfid_keypoints.csv
