method,scope,n,missing_from_method,extra_in_method,clip_style,idt_clip_style,delta_idt_clip_style,ci95_low,ci95_high,bootstrap_prob_delta_gt_0,content_lpips,metrics_path
LBM-F e1,transfer,600,0,0,0.6643604030708472,0.6399224616587162,0.02443794141213099,0.020960735976696013,0.027964538186788557,1.0,0.3245282069166667,G:\GitHub\Latent_Style\SchrodingerBridge\exp\distinct5_512_ema_variant_f_annealed_prototype_ot_queue_e3_b44_remote\full_eval\epoch_0001\metrics.csv
LBM-H e1,transfer,600,0,0,0.6652551526824634,0.6399224616587162,0.025332691023747127,0.02161102369427681,0.029099659472703935,1.0,0.32810514738333335,G:\GitHub\Latent_Style\SchrodingerBridge\exp\distinct5_512_ema_variant_h_hard_explore_queue_e3_b44_remote\full_eval\epoch_0001\metrics.csv
LBM-H e2,transfer,600,0,0,0.6683948844174544,0.6399224616587162,0.0284724227587382,0.02463053211569786,0.03237497672438622,1.0,0.3561050486333333,G:\GitHub\Latent_Style\SchrodingerBridge\exp\distinct5_512_ema_variant_h_hard_explore_queue_e3_b44_remote\full_eval\epoch_0002\metrics.csv
LBM-K e1,transfer,600,0,0,0.6711669415235519,0.6399224616587162,0.03124447986483574,0.027272895574569703,0.03524240632851919,1.0,0.37228087818333333,G:\GitHub\Latent_Style\SchrodingerBridge\exp\distinct5_512_ema_variant_k_content_adaptive_vq_queue_e3_b44_remote\full_eval\epoch_0001\metrics.csv
SaMST e5,transfer,600,0,0,0.6989188100397586,0.6399224616587162,0.05899634838104248,0.051758984327316286,0.06650605107347171,1.0,0.6334999498166667,G:\GitHub\Latent_Style\Related_Works\baseline_pipeline\results\samst_distinct5_512_real_b1_e5_20260603\eval_bundle\eval_epoch5\epoch_0005\metrics.csv
SaMST e15,transfer,600,0,0,0.69574123164018,0.6399224616587162,0.05581876998146375,0.04940037781993548,0.06247993831833203,1.0,0.6319495817333334,G:\GitHub\Latent_Style\Related_Works\baseline_pipeline\results\samst_distinct5_512_real_b2_e15_20260602\eval_epoch15\epoch_0015\metrics.csv
