dataset,dataset_id,source,method,label,step_or_epoch,scope,count,clip_style,content_lpips,one_minus_lpips,noop_clip_style,style_gain_vs_noop,note,dataset_short,selection_rule
Legacy256 / overfit50,legacy256_overfit50,No-op audit,No-op,No-op,0,transfer,600,0.616694,0.000000,1.000000,0.616694,0.000000,unchanged 5x5 copy,Legacy256,reference
Legacy256 / overfit50,legacy256_overfit50,SaMAM curve,SaMAM,SaMAM 15000,15000,transfer,600,0.673892,0.445060,0.554940,0.616694,0.057198,SaMAM best clip_style for this scope,Legacy256,max transfer style_gain_vs_noop
Legacy256 / overfit50,legacy256_overfit50,LANCET S-add full_eval,LANCET,S-add K-1 C-0 W-20 Col-0 e8,8,transfer,600,0.692537,0.471155,0.528845,0.616694,0.075843,historical 8-epoch LANCET baseline on overfit50,Legacy256,max transfer style_gain_vs_noop
WikiArt512-5style / 3600,wikiart512_5style,No-op audit,No-op,No-op,0,transfer,600,0.773026,0.000000,1.000000,0.773026,0.000000,unchanged 5x5 copy,WikiArt512-3600,reference
WikiArt512-5style / 3600,wikiart512_5style,SaMAM curve,SaMAM,SaMAM 5000,5000,transfer,600,0.784589,0.283310,0.716690,0.773026,0.011563,SaMAM best clip_style,WikiArt512-3600,max transfer style_gain_vs_noop
WikiArt512-5style / 3600,wikiart512_5style,LANCET local_wsl_wikiart512_hist_b32_e8,LANCET,local WSL hist b32 e8,8,transfer,600,0.785264,0.355736,0.644264,0.773026,0.012238,"verified LANCET epoch-8 cross-only eval, 2026-06-01 output",WikiArt512-3600,max transfer style_gain_vs_noop
Distinct5-512 / 1000,distinct5_512,No-op audit,No-op,No-op,0,transfer,600,0.639921,0.000000,1.000000,0.639921,0.000000,unchanged 5x5 copy,Distinct5-1000,reference
Distinct5-512 / 1000,distinct5_512,SaMAM curve,SaMAM,SaMAM 1250,1250,transfer,600,0.557183,0.448703,0.551297,0.639921,-0.082738,SaMAM best clip_style for this scope,Distinct5-1000,max transfer style_gain_vs_noop
Distinct5-512 / 1000,distinct5_512,LANCET variants,LANCET,K e1,1,transfer,600,0.671167,0.372281,0.627719,0.639921,0.031246,LANCET best clip_style point,Distinct5-1000,max transfer style_gain_vs_noop
