trial,epoch_dir,summary_path,p2a_valid,p2a_clip_style,p2a_clip_content,p2a_fid_baseline,p2a_fid,p2a_delta_fid,p2a_art_fid_fid,p2a_art_fid_content_lpips,p2a_art_fid,sta_art_fid,sta_fid,timestamp
trial_0044,epoch_0060,G:\GitHub\Latent_Style\Cycle-NCE\src\optuna_hpo\trial_0044\experiment\full_eval\epoch_0060\summary.json,True,0.6222403801977634,0.0,305.9299507141113,295.48368072509766,10.446269989013672,237.34704387550124,0.4144638180732727,337.4418900974628,337.4418900974628,295.48368072509766,2026-03-26 00:24:01
trial_0003,epoch_0060,G:\GitHub\Latent_Style\Cycle-NCE\src\optuna_hpo\trial_0003\experiment\full_eval\epoch_0060\summary.json,True,0.6546593608955542,0.0,305.9299507141113,296.4043312072754,9.525619506835938,235.14209733090235,0.4628784880042076,345.7181545480456,345.7181545480456,296.4043312072754,2026-03-26 00:07:12
trial_0010,epoch_0060,G:\GitHub\Latent_Style\Cycle-NCE\src\optuna_hpo\trial_0010\experiment\full_eval\epoch_0060\summary.json,True,0.6581962476174037,0.0,305.9299507141113,301.91989517211914,4.0100555419921875,238.83136672011904,0.471238873898983,353.12701874929644,353.12701874929644,301.91989517211914,2026-03-26 00:11:47
trial_0038,epoch_0060,G:\GitHub\Latent_Style\Cycle-NCE\src\optuna_hpo\trial_0038\experiment\full_eval\epoch_0060\summary.json,True,0.6378617942333221,0.0,305.9299507141113,301.61932373046875,4.310626983642578,239.77605319740724,0.4670064076781273,353.5483803265244,353.5483803265244,301.61932373046875,2026-03-26 00:20:25
trial_0005,epoch_0060,G:\GitHub\Latent_Style\Cycle-NCE\src\optuna_hpo\trial_0005\experiment\full_eval\epoch_0060\summary.json,True,0.6485508029659589,0.0,305.9299507141113,300.2133674621582,5.716583251953125,240.79905059278505,0.46210241317749023,353.7835973403563,353.7835973403563,300.2133674621582,2026-03-26 00:09:11
trial_0043,epoch_0060,G:\GitHub\Latent_Style\Cycle-NCE\src\optuna_hpo\trial_0043\experiment\full_eval\epoch_0060\summary.json,True,0.6387514924009641,0.0,305.9299507141113,300.2385025024414,5.691448211669922,239.97422119407105,0.46862343698740005,354.4318971954908,354.4318971954908,300.2385025024414,2026-03-26 00:23:08
trial_0011,epoch_0060,G:\GitHub\Latent_Style\Cycle-NCE\src\optuna_hpo\trial_0011\experiment\full_eval\epoch_0060\summary.json,True,0.6497419734795888,0.0,305.9299507141113,302.1496162414551,3.78033447265625,241.73733504051887,0.46117378026247025,355.0390298158196,355.0390298158196,302.1496162414551,2026-03-26 00:12:36
trial_0042,epoch_0060,G:\GitHub\Latent_Style\Cycle-NCE\src\optuna_hpo\trial_0042\experiment\full_eval\epoch_0060\summary.json,True,0.6339894836147626,0.0,305.9299507141113,301.2054138183594,4.724536895751953,243.23431518030745,0.4532621130347252,355.45362648491806,355.45362648491806,301.2054138183594,2026-03-26 00:22:13
trial_0000,epoch_0060,G:\GitHub\Latent_Style\Cycle-NCE\src\optuna_hpo\trial_0000\experiment\full_eval\epoch_0060\summary.json,True,0.6569621687134106,0.0,305.9299507141113,299.831111907959,6.098838806152344,240.84738055941838,0.4698628634214401,355.75442992810144,355.75442992810144,299.831111907959,2026-03-26 00:01:20
trial_0000,epoch_0060_tokenized,G:\GitHub\Latent_Style\Cycle-NCE\src\optuna_hpo\trial_0000\experiment\full_eval\epoch_0060_tokenized\summary.json,True,0.6561055424312751,0.0,305.9299507141113,300.95276260375977,4.9771881103515625,241.63683279619218,0.47015324234962463,357.01665630016606,357.01665630016606,300.95276260375977,2026-03-26 00:02:22
