epoch,checkpoint,dino_s,dino_c,clip_s,lpips
1,epoch_0001.pt,0.48420509030421577,0.8289282636220257,0.711166890223821,0.2387254145186667
2,epoch_0002.pt,0.4876535453895728,0.8073809765726327,0.7148567989667257,0.256449206988
3,epoch_0003.pt,0.4908292327572902,0.7842970909761886,0.7185138788223266,0.26372324982
4,epoch_0004.pt,0.492958078900973,0.8061130212048689,0.7164361400604248,0.26702346636266666
5,epoch_0005.pt,0.49175947372987866,0.8196158072551092,0.7101197733084361,0.26962446124666667
6,epoch_0006.pt,0.48960228349392615,0.8205409711201985,0.7095971043109894,0.27031535974
7,epoch_0007.pt,0.48869405819227296,0.8238913926184177,0.7075350369612375,0.279496610676
8,epoch_0008.pt,0.4878196300168832,0.8230451712310314,0.7065734460353851,0.28010812761733334
9,epoch_0009.pt,0.4859043110385537,0.8226151142120361,0.706565106511116,0.27615860374266665
10,epoch_0010.pt,0.4850599082671106,0.826300642212232,0.704240291039149,0.2691668515426667
11,epoch_0011.pt,0.4847184275214871,0.8249923388560613,0.7051256072918574,0.281333317564
12,epoch_0012.pt,0.4856189969057838,0.8240286738276482,0.7048740433851878,0.27998743388266667
13,epoch_0013.pt,0.4855082006156445,0.8224093608359496,0.7053271924257278,0.2859819073226667
14,epoch_0014.pt,0.48520101230591534,0.824137781659762,0.7048108075857162,0.282513135944
15,epoch_0015.pt,0.48548581210275493,0.8234136394659678,0.7049605365991592,0.28058470744266667
