method,group,experiment_name,dataset,epoch,clip_style,clip_s_delta_idt,clip_t,content_lpips,one_minus_lpips,eval_type,timestamp,source,notes
LANCET/LBM,manual,h0_vertical_fm,distinct5_512,13,0.6693,0.0293,,0.2862,0.7138,best_manual,,dashboard_best,manual baseline run
LANCET/LBM,manual,h0_vertical_fm,distinct5_512,17,0.6662,0.0263,,0.3004,0.6996,latest_manual,,dashboard_latest,manual latest epoch
LANCET/LBM,ot_rerun_auto,h0_vertical_fm,distinct5_512,7,0.6609,0.0210,0.2148,0.3647,0.6353,auto,,dashboard,
LANCET/LBM,ot_rerun_auto,h1_linear_fm,distinct5_512,5,0.6495,0.0095,0.2111,0.4627,0.5373,auto,,dashboard,
LANCET/LBM,ot_rerun_auto,h2_euclidean_ot,distinct5_512,6,0.6621,0.0222,0.2140,0.3515,0.6485,auto,,dashboard,
LANCET/LBM,ot_rerun_auto,h3_sde_noise,distinct5_512,6,0.6617,0.0218,0.2133,0.3431,0.6569,auto,,dashboard,
LANCET/LBM,ot_rerun_auto,h4_unbalanced_ot,distinct5_512,6,0.6615,0.0216,0.2132,0.3480,0.6520,auto,,dashboard,
LANCET/LBM,ot_rerun_auto,h5_topogate_attention,distinct5_512,7,0.6623,0.0224,0.2150,0.3650,0.6350,auto,,dashboard,
LANCET/LBM,ot_rerun_auto,h6_combined_topogate,distinct5_512,6,0.6619,0.0220,0.2137,0.3465,0.6535,auto,,dashboard,
LANCET/620,spatial620,620_base_swd8_sigma002_nfe8_b80_smoke,distinct5_512,1,0.7039,0.0640,,0.2862,0.7138,smoke,,dashboard,best smoke epoch1
LANCET/620,spatial620,620_base_swd8_sigma002_nfe8_b80,distinct5_512,8,0.7055,0.0656,,0.2899,0.7101,formal,,dashboard,swd8 base
LANCET/620,spatial620,620_base_epoch0008_nfe8_sigma002,distinct5_512,8,0.7055,0.0655,,0.2899,0.7101,formal,,dashboard,swd8 base epoch8
LANCET/620,spatial620,620_adapter_swd12_sigma002_nfe8_b64,distinct5_512,8,0.7046,0.0647,,0.2916,0.7084,formal,,dashboard,adapter swd12
LANCET/620,spatial620,620_adapter_swd12_sigma002_nfe8_b80_smoke,distinct5_512,1,0.7050,0.0651,,0.2926,0.7074,smoke,,dashboard,
LANCET/620,spatial620,620_gate12_adapter_swd12_sigma002_nfe8_b64,distinct5_512,8,0.7045,0.0646,,0.2918,0.7082,formal,,dashboard,gate12 adapter
LANCET/620,spatial620,620_gate12_adapter_swd12_sigma002_nfe8_b64_smoke,distinct5_512,1,0.7051,0.0652,,0.2830,0.7170,smoke,,dashboard,
LANCET/620,spatial620,620_gate12_endpoint_diag_b64_smoke_smoke,distinct5_512,1,0.7052,0.0653,,0.2830,0.7170,smoke,,dashboard,
LANCET/620,spatial620,620_contentkv_gate12_adapter_swd12_sigma002_nfe8_b64_smoke,distinct5_512,1,0.7044,0.0645,,0.2857,0.7143,smoke,,dashboard,content kv gate
LANCET/620,spatial620,620_moe_swd12_sigma002_nfe8_b64,distinct5_512,8,0.7048,0.0649,,0.2906,0.7094,formal,,dashboard,moe
LANCET/620,spatial620,620_moe_swd12_sigma002_nfe8_b64_smoke,distinct5_512,1,0.7037,0.0638,,0.2802,0.7198,smoke,,dashboard,
LANCET/620,spatial620,620_lowmix05_diag_b64_smoke,distinct5_512,1,0.7059,0.0660,,0.3492,0.6508,smoke,,dashboard,lowmix diagonal
LANCET/620,spatial620,620_lowmix05_gate12_adapter_swd12_sigma002_nfe8_b64,distinct5_512,8,0.7008,0.0609,,0.3387,0.6613,formal,,dashboard,lowmix gate12
LANCET/620,spatial620,620_swd12_epoch0008_hash_nfe8_sigma002,distinct5_512,8,0.7056,0.0657,,0.2968,0.7032,formal,,dashboard,swd12 hash eval
LANCET/620,spatial620,620_swd12_epoch0008_nfe8_sigma002,distinct5_512,8,0.7565,0.0656,,0.2968,0.7032,formal,,dashboard,swd12 base
LANCET/620,spatial620,620_swd12_epoch0008_nfe16_sigma002,distinct5_512,8,0.7055,0.0656,,0.2971,0.7029,formal,,dashboard,swd12 nfe16
LANCET/620,spatial620,620_swd12_epoch0008_nfe4_sigma002,distinct5_512,8,0.7056,0.0656,,0.2966,0.7034,formal,,dashboard,swd12 nfe4
