experiment_id,epoch,source_file,updated_at,clip_style,clip_content,content_lpips,all_clip_style,all_clip_content,all_content_lpips,all_fid,all_art_fid,all_classifier_acc,transfer_clip_style,transfer_clip_content,transfer_content_lpips,transfer_fid,transfer_art_fid,transfer_classifier_acc,photo_to_art_clip_style,photo_to_art_clip_content,photo_to_art_fid,photo_to_art_art_fid,photo_to_art_classifier_acc,summary_path
46_02_dirty_skip,80,G:\GitHub\Latent_Style\Cycle-NCE\46\46_02_dirty_skip\full_eval\epoch_0080\summary.json,2026-04-06 08:22:32,0.6974629005193711,0.7555022208,0.4780478084,0.6974629005193711,0.7555022208,0.4780478084,,,0.2173333333333333,0.6782001550495624,0.7544281124,0.4783554862166667,,,0.11333333333333333,0.6644202212492625,0.7550749029999999,,,0.016666666666666666,G:\GitHub\Latent_Style\Cycle-NCE\46\46_02_dirty_skip\full_eval\epoch_0080\summary.json
46_02_dirty_skip_distill_epochs200_tokenized_distill_epochs200_tokenized,80,G:\GitHub\Latent_Style\Cycle-NCE\46\46_02_dirty_skip\full_eval\epoch_0080_tokenized_distill_epochs200\summary.json,2026-04-06 08:26:06,0.6982872111797331,0.7556654186133334,0.47714214158666673,0.6982872111797331,0.7556654186133334,0.47714214158666673,,,0.19599999999999998,0.6784708751241366,0.7543225313666667,0.47765070486666666,,,0.08833333333333335,0.6608251045147578,0.7468025834166667,,,0.016666666666666666,G:\GitHub\Latent_Style\Cycle-NCE\46\46_02_dirty_skip\full_eval\epoch_0080_tokenized_distill_epochs200\summary.json
46_03_decoder_usurpation,40,G:\GitHub\Latent_Style\Cycle-NCE\46\46_03_decoder_usurpation\full_eval\epoch_0040\summary.json,2026-04-06 08:27:16,0.6889058119853337,0.76964316572,0.44243996724,0.6889058119853337,0.76964316572,0.44243996724,,,0.192,0.6677839446564515,0.7703154248333335,0.44126662413333334,,,0.05666666666666668,0.6538847227891287,0.76978083625,,,0.008333333333333333,G:\GitHub\Latent_Style\Cycle-NCE\46\46_03_decoder_usurpation\full_eval\epoch_0040\summary.json
46_03_decoder_usurpation_distill_epochs200_tokenized_distill_epochs200_tokenized,40,G:\GitHub\Latent_Style\Cycle-NCE\46\46_03_decoder_usurpation\full_eval\epoch_0040_tokenized_distill_epochs200\summary.json,2026-04-06 08:30:51,0.6862339211702345,0.7931754520666666,0.41544792870666664,0.6862339211702345,0.7931754520666666,0.41544792870666664,,,0.19466666666666665,0.6622283370792865,0.7936428297833334,0.41418026328333346,,,0.04666666666666667,0.6447431405385335,0.7849273946666667,,,0.008333333333333333,G:\GitHub\Latent_Style\Cycle-NCE\46\46_03_decoder_usurpation\full_eval\epoch_0040_tokenized_distill_epochs200\summary.json
46_03_decoder_usurpation,80,G:\GitHub\Latent_Style\Cycle-NCE\46\46_03_decoder_usurpation\full_eval\epoch_0080\summary.json,2026-04-06 08:32:01,0.6906753261486689,0.7655034544533333,0.45247009928,0.6906753261486689,0.7655034544533333,0.45247009928,,,0.196,0.6701843035717806,0.7674429341666668,0.45052586811666673,,,0.06166666666666666,0.6558735147118568,0.7653520208333333,,,0.016666666666666666,G:\GitHub\Latent_Style\Cycle-NCE\46\46_03_decoder_usurpation\full_eval\epoch_0080\summary.json
46_03_decoder_usurpation_distill_epochs200_tokenized_distill_epochs200_tokenized,80,G:\GitHub\Latent_Style\Cycle-NCE\46\46_03_decoder_usurpation\full_eval\epoch_0080_tokenized_distill_epochs200\summary.json,2026-04-06 08:35:37,0.6888304782311123,0.78118228172,0.43433681081333325,0.6888304782311123,0.78118228172,0.43433681081333325,,,0.2026666666666667,0.6662038097282251,0.7829484583499999,0.4326064379333333,,,0.05833333333333333,0.64824731250604,0.7787429573333334,,,0.03333333333333333,G:\GitHub\Latent_Style\Cycle-NCE\46\46_03_decoder_usurpation\full_eval\epoch_0080_tokenized_distill_epochs200\summary.json
46_04_muddy_routing,40,G:\GitHub\Latent_Style\Cycle-NCE\46\46_04_muddy_routing\full_eval\epoch_0040\summary.json,2026-04-06 08:36:48,0.6992794120311737,0.7535368291733334,0.47485933598666663,0.6992794120311737,0.7535368291733334,0.47485933598666663,,,0.212,0.680086170633634,0.7527054637833334,0.47526659260000004,,,0.10666666666666666,0.6688721324006717,0.7543523259166668,,,0.0,G:\GitHub\Latent_Style\Cycle-NCE\46\46_04_muddy_routing\full_eval\epoch_0040\summary.json
46_04_muddy_routing_distill_epochs200_tokenized_distill_epochs200_tokenized,40,G:\GitHub\Latent_Style\Cycle-NCE\46\46_04_muddy_routing\full_eval\epoch_0040_tokenized_distill_epochs200\summary.json,2026-04-06 08:40:23,0.6976209081411361,0.75745857824,0.4688106685466667,0.6976209081411361,0.75745857824,0.4688106685466667,,,0.20266666666666666,0.67821063225468,0.7573768157333333,0.46933828994999993,,,0.08666666666666667,0.6688886235157648,0.7485763024166665,,,0.016666666666666666,G:\GitHub\Latent_Style\Cycle-NCE\46\46_04_muddy_routing\full_eval\epoch_0040_tokenized_distill_epochs200\summary.json
46_04_muddy_routing,80,G:\GitHub\Latent_Style\Cycle-NCE\46\46_04_muddy_routing\full_eval\epoch_0080\summary.json,2026-04-06 08:41:36,0.6986444412867227,0.7563713131733334,0.4754934386533333,0.6986444412867227,0.7563713131733334,0.4754934386533333,,,0.18666666666666668,0.6790094414353371,0.7554424105166666,0.47578912891666664,,,0.085,0.6662017231186231,0.7602944610833334,,,0.0,G:\GitHub\Latent_Style\Cycle-NCE\46\46_04_muddy_routing\full_eval\epoch_0080\summary.json
46_04_muddy_routing_distill_epochs200_tokenized_distill_epochs200_tokenized,80,G:\GitHub\Latent_Style\Cycle-NCE\46\46_04_muddy_routing\full_eval\epoch_0080_tokenized_distill_epochs200\summary.json,2026-04-06 08:45:14,0.7010832417805989,0.7573415533866669,0.47313666002666666,0.7010832417805989,0.7573415533866669,0.47313666002666666,,,0.2,0.6813285385568936,0.7561257704333332,0.4735314416666666,,,0.09,0.6660480067133904,0.7500207995833333,,,0.016666666666666666,G:\GitHub\Latent_Style\Cycle-NCE\46\46_04_muddy_routing\full_eval\epoch_0080_tokenized_distill_epochs200\summary.json
46_08_natural_spectrum_reset,40,G:\GitHub\Latent_Style\Cycle-NCE\46_08_natural_spectrum_reset\full_eval\epoch_0040\summary.json,2026-04-06 09:40:26,0.6983144657214482,0.78310752768,0.4315015861333334,0.6983144657214482,0.78310752768,0.4315015861333334,,,0.20666666666666667,0.6749377986292044,0.7822083120666666,0.43207835403333333,,,0.06666666666666667,0.6601747204860051,0.7601731008333332,,,0.058333333333333334,G:\GitHub\Latent_Style\Cycle-NCE\46_08_natural_spectrum_reset\full_eval\epoch_0040\summary.json
46_08_natural_spectrum_reset_distill_epochs200_tokenized,40,G:\GitHub\Latent_Style\Cycle-NCE\46_08_natural_spectrum_reset\full_eval\epoch_0040_tokenized_distill_epochs200\summary.json,2026-04-06 09:44:03,0.6944029677708943,0.7989085901733334,0.41413625870666665,0.6944029677708943,0.7989085901733334,0.41413625870666665,,,0.20400000000000001,0.6692613772551219,0.79855625915,0.41464771733333333,,,0.06166666666666667,0.6475162774324417,0.7773133716666667,,,0.04166666666666667,G:\GitHub\Latent_Style\Cycle-NCE\46_08_natural_spectrum_reset\full_eval\epoch_0040_tokenized_distill_epochs200\summary.json
46_08_natural_spectrum_reset,80,G:\GitHub\Latent_Style\Cycle-NCE\46_08_natural_spectrum_reset\full_eval\epoch_0080\summary.json,2026-04-06 10:23:32,0.6998435691595077,0.7904564823333334,0.4325140324133333,0.6998435691595077,0.7904564823333334,0.4325140324133333,,,0.204,0.6759937108059726,0.7898736598333332,0.4328145837499999,,,0.07833333333333334,0.6624681641658148,0.7568391334166666,,,0.08333333333333333,G:\GitHub\Latent_Style\Cycle-NCE\46_08_natural_spectrum_reset\full_eval\epoch_0080\summary.json
46_08_natural_spectrum_reset_distill_epochs200_tokenized,80,G:\GitHub\Latent_Style\Cycle-NCE\46_08_natural_spectrum_reset\full_eval\epoch_0080_tokenized_distill_epochs200\summary.json,2026-04-06 10:27:12,0.6984341713587443,0.7966615925333334,0.4250887329333333,0.6984341713587443,0.7966615925333334,0.4250887329333333,,,0.20533333333333334,0.673949059943358,0.7961859122833334,0.4255312629333333,,,0.075,0.657140351831913,0.7623882435833333,,,0.075,G:\GitHub\Latent_Style\Cycle-NCE\46_08_natural_spectrum_reset\full_eval\epoch_0080_tokenized_distill_epochs200\summary.json
