source,run,path,images,ref_match,lpips,clip_style,clip_content,ssim_y,edge_f1,blur_style_drop,down_style_drop,extra_edge_rate,chroma_speckle_z,flat_chroma_hf_z,musiq,maniqa,dists_content,fft_radial_kl_style,fft_slope_error,chroma_grain_index,hf_patch_kid,plain_kid,has_protocol_eval,has_guard_eval,has_artifact_pack,has_hf_patch_kid,has_plain_kid,checkpoints,has_summary,train_status,train_sec,infer_status,infer_sec,sec_per_image,parent
run_511_outputs,stytr2_smoke4,Related_Works/run_511/outputs/stytr2_smoke4,0,,,,,,,,,,,,,,,,,,,,False,False,,,,0,True,failed,5.469,,,,
run_511_outputs,stytr2_smoke5,Related_Works/run_511/outputs/stytr2_smoke5,0,,,,,,,,,,,,,,,,,,,,False,False,,,,3,True,ok,372.048,failed,7.055,,
run_511_outputs,stytr2_smoke6,Related_Works/run_511/outputs/stytr2_smoke6,5,,,,,,,,,,,,,,,,,,,,False,False,,,,3,True,ok,59.25,ok,35.81,,
legacy_runs_images,web,Related_Works/runs/cut_5x5/checkpoints/cut_to_cezanne/web/images,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Related_Works/runs/cut_5x5/checkpoints/cut_to_cezanne/web
legacy_runs_images,web,Related_Works/runs/cut_5x5/checkpoints/cut_to_Hayao/web/images,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Related_Works/runs/cut_5x5/checkpoints/cut_to_Hayao/web
legacy_runs_images,web,Related_Works/runs/cut_5x5/checkpoints/cut_to_monet/web/images,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Related_Works/runs/cut_5x5/checkpoints/cut_to_monet/web
legacy_runs_images,web,Related_Works/runs/cut_5x5/checkpoints/cut_to_photo/web/images,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Related_Works/runs/cut_5x5/checkpoints/cut_to_photo/web
legacy_runs_images,web,Related_Works/runs/cut_5x5/checkpoints/cut_to_vangogh/web/images,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Related_Works/runs/cut_5x5/checkpoints/cut_to_vangogh/web
legacy_runs_images,infer_5x5,Related_Works/runs/cut_5x5/cut_repo/infer_5x5/images,1250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Related_Works/runs/cut_5x5/cut_repo/infer_5x5
legacy_runs_images,infer_val_clean_5x5,Related_Works/runs/cut_5x5/cut_repo/infer_val_clean_5x5/images,1250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Related_Works/runs/cut_5x5/cut_repo/infer_val_clean_5x5
legacy_runs_images,infer_5x5,Related_Works/runs/cut_5x5/infer_5x5/images,1250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Related_Works/runs/cut_5x5/infer_5x5
legacy_runs_images,infer_val_clean_5x5,Related_Works/runs/cut_5x5/infer_val_clean_5x5/images,1250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Related_Works/runs/cut_5x5/infer_val_clean_5x5
legacy_runs_images,s2wat_bs1_safe_e2000_5x5,Related_Works/runs/s2wat_bs1_safe_e2000_5x5/images,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Related_Works/runs/s2wat_bs1_safe_e2000_5x5
legacy_runs_images,s2wat_bs1_safe_e2000_full_eval,Related_Works/runs/s2wat_bs1_safe_e2000_full_eval/images,1495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Related_Works/runs/s2wat_bs1_safe_e2000_full_eval
legacy_runs_images,s2wat_bs1_safe_e5_5x5,Related_Works/runs/s2wat_bs1_safe_e5_5x5/images,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Related_Works/runs/s2wat_bs1_safe_e5_5x5
legacy_runs_images,str_0.80,Related_Works/runs/sd15_native_i2i/str_0.80/images,291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Related_Works/runs/sd15_native_i2i/str_0.80
legacy_runs_images,str_0.10,Related_Works/runs/sdedit_multi/str_0.10/images,1250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Related_Works/runs/sdedit_multi/str_0.10
legacy_runs_images,str_0.20,Related_Works/runs/sdedit_multi/str_0.20/images,1250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Related_Works/runs/sdedit_multi/str_0.20
legacy_runs_images,str_0.35,Related_Works/runs/sdedit_multi/str_0.35/images,1250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Related_Works/runs/sdedit_multi/str_0.35
legacy_runs_images,str_0.40,Related_Works/runs/sdedit_multi/str_0.40/images,1250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Related_Works/runs/sdedit_multi/str_0.40
legacy_runs_images,sdturbo_5x5,Related_Works/runs/sdturbo_5x5/images,1250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Related_Works/runs/sdturbo_5x5
