sample_index,source_style_id,target_style_id,stage,latent_mean,latent_std,latent_abs_mean,latent_low_std,latent_high_rms,latent_low_abs,img_mean,img_std,img_grad_rms,img_high_rms,to_target_latent_delta_abs,to_target_latent_delta_rms,to_target_img_delta_abs,to_target_img_delta_rms,to_source_latent_delta_abs,to_source_latent_delta_rms,to_source_img_delta_abs,to_source_img_delta_rms,num_steps,sigma_eval
0,4,3,source_latent,-0.18146203458309174,0.6622378826141357,0.5561881065368652,0.31679025292396545,0.5651677846908569,0.28188222646713257,0.40622657537460327,0.19283533096313477,0.13187652826309204,0.09672848880290985,0.8104442954063416,1.0201112031936646,0.2608800530433655,0.3147193193435669,,,,,,
0,4,3,target_latent,-0.21124115586280823,0.8001739382743835,0.6618680357933044,0.6301246285438538,0.4491539001464844,0.540264904499054,0.17222653329372406,0.12987393140792847,0.02902926690876484,0.024711694568395615,,,,,0.8104442954063416,1.0201112031936646,0.2608800530433655,0.3147193193435669,,
0,4,3,predict_endpoint_t0,-0.11797463148832321,0.5869864821434021,0.48406222462654114,0.20517310500144958,0.5455756783485413,0.18528911471366882,0.4275630712509155,0.1588212549686432,0.13271769881248474,0.09339698404073715,0.7807623744010925,0.9823946356773376,0.27707675099372864,0.3171534240245819,0.11898994445800781,0.1574440896511078,0.05591648444533348,0.07201763987541199,0,0.02
0,4,3,integrate_nfe_1,-0.11797463148832321,0.5869864821434021,0.48406222462654114,0.20517310500144958,0.5455756783485413,0.18528911471366882,0.4275630712509155,0.1588212549686432,0.13271769881248474,0.09339698404073715,0.7807623744010925,0.9823946356773376,0.27707675099372864,0.3171534240245819,0.11898994445800781,0.1574440896511078,0.05591648444533348,0.07201763987541199,1,0.02
0,4,3,integrate_nfe_4,-0.12610037624835968,0.5907033085823059,0.48847460746765137,0.2143515646457672,0.5453972220420837,0.19425396621227264,0.4218820631504059,0.16072764992713928,0.1317354291677475,0.09296794980764389,0.7795751690864563,0.9810084700584412,0.271902859210968,0.31298407912254333,0.10925684869289398,0.14395712316036224,0.05108053982257843,0.06679578125476837,4,0.02
1,0,1,source_latent,0.10482176393270493,0.986697256565094,0.7623160481452942,0.7083356380462646,0.6147476434707642,0.5378062129020691,0.4375651478767395,0.24231930077075958,0.04662330448627472,0.06074468046426773,1.099876880645752,1.4213929176330566,0.3458661139011383,0.4104969799518585,,,,,,
1,0,1,target_latent,-0.054572008550167084,0.9538057446479797,0.7795548439025879,0.6542631983757019,0.6156182289123535,0.5482325553894043,0.349440336227417,0.27219340205192566,0.06946666538715363,0.06766749173402786,,,,,1.099876880645752,1.4213929176330566,0.3458661139011383,0.4104969799518585,,
1,0,1,predict_endpoint_t0,0.07425466179847717,0.8089666366577148,0.6288847923278809,0.5092698335647583,0.5897052884101868,0.3871440589427948,0.4366128742694855,0.2167281061410904,0.05717560276389122,0.06880825012922287,1.009509563446045,1.28864586353302,0.3314601480960846,0.3926122188568115,0.1714906394481659,0.23502428829669952,0.037289902567863464,0.04717940837144852,0,0.02
1,0,1,integrate_nfe_1,0.07425466179847717,0.8089666366577148,0.6288847923278809,0.5092698335647583,0.5897052884101868,0.3871440589427948,0.4366128742694855,0.2167281061410904,0.05717560276389122,0.06880825012922287,1.009509563446045,1.28864586353302,0.3314601480960846,0.3926122188568115,0.1714906394481659,0.23502428829669952,0.037289902567863464,0.04717940837144852,1,0.02
1,0,1,integrate_nfe_4,0.07658889889717102,0.8162935972213745,0.6349735260009766,0.5199888348579407,0.5891342759132385,0.3963930904865265,0.4362385869026184,0.21747219562530518,0.056296512484550476,0.06810159981250763,1.0121572017669678,1.2931525707244873,0.3317212164402008,0.39293500781059265,0.16223526000976562,0.22183755040168762,0.03529350832104683,0.04456675052642822,4,0.02
