batch_size,checkpoint_dir,elapsed_sec,images,images_dir,log_path,max_iter,returncode,stage,status
1,G:\GitHub\Latent_Style\Related_Works\run_511\outputs\review_baseline_suite_smoke2\stytr2\checkpoints\stytr2,13.396,,,G:\GitHub\Latent_Style\Related_Works\run_511\outputs\review_baseline_suite_smoke2\stytr2\logs\stytr2_train.log,1,0,train,ok
,,29.129,5,G:\GitHub\Latent_Style\Related_Works\run_511\outputs\review_baseline_suite_smoke2\stytr2\infer_750\images,,,,infer,ok
