point_id,source,superfamily,family,variant,label,trace_id,clip_style,content_lpips,one_minus_lpips,train_min,train_time_sec,order,note,label_dx,label_dy,source_summary,style_minus_idt
inmortal::aaai2027_inmortal_k_manifold_seed42_b16::epoch_0006,inmortal_epoch,Kinetic-only,K_manifold,aaai2027_inmortal_k_manifold_seed42_b16,K_manifold epoch_0006,aaai2027_inmortal_k_manifold_seed42_b16,0.678891909221808,0.33494376191666664,0.6650562380833334,23.169065244992574,1390.1439146995544,6.0,/mnt/i/Github/Latent_Style/SchrodingerBridge/exp/aaai2027_inmortal_k_manifold_seed42_b16/full_eval_fast_snapshot/epoch_0006/summary.json,,,,
inmortal::aaai2027_inmortal_k_manifold_seed42_b16::epoch_0007,inmortal_epoch,Kinetic-only,K_manifold,aaai2027_inmortal_k_manifold_seed42_b16,K_manifold epoch_0007,aaai2027_inmortal_k_manifold_seed42_b16,0.6776238532861074,0.3373367194,0.6626632806,28.116785061359405,1687.0071036815643,7.0,/mnt/i/Github/Latent_Style/SchrodingerBridge/exp/aaai2027_inmortal_k_manifold_seed42_b16/full_eval_fast_snapshot/epoch_0007/summary.json,,,,
inmortal::aaai2027_inmortal_k_manifold_seed42_b16::epoch_0008,inmortal_epoch,Kinetic-only,K_manifold,aaai2027_inmortal_k_manifold_seed42_b16,K_manifold epoch_0008,aaai2027_inmortal_k_manifold_seed42_b16,0.6777571429808934,0.3492977732666666,0.6507022267333333,32.41716198126475,1945.029718875885,8.0,/mnt/i/Github/Latent_Style/SchrodingerBridge/exp/aaai2027_inmortal_k_manifold_seed42_b16/full_eval_fast_snapshot/epoch_0008/summary.json,,,,
inmortal::aaai2027_inmortal_k_spatial_seed42_b16::epoch_0001,inmortal_epoch,Kinetic-only,K_spatial,aaai2027_inmortal_k_spatial_seed42_b16,K_spatial epoch_0001,aaai2027_inmortal_k_spatial_seed42_b16,0.6782132225235304,0.34251621005,0.65748378995,3.126682118574778,187.6009271144867,1.0,/mnt/i/Github/Latent_Style/SchrodingerBridge/exp/aaai2027_inmortal_k_spatial_seed42_b16/full_eval_fast_snapshot/epoch_0001/summary.json,,,,
inmortal::aaai2027_inmortal_k_spatial_seed42_b16::epoch_0002,inmortal_epoch,Kinetic-only,K_spatial,aaai2027_inmortal_k_spatial_seed42_b16,K_spatial epoch_0002,aaai2027_inmortal_k_spatial_seed42_b16,0.6742245365182559,0.32484316988333334,0.6751568301166666,6.194046099980672,371.64276599884033,2.0,/mnt/i/Github/Latent_Style/SchrodingerBridge/exp/aaai2027_inmortal_k_spatial_seed42_b16/full_eval_fast_snapshot/epoch_0002/summary.json,,,,
inmortal::aaai2027_inmortal_k_spatial_seed42_b16::epoch_0003,inmortal_epoch,Kinetic-only,K_spatial,aaai2027_inmortal_k_spatial_seed42_b16,K_spatial epoch_0003,aaai2027_inmortal_k_spatial_seed42_b16,0.6758344767491022,0.3433547839833333,0.6566452160166667,9.264096756776175,555.8458054065704,3.0,/mnt/i/Github/Latent_Style/SchrodingerBridge/exp/aaai2027_inmortal_k_spatial_seed42_b16/full_eval_fast_snapshot/epoch_0003/summary.json,,,,
inmortal::aaai2027_inmortal_k_spatial_seed42_b16::epoch_0004,inmortal_epoch,Kinetic-only,K_spatial,aaai2027_inmortal_k_spatial_seed42_b16,K_spatial epoch_0004,aaai2027_inmortal_k_spatial_seed42_b16,0.6693764889240266,0.3484799770166666,0.6515200229833333,12.333494087060293,740.0096452236176,4.0,/mnt/i/Github/Latent_Style/SchrodingerBridge/exp/aaai2027_inmortal_k_spatial_seed42_b16/full_eval_fast_snapshot/epoch_0004/summary.json,,,,
inmortal::aaai2027_inmortal_k_spatial_seed42_b16::epoch_0005,inmortal_epoch,Kinetic-only,K_spatial,aaai2027_inmortal_k_spatial_seed42_b16,K_spatial epoch_0005,aaai2027_inmortal_k_spatial_seed42_b16,0.6759658816456794,0.3691344807,0.6308655193,15.394564632574717,923.673877954483,5.0,/mnt/i/Github/Latent_Style/SchrodingerBridge/exp/aaai2027_inmortal_k_spatial_seed42_b16/full_eval_fast_snapshot/epoch_0005/summary.json,,,,
inmortal::aaai2027_inmortal_k_spatial_seed42_b16::epoch_0006,inmortal_epoch,Kinetic-only,K_spatial,aaai2027_inmortal_k_spatial_seed42_b16,K_spatial epoch_0006,aaai2027_inmortal_k_spatial_seed42_b16,0.6786541855335236,0.3504637836833333,0.6495362163166667,18.45232949256897,1107.1397695541382,6.0,/mnt/i/Github/Latent_Style/SchrodingerBridge/exp/aaai2027_inmortal_k_spatial_seed42_b16/full_eval_fast_snapshot/epoch_0006/summary.json,,,,
inmortal::aaai2027_inmortal_k_spatial_seed42_b16::epoch_0007,inmortal_epoch,Kinetic-only,K_spatial,aaai2027_inmortal_k_spatial_seed42_b16,K_spatial epoch_0007,aaai2027_inmortal_k_spatial_seed42_b16,0.6773152541120847,0.3468723858083333,0.6531276141916667,21.52355899810791,1291.4135398864746,7.0,/mnt/i/Github/Latent_Style/SchrodingerBridge/exp/aaai2027_inmortal_k_spatial_seed42_b16/full_eval_fast_snapshot/epoch_0007/summary.json,,,,
