method,group,checkpoint_kind,checkpoint,train_wall_hours,time_note,transfer_clip_style,transfer_lpips,all_pairs_clip_style,all_pairs_lpips,label,display_label,marker,color,dx,dy,size
W5 SaMAM best-CLIP,samam,step,step_005750,,step_based_train_wall_not_backfilled,0.617343221505483,0.35035002425312994,0.6331388122240702,0.34136862100164095,W5 SaMAM best-CLIP,W5 SaMAM best-CLIP,D,#D64045,8,8,76
W5 SaMAM best-LPIPS,samam,step,step_019500,,step_based_train_wall_not_backfilled,0.5998508524894715,0.22085246174285808,0.6225993730227153,0.2124233960757653,W5 SaMAM best-LPIPS,W5 SaMAM best-LPIPS,s,#B45309,-118,-6,76
W5 SaMAM latest,samam,step,step_023000,,step_based_train_wall_not_backfilled,0.5953483907878399,0.2245745631804069,0.6188204537630081,0.21585312220454217,W5 SaMAM latest,W5 SaMAM latest,>,#B45309,8,-18,76
AttnSA best-style,attn_sa_mod,epoch,epoch_0001,,remote_train_wall_not_backfilled,0.6955237169067064,0.4686357387666667,0.7177627764542897,0.46505522692,AttnSA best-style,AttnSA best-style,^,#1D4ED8,8,10,76
AttnSA best-LPIPS,attn_sa_mod,epoch,epoch_0008,,remote_train_wall_not_backfilled,0.6919832768042882,0.44155420176666665,0.7159920731385548,0.43783245552000005,AttnSA best-LPIPS,AttnSA best-LPIPS,v,#1D4ED8,-108,-12,76
AttnSA latest,attn_sa_mod,epoch,epoch_0024,,remote_train_wall_not_backfilled,0.692631128380696,0.45077136206666674,0.7160886365969975,0.44696262254666663,AttnSA latest,AttnSA latest,>,#1D4ED8,8,6,76
GatedSPADE best-style,attn_gated_spade,epoch,epoch_0001,,runtime_curve_missing_epoch1_wall,0.6928889000912506,0.4500801226499999,0.7158449338674545,0.44641429182666664,GatedSPADE best-style,GatedSPADE best-style,P,#16A085,8,8,76
GatedSPADE best-LPIPS,attn_gated_spade,epoch,epoch_0022,,runtime_curve_not_complete_after_e20,0.6909810468554497,0.4252276106833334,0.7155702382723491,0.42199304124000003,GatedSPADE best-LPIPS,GatedSPADE best-LPIPS,X,#16A085,8,-16,76
GatedSPADE latest,attn_gated_spade,epoch,epoch_0026,,segmented_continuation_remote_latest,0.6887121710181237,0.42654630330000004,0.7142082928816478,0.42154578794666664,GatedSPADE latest,GatedSPADE latest,>,#16A085,8,6,76
SaMST e5,samst,epoch,epoch_0005,8.396,local_wsl_public_common_frontier_first_common_eval,0.688928875029087,0.6205859732833333,0.7181546307404836,0.6128266786266667,SaMST e5,SaMST e5,X,#B76E12,26,-32,76
SaMST e10,samst,epoch,epoch_0010,8.396,local_wsl_public_common_frontier_latest_common_eval,0.6861710677544277,0.62034543985,0.7162767504056294,0.6125028583733334,SaMST e10,SaMST e10,s,#B76E12,20,16,76
SaMST e15,samst,epoch,epoch_0015,8.396,local_wsl_public_common_frontier_latest_common_eval,0.6884235148628552,0.6198419745499999,0.7185584580898285,0.6118309254933333,SaMST e15,SaMST e15,^,#B76E12,28,-8,76
UNSB e18 frontier,solver_unsb_cycle,epoch,epoch_0018,,remote_segmented_recovery_frontier,0.701165763537089,0.5041099872666666,0.7207965766588846,0.4901232141333333,UNSB e18 frontier,UNSB e18 frontier,h,#7C3AED,28,-26,82
Seedream-4.5,seedream,training_free,training_free,0.0,external_no_training,0.6920,0.4923,,,Seedream-4.5,Seedream-4.5,*,#C58A2B,-66,10,82
