method,run,images,Early_Renaissance_content_edge_energy_share_up,Early_Renaissance_content_edge_purity_up,Early_Renaissance_flat_chroma_energy_share_down,Early_Renaissance_flat_chroma_residual_down,Early_Renaissance_flat_edge_energy_share_down,Early_Renaissance_lowpass_grad_corr_up,Early_Renaissance_orientation_consistency_up,Early_Renaissance_strong_edge_extra_rate_down,Early_Renaissance_strong_edge_flat_rate_down,Impressionism_content_edge_energy_share_up,Impressionism_content_edge_purity_up,Impressionism_flat_chroma_energy_share_down,Impressionism_flat_chroma_residual_down,Impressionism_flat_edge_energy_share_down,Impressionism_lowpass_grad_corr_up,Impressionism_orientation_consistency_up,Impressionism_strong_edge_extra_rate_down,Impressionism_strong_edge_flat_rate_down,Minimalism_content_edge_energy_share_up,Minimalism_content_edge_purity_up,Minimalism_flat_chroma_energy_share_down,Minimalism_flat_chroma_residual_down,Minimalism_flat_edge_energy_share_down,Minimalism_lowpass_grad_corr_up,Minimalism_orientation_consistency_up,Minimalism_strong_edge_extra_rate_down,Minimalism_strong_edge_flat_rate_down,Rococo_content_edge_energy_share_up,Rococo_content_edge_purity_up,Rococo_flat_chroma_energy_share_down,Rococo_flat_chroma_residual_down,Rococo_flat_edge_energy_share_down,Rococo_lowpass_grad_corr_up,Rococo_orientation_consistency_up,Rococo_strong_edge_extra_rate_down,Rococo_strong_edge_flat_rate_down,Ukiyo_e_content_edge_energy_share_up,Ukiyo_e_content_edge_purity_up,Ukiyo_e_flat_chroma_energy_share_down,Ukiyo_e_flat_chroma_residual_down,Ukiyo_e_flat_edge_energy_share_down,Ukiyo_e_lowpass_grad_corr_up,Ukiyo_e_orientation_consistency_up,Ukiyo_e_strong_edge_extra_rate_down,Ukiyo_e_strong_edge_flat_rate_down,content_edge_energy_share_up,content_edge_purity_up,flat_chroma_energy_share_down,flat_chroma_residual_down,flat_edge_energy_share_down,lowpass_grad_corr_up,orientation_consistency_up,strong_edge_extra_rate_down,strong_edge_flat_rate_down
LBM,LBM-K_e1,450,0.6701966967847612,0.5533587814131437,0.33383647145496476,0.0034599653587469624,0.2066319293446011,0.8684855420136497,0.7676457994514041,0.10578329321081839,0.06517026639089502,0.6698175768057505,0.5478399971906361,0.3396638520889812,0.0031856524551080335,0.20536951606886256,0.8689337381567537,0.7640845298767089,0.11428248510946101,0.06796754032030199,0.661795801586575,0.4839600442152743,0.3649773442082935,0.002135840001412564,0.22002500852362977,0.7540742581331936,0.7689582659138574,0.14794584025587992,0.09720159585890438,0.6850149644745721,0.567383288351476,0.3276846071912183,0.0033348074545049007,0.19729886183308232,0.8709876835255044,0.7700015657477909,0.09887087966913877,0.06400838980782272,0.6678003953562842,0.5482298414579484,0.34142729631728597,0.003209482112692462,0.20689606378889747,0.8689324637828166,0.7679743256833819,0.11169430034245413,0.0664293222120503,0.6709250870015886,0.5401543905256957,0.3415179142521487,0.0030651494764929845,0.20724427591181463,0.8462827371223836,0.7677328973346287,0.11571535971755044,0.07215542291799487
LBM,LBM-Knee_e13,450,0.573422743876775,0.28750016607189904,0.3286175270047453,0.004470916981032739,0.28552716101209324,0.4948580505789871,0.7209368666013082,0.31257247482453465,0.20906316753127863,0.6129819767342674,0.3909440091971782,0.32754890794555347,0.0038815539058608315,0.25507858763966296,0.6476444601394693,0.7069738202624851,0.21214073395947058,0.14048870353417195,0.5753040472666423,0.24589840146736835,0.34178276740842395,0.0023657485868574845,0.288429698223869,0.42237339209378627,0.6697863678137461,0.30007007312469625,0.21399993218729868,0.47479879127608404,0.027787215019464823,0.34851641919877796,0.00421267908014771,0.36922175197137724,0.1617005383123555,0.686457257800632,0.5269126007301168,0.3838820511081726,0.6639797488848368,0.4864813994820764,0.3250605694121785,0.0030212596563311913,0.2162561354537805,0.76581702358953,0.7165365265475379,0.14557239570971645,0.0973213982979012,0.5800974616077211,0.28772223824759735,0.3343052381939358,0.0035904316420459913,0.2829026668601566,0.49847869294282565,0.7001381678051418,0.29945365566970694,0.2089510505317646
LBM,LBM-PS-v2_e13,450,0.48612928953435686,0.14270618293999546,0.39296653005811905,0.003548316890373826,0.34780109822750094,0.3858843826572894,0.6664313832918803,0.36955887837792023,0.2476971936843771,0.46348567108313243,0.09846775967420306,0.4219442973534266,0.0025951094783118202,0.36166491326358585,0.3517075960150142,0.6557653612560697,0.39217780490285836,0.2582737146667571,0.510359318388833,0.17090280833346252,0.41755448712242976,0.001539105555922207,0.3329937934047646,0.42615953050879707,0.6715035941865709,0.3448795759445744,0.23610235197052407,0.461458150545756,0.06709327800311035,0.40843101574314966,0.002936118473816249,0.3714511407746209,0.2946120358354138,0.6616219520568848,0.4374393923981962,0.3077555126075114,0.467981669637892,0.09684180347816539,0.42275292807155185,0.002420992186913888,0.35778884324762555,0.33701088823306397,0.6582333061430189,0.3925213892562077,0.2563681777596944,0.477882819837994,0.11520236648578736,0.41272985166973536,0.002607928517067598,0.35433995778361954,0.35907488664991566,0.6627111193868849,0.38731540817595134,0.2612393901377728
SaMST,SaMST_e15,450,0.4961250889632437,0.1064546416374137,0.38527391652266185,0.012489042074109117,0.33253789361980224,0.3420967972233191,0.6054795053270128,0.4075599859853751,0.27069248070163543,0.4926490869787004,0.13149581316471684,0.3835467967722151,0.008794684138976865,0.33514057728979324,0.3955437873296131,0.6045556233988868,0.3795736841510414,0.251599814645283,0.4582957441608111,0.03136414509993116,0.3783724688821369,0.005933076259680092,0.3499485206272867,0.2725650144102436,0.5608819723129272,0.4720577764215237,0.30048486081443054,0.4877876391013463,0.11851572015222281,0.39877643055386014,0.011912654360963238,0.3386062181658215,0.3712421623295658,0.6074609657128652,0.37356095796742733,0.2507092078346274,0.49627464413642886,0.11976706012886251,0.39949375241994856,0.01665096953511238,0.3305123559302754,0.37849055457411807,0.602704252799352,0.3881621627730874,0.25732998790673495,0.48622644066810605,0.1015194760366294,0.3890926730301645,0.01115608527376834,0.3373491131265958,0.35198766317337193,0.5962164639102088,0.404182913459691,0.26616327038054227
Seedream,Seedream_repaired750,450,0.6138851126035054,0.40366589900549565,0.3316834519306819,0.004289354427924587,0.241137846145365,0.6260966878111212,0.778839482863744,0.2361046123939014,0.15323410074706992,0.6596420702007082,0.5365496182080651,0.29528078503078886,0.006984403853615125,0.19763403129246498,0.778683351301433,0.8150785618358188,0.15084031239051074,0.08495801263576667,0.7251732577880223,0.45922634939711815,0.2643643620941374,0.005015374149661511,0.1774825475903021,0.6116132744513035,0.7217249476247364,0.2389855219882684,0.15240565557929,0.49682520975669225,0.17164674984226921,0.4119462678829829,0.010388927640289897,0.334022156894207,0.4464625064422417,0.7129289428393046,0.39599679019880424,0.2684196249957617,0.6153400798638662,0.3715691921157689,0.30356749693552654,0.004870046592421002,0.2430906037075652,0.5508985372182412,0.7712853895293341,0.2769222075294703,0.1660258366392025,0.6221731460425589,0.3885315617137434,0.3213684727748235,0.0063096213327824245,0.23867343712598085,0.602750871444868,0.7599714649385876,0.259769888900191,0.16500864611941818
