epoch,loss,gram,moment,code,push,cycle,nce,idt,w_cycle_eff,w_nce_eff,w_idt_eff,transfer_ratio,lr,epoch_time_sec
1,5.942770977020263,0.028418390620499848,0.06871209423989058,0.0023662678233813492,0.2494982424378395,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0002,26.56410312652588
2,4.654588203430176,0.02190369974821806,0.059252161085605624,0.0008410208771238104,0.24914843693375588,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0001997071467046472,16.403403282165527
3,3.7010580039024354,0.017107926337048412,0.049052312932908536,0.0006299504661001265,0.24930312529206275,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.00019883039235653812,19.09889316558838
4,2.829876003265381,0.012776142349466682,0.037182185724377634,0.0005212835749262013,0.2495099611580372,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0001973751424377793,16.67821764945984
5,2.186002051830292,0.009626778522506357,0.025872235577553512,0.00047053185262484475,0.2496609365940094,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0001953503690480396,18.922109365463257
6,1.7871194612979888,0.007673233225941658,0.018993494883179664,0.0004468158705276437,0.24965664073824884,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.00019276855558857225,16.23927640914917
7,2.637101745605469,0.006475182198919356,0.01595246097072959,0.00044375092489644884,0.249385547041893,0.44573097884655,6.094699096679688,0.0,0.1666666716337204,0.1666666716337204,0.0,1.0,0.00018964561979789495,30.388802766799927
8,3.4982706665992738,0.0062038897210732104,0.015579927228391171,0.0006994234476587736,0.24613554760813713,0.3816515204310417,5.634791259765625,0.0,0.3333333432674408,0.3333333432674408,0.0,1.0,0.00018600081561363877,31.710225105285645
9,4.257138514518738,0.007021804032847285,0.017785840127617122,0.009342699083499611,0.14615800738334656,0.32339996308088304,4.938505554199219,0.0,0.5,0.5,0.0,1.0,0.00018185661446562003,29.10257315635681
10,4.8253007936477665,0.007431356599554419,0.018203730825334788,0.009794254703447223,0.04780791027471423,0.2850370278954506,4.5365121459960935,0.0,0.6666666865348816,0.6666666865348816,0.0,1.0,0.00017723856673200296,30.418421745300293
11,5.353283495903015,0.00796268531586975,0.020076104644685983,0.006808433220721781,0.03796142565086484,0.24672439962625503,4.154443702697754,0.0,0.8333333134651184,0.8333333134651184,0.0,1.0,0.00017217514421272203,28.212721586227417
12,5.907384834289551,0.008808603389188647,0.021884116139262916,0.006076321019791066,0.03507822262123227,0.22064004853367805,3.841884899139404,0.0,1.0,1.0,0.0,1.0,0.0001666975645913675,29.74147629737854
13,6.387514333724976,0.009687506891787052,0.023319639805704354,0.00567964962683618,0.031714550666511056,0.19554853051900864,3.555701103210449,0.0,1.1666666269302368,1.1666666269302368,0.0,1.0,0.00016083959896778498,30.29514169692993
14,6.834884271621704,0.010507976301014424,0.02488253006711602,0.005753094269894063,0.030296777272596956,0.17609032288193702,3.3207974243164062,0.0,1.3333333730697632,1.3333333730697632,0.0,1.0,0.00015463736364801516,30.188436269760132
15,7.1958450603485105,0.011141358064487577,0.025561979953199625,0.0051481092302128675,0.026833886746317148,0.15956538662314415,3.1129148483276365,0.0,1.5,1.5,0.0,1.0,0.00014812909747525697,30.182839393615723
16,7.529113078117371,0.01158484309911728,0.025878879185765983,0.005198026434518397,0.02626230476424098,0.1463242556154728,2.9476543617248536,0.0,1.6666666269302368,1.6666666269302368,0.0,1.0,0.00014135492607468357,30.54588556289673
17,7.838716902732849,0.012068239003419877,0.02726938771083951,0.005224226366262883,0.024952734373509883,0.1364000979065895,2.7926511192321777,0.0,1.8333333730697632,1.8333333730697632,0.0,1.0,0.00013435661446562004,30.05975079536438
