label,run,transfer_clip_style,transfer_content_lpips,transfer_delta_idt_clip,introstyle_target_score_smoke20,introstyle_delta_idt_smoke20,introstyle_margin_smoke20,nonclip_transfer_target_acc,nonclip_transfer_margin
IDT,IDT,0.6801,0.0000,0.0000,0.0694,0.0000,-0.2216,0.0100,-0.9161
SaMAM-2250,SaMAM_2250,0.5523,0.3605,-0.0877,0.0720,0.0025,-0.1072,,
SaMST e15,SaMST_e15,0.6957,0.6319,0.0558,0.0774,0.0079,-0.1379,0.2483,-0.3548
Lat SaMAM,Lat_SaMAM_step1500,0.6547,0.1635,0.0148,0.0694,-0.0001,-0.1310,,
Lat SaMST,Lat_SaMST_batch1050,0.6820,0.8318,0.0421,0.0422,-0.0272,-0.0194,,
LBM-K,LBM-K_e1,0.6712,0.3723,0.0312,0.0774,0.0080,-0.0243,0.1667,-0.5544
LBM-Knee,LBM-Knee_e13,0.7102,0.4603,0.0703,0.0837,0.0142,-0.0092,0.2367,-0.3511
LBM-PS-v2,LBM-PS-v2_e13,0.7307,0.6183,0.0908,0.0733,0.0038,-0.0007,0.2717,-0.0368
Seedream-4.5,Seedream_repaired750,0.7198,0.4767,0.0538,0.0936,0.0242,-0.0292,0.3783,-0.1016
