variant,category,status,completed_target_epoch,target_epoch,latest_eval_epoch,latest_transfer_clip_style,latest_transfer_classifier_acc,latest_transfer_content_lpips,latest_photo_to_art_clip_style,latest_photo_to_art_classifier_acc,best_transfer_clip_style,best_transfer_epoch,best_photo_to_art_clip_style,best_photo_to_art_epoch,last_train_epoch,last_train_loss,last_train_lr,config_path,run_dir,latest_summary_path,note,error,return_code
baseline_50e,baseline,generated,False,50,,,,,,,,,,,,,,/mnt/i/Github/Latent_Style/Cycle-NCE/experiments-cycle/ablation50_20260213_151821/configs/baseline_50e.json,/mnt/i/Github/Latent_Style/Cycle-NCE/experiments-cycle/ablation50_20260213_151821/baseline_50e,,50-epoch short-run baseline (legacy warmup keys removed).,,
inj_no_decoder_spatial,inj_single,generated,False,50,,,,,,,,,,,,,,/mnt/i/Github/Latent_Style/Cycle-NCE/experiments-cycle/ablation50_20260213_151821/configs/inj_no_decoder_spatial.json,/mnt/i/Github/Latent_Style/Cycle-NCE/experiments-cycle/ablation50_20260213_151821/inj_no_decoder_spatial,,Disable decoder spatial inject path.,,
inj_no_texture_gain,inj_single,generated,False,50,,,,,,,,,,,,,,/mnt/i/Github/Latent_Style/Cycle-NCE/experiments-cycle/ablation50_20260213_151821/configs/inj_no_texture_gain.json,/mnt/i/Github/Latent_Style/Cycle-NCE/experiments-cycle/ablation50_20260213_151821/inj_no_texture_gain,,Disable texture residual head contribution.,,
inj_no_delta_highpass,inj_single,generated,False,50,,,,,,,,,,,,,,/mnt/i/Github/Latent_Style/Cycle-NCE/experiments-cycle/ablation50_20260213_151821/configs/inj_no_delta_highpass.json,/mnt/i/Github/Latent_Style/Cycle-NCE/experiments-cycle/ablation50_20260213_151821/inj_no_delta_highpass,,Disable delta high-frequency bias.,,
inj_no_delta_gate,inj_single,generated,False,50,,,,,,,,,,,,,,/mnt/i/Github/Latent_Style/Cycle-NCE/experiments-cycle/ablation50_20260213_151821/configs/inj_no_delta_gate.json,/mnt/i/Github/Latent_Style/Cycle-NCE/experiments-cycle/ablation50_20260213_151821/inj_no_delta_gate,,Disable style delta gate.,,
inj_no_decoder_adagn,inj_single,generated,False,50,,,,,,,,,,,,,,/mnt/i/Github/Latent_Style/Cycle-NCE/experiments-cycle/ablation50_20260213_151821/configs/inj_no_decoder_adagn.json,/mnt/i/Github/Latent_Style/Cycle-NCE/experiments-cycle/ablation50_20260213_151821/inj_no_decoder_adagn,,"Disable decoder AdaGN, fallback to GroupNorm.",,
inj_no_output_affine,inj_single,generated,False,50,,,,,,,,,,,,,,/mnt/i/Github/Latent_Style/Cycle-NCE/experiments-cycle/ablation50_20260213_151821/configs/inj_no_output_affine.json,/mnt/i/Github/Latent_Style/Cycle-NCE/experiments-cycle/ablation50_20260213_151821/inj_no_output_affine,,Disable output style affine.,,
inj_spatial_highpass_on,inj_single,generated,False,50,,,,,,,,,,,,,,/mnt/i/Github/Latent_Style/Cycle-NCE/experiments-cycle/ablation50_20260213_151821/configs/inj_spatial_highpass_on.json,/mnt/i/Github/Latent_Style/Cycle-NCE/experiments-cycle/ablation50_20260213_151821/inj_spatial_highpass_on,,Enable high-pass style spatial maps.,,
inj_spatial_map_norm_off,inj_single,generated,False,50,,,,,,,,,,,,,,/mnt/i/Github/Latent_Style/Cycle-NCE/experiments-cycle/ablation50_20260213_151821/configs/inj_spatial_map_norm_off.json,/mnt/i/Github/Latent_Style/Cycle-NCE/experiments-cycle/ablation50_20260213_151821/inj_spatial_map_norm_off,,Disable style spatial map normalization.,,
inj_spatial_blur_off,inj_single,generated,False,50,,,,,,,,,,,,,,/mnt/i/Github/Latent_Style/Cycle-NCE/experiments-cycle/ablation50_20260213_151821/configs/inj_spatial_blur_off.json,/mnt/i/Github/Latent_Style/Cycle-NCE/experiments-cycle/ablation50_20260213_151821/inj_spatial_blur_off,,Disable style spatial blur before injection.,,
