variant	category	config_path	run_dir	status	note
baseline_50e	baseline	/mnt/i/Github/Latent_Style/Cycle-NCE/experiments-cycle/ablation50_20260213_151821/configs/baseline_50e.json	/mnt/i/Github/Latent_Style/Cycle-NCE/experiments-cycle/ablation50_20260213_151821/baseline_50e	generated	50-epoch short-run baseline (legacy warmup keys removed).
inj_no_decoder_spatial	inj_single	/mnt/i/Github/Latent_Style/Cycle-NCE/experiments-cycle/ablation50_20260213_151821/configs/inj_no_decoder_spatial.json	/mnt/i/Github/Latent_Style/Cycle-NCE/experiments-cycle/ablation50_20260213_151821/inj_no_decoder_spatial	generated	Disable decoder spatial inject path.
inj_no_texture_gain	inj_single	/mnt/i/Github/Latent_Style/Cycle-NCE/experiments-cycle/ablation50_20260213_151821/configs/inj_no_texture_gain.json	/mnt/i/Github/Latent_Style/Cycle-NCE/experiments-cycle/ablation50_20260213_151821/inj_no_texture_gain	generated	Disable texture residual head contribution.
inj_no_delta_highpass	inj_single	/mnt/i/Github/Latent_Style/Cycle-NCE/experiments-cycle/ablation50_20260213_151821/configs/inj_no_delta_highpass.json	/mnt/i/Github/Latent_Style/Cycle-NCE/experiments-cycle/ablation50_20260213_151821/inj_no_delta_highpass	generated	Disable delta high-frequency bias.
inj_no_delta_gate	inj_single	/mnt/i/Github/Latent_Style/Cycle-NCE/experiments-cycle/ablation50_20260213_151821/configs/inj_no_delta_gate.json	/mnt/i/Github/Latent_Style/Cycle-NCE/experiments-cycle/ablation50_20260213_151821/inj_no_delta_gate	generated	Disable style delta gate.
inj_no_decoder_adagn	inj_single	/mnt/i/Github/Latent_Style/Cycle-NCE/experiments-cycle/ablation50_20260213_151821/configs/inj_no_decoder_adagn.json	/mnt/i/Github/Latent_Style/Cycle-NCE/experiments-cycle/ablation50_20260213_151821/inj_no_decoder_adagn	generated	Disable decoder AdaGN, fallback to GroupNorm.
inj_no_output_affine	inj_single	/mnt/i/Github/Latent_Style/Cycle-NCE/experiments-cycle/ablation50_20260213_151821/configs/inj_no_output_affine.json	/mnt/i/Github/Latent_Style/Cycle-NCE/experiments-cycle/ablation50_20260213_151821/inj_no_output_affine	generated	Disable output style affine.
inj_spatial_highpass_on	inj_single	/mnt/i/Github/Latent_Style/Cycle-NCE/experiments-cycle/ablation50_20260213_151821/configs/inj_spatial_highpass_on.json	/mnt/i/Github/Latent_Style/Cycle-NCE/experiments-cycle/ablation50_20260213_151821/inj_spatial_highpass_on	generated	Enable high-pass style spatial maps.
inj_spatial_map_norm_off	inj_single	/mnt/i/Github/Latent_Style/Cycle-NCE/experiments-cycle/ablation50_20260213_151821/configs/inj_spatial_map_norm_off.json	/mnt/i/Github/Latent_Style/Cycle-NCE/experiments-cycle/ablation50_20260213_151821/inj_spatial_map_norm_off	generated	Disable style spatial map normalization.
inj_spatial_blur_off	inj_single	/mnt/i/Github/Latent_Style/Cycle-NCE/experiments-cycle/ablation50_20260213_151821/configs/inj_spatial_blur_off.json	/mnt/i/Github/Latent_Style/Cycle-NCE/experiments-cycle/ablation50_20260213_151821/inj_spatial_blur_off	generated	Disable style spatial blur before injection.
loss_no_distill	loss_single	/mnt/i/Github/Latent_Style/Cycle-NCE/experiments-cycle/ablation50_20260213_151821/configs/loss_no_distill.json	/mnt/i/Github/Latent_Style/Cycle-NCE/experiments-cycle/ablation50_20260213_151821/loss_no_distill	generated	Disable distillation term.
loss_no_code	loss_single	/mnt/i/Github/Latent_Style/Cycle-NCE/experiments-cycle/ablation50_20260213_151821/configs/loss_no_code.json	/mnt/i/Github/Latent_Style/Cycle-NCE/experiments-cycle/ablation50_20260213_151821/loss_no_code	generated	Disable code-closure term.
loss_no_stroke_gram	loss_single	/mnt/i/Github/Latent_Style/Cycle-NCE/experiments-cycle/ablation50_20260213_151821/configs/loss_no_stroke_gram.json	/mnt/i/Github/Latent_Style/Cycle-NCE/experiments-cycle/ablation50_20260213_151821/loss_no_stroke_gram	generated	Disable stroke gram style statistics.
loss_no_color_moment	loss_single	/mnt/i/Github/Latent_Style/Cycle-NCE/experiments-cycle/ablation50_20260213_151821/configs/loss_no_color_moment.json	/mnt/i/Github/Latent_Style/Cycle-NCE/experiments-cycle/ablation50_20260213_151821/loss_no_color_moment	generated	Disable color moment style statistics.
loss_no_style_spatial_tv	loss_single	/mnt/i/Github/Latent_Style/Cycle-NCE/experiments-cycle/ablation50_20260213_151821/configs/loss_no_style_spatial_tv.json	/mnt/i/Github/Latent_Style/Cycle-NCE/experiments-cycle/ablation50_20260213_151821/loss_no_style_spatial_tv	generated	Disable style spatial TV regularization.
loss_no_struct_edge	loss_single	/mnt/i/Github/Latent_Style/Cycle-NCE/experiments-cycle/ablation50_20260213_151821/configs/loss_no_struct_edge.json	/mnt/i/Github/Latent_Style/Cycle-NCE/experiments-cycle/ablation50_20260213_151821/loss_no_struct_edge	generated	Disable struct and edge guards.
loss_no_cycle	loss_single	/mnt/i/Github/Latent_Style/Cycle-NCE/experiments-cycle/ablation50_20260213_151821/configs/loss_no_cycle.json	/mnt/i/Github/Latent_Style/Cycle-NCE/experiments-cycle/ablation50_20260213_151821/loss_no_cycle	generated	Disable cycle consistency.
loss_no_nce	loss_single	/mnt/i/Github/Latent_Style/Cycle-NCE/experiments-cycle/ablation50_20260213_151821/configs/loss_no_nce.json	/mnt/i/Github/Latent_Style/Cycle-NCE/experiments-cycle/ablation50_20260213_151821/loss_no_nce	generated	Disable NCE content term.
loss_no_semigroup	loss_single	/mnt/i/Github/Latent_Style/Cycle-NCE/experiments-cycle/ablation50_20260213_151821/configs/loss_no_semigroup.json	/mnt/i/Github/Latent_Style/Cycle-NCE/experiments-cycle/ablation50_20260213_151821/loss_no_semigroup	generated	Disable semigroup consistency.
loss_no_push	loss_single	/mnt/i/Github/Latent_Style/Cycle-NCE/experiments-cycle/ablation50_20260213_151821/configs/loss_no_push.json	/mnt/i/Github/Latent_Style/Cycle-NCE/experiments-cycle/ablation50_20260213_151821/loss_no_push	generated	Disable style push-away term.
dyn_style_strength_jitter	dynamics	/mnt/i/Github/Latent_Style/Cycle-NCE/experiments-cycle/ablation50_20260213_151821/configs/dyn_style_strength_jitter.json	/mnt/i/Github/Latent_Style/Cycle-NCE/experiments-cycle/ablation50_20260213_151821/dyn_style_strength_jitter	generated	Widen train-time style strength range.
