epoch,loss,distill,code,code_ref,code_proto,proto,same_id,cycle,gram,moment,push,nce,idt,w_cycle_eff,w_nce_eff,w_idt_eff,style_ref_alpha,transfer_ratio,lr,epoch_time_sec
1,3.485779857635498,0.0014455726253800095,0.028114575892686844,0.011333382572047412,0.01678119329735637,0.019484332017600536,0.0,0.0,0.03374338205903769,0.07186922207474708,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0002,12.940463304519653
2,3.1652044534683226,0.0008919585729017854,0.013075048010796309,0.005622194823808968,0.007452853233553469,0.010862284014001489,0.0,0.0,0.03266950193792582,0.06757619641721249,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0001997071467046472,10.367823600769043
3,3.0051276206970217,0.0011436527594923974,0.009524151915684342,0.004108528175856918,0.005415623681619764,0.007901839516125619,0.0,0.0,0.03144844239577651,0.06474532131105662,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.00019883039235653812,10.095244884490967
4,2.9555421233177186,0.001300304546020925,0.0074606342939659955,0.003268332197330892,0.004192302061710507,0.005956104188226163,0.0,0.0,0.031183341052383184,0.06490515694022178,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0001973751424377793,10.632597208023071
5,3.104607272148132,0.0014691986318212003,0.006591312657110393,0.0028874072944745422,0.003703905362635851,0.005082533368840814,0.0,0.23376527279615403,0.031117268558591604,0.06282190345227719,0.0,0.0,0.0,0.75,0.0,0.0,1.0,1.0,0.0001953503690480396,12.949803590774536
6,3.192596912384033,0.0013977234426420181,0.005628611333668232,0.002573102805763483,0.0030555085279047487,0.0040731199085712435,0.0,0.18620777279138565,0.030888114217668773,0.06671135611832142,0.0,0.0,0.0,1.5,0.0,0.0,1.0,1.0,0.00019276855558857225,13.27557921409607
7,3.256805419921875,0.001419414085103199,0.004760970710776746,0.0022639081464149056,0.002497062529437244,0.0032758455374278126,0.0,0.1466909684240818,0.03107989002019167,0.06894128583371639,0.0,0.0,0.0,2.25,0.0,0.0,1.0,1.0,0.00018964561979789495,13.436071395874023
8,3.3736659407615663,0.0015099909564014525,0.004294887627474963,0.0021339328959584236,0.0021609547547996044,0.002850431005936116,0.0,0.13870674334466457,0.03151756720617414,0.06917779725044966,0.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,0.00018600081561363877,12.982588768005371
9,3.345426869392395,0.001312902756035328,0.003964531200472266,0.0019474870758131146,0.0020170441537629815,0.0026569546316750348,0.0,0.10625613071024417,0.03151764078065753,0.0687420055270195,0.0,0.0,0.0,3.75,0.0,0.0,1.0,1.0,0.00018185661446562003,13.01568865776062
10,3.3825039148330687,0.0015299615333788097,0.003841387142892927,0.001966035435907543,0.001875351695343852,0.002536155574489385,0.0,0.09119404591619969,0.03170492574572563,0.07030133176594973,0.0,0.0,0.0,4.5,0.0,0.0,1.0,1.0,0.00017723856673200296,12.941710233688354
11,3.43411180973053,0.0013465392519719898,0.003606976999435574,0.00186850517638959,0.0017384718405082822,0.0023392184521071613,0.0,0.0834295205771923,0.03202898344025016,0.07135045602917671,0.0,0.0,0.0,5.25,0.0,0.0,1.0,1.0,0.00017217514421272203,13.052014112472534
12,3.4730223059654235,0.0012824445671867578,0.0031869676080532373,0.001716304139699787,0.001470663445070386,0.0020987430529203267,0.0,0.08476245515048504,0.031809920258820054,0.06990859210491181,0.0,0.0,0.0,6.0,0.0,0.0,1.0,1.0,0.0001666975645913675,12.752078533172607
13,3.404721236228943,0.0012874905427452178,0.0033240433549508452,0.0017914873023983091,0.0015325560700148344,0.002255909750238061,0.0,0.06547536980360746,0.032278101332485674,0.07141903564333915,0.0,0.0,0.0,6.0,0.0,0.0,1.0,1.0,0.00016083959896778498,13.088168859481812
14,3.3610442161560057,0.0016929687466472388,0.0038009591633453967,0.0021492330939508974,0.0016517260868567974,0.002616828598547727,0.0,0.05807998776435852,0.032125324662774804,0.0709936771541834,0.0,0.0,0.0,6.0,0.0,0.0,1.0,1.0,0.00015463736364801516,12.979851722717285
15,3.334868383407593,0.0025545582990162074,0.004336519178468734,0.002664099750109017,0.0016724194341804833,0.003105088055599481,0.0,0.05300050433725119,0.031846209149807694,0.07121635489165783,0.0,0.0,0.0,6.0,0.0,0.0,1.0,1.0,0.00014812909747525697,13.05078387260437
16,3.409974491596222,0.005324015184305609,0.006178174400702119,0.004076043097302318,0.0021021313092205673,0.004729759704787284,0.0,0.05031713284552097,0.032062817551195624,0.06928113363683223,0.0,0.0,0.0,6.0,0.0,0.0,1.0,1.0,0.00014135492607468357,12.826945543289185
17,3.4253982663154603,0.0060520532540977,0.00682391005102545,0.00435452185338363,0.0024693881627172233,0.005117532075382769,0.0,0.046465439908206466,0.03219408867880702,0.07021863237023354,0.0,0.0,0.0,6.0,0.0,0.0,1.0,1.0,0.00013435661446562004,12.763267278671265
18,3.3700968384742738,0.003234795748721808,0.00613430084194988,0.0034090430592186747,0.0027252578060142697,0.003969517652876675,0.0,0.03761068023741245,0.032905214466154575,0.07243191190063954,0.0,0.0,0.0,6.0,0.0,0.0,1.0,1.0,0.00012717730956631105,13.007982015609741
19,3.439964008331299,0.0028857996629085393,0.006722649442963302,0.0037631978862918912,0.002959451568312943,0.004399365501012653,0.0,0.03882778380066156,0.03346555083990097,0.07568290904164314,0.0,0.0,0.0,6.0,0.0,0.0,1.0,1.0,0.00011986127417882196,12.815765857696533
