step,ckpt,image_dir,infer_wall_seconds,metric_wall_seconds,count,content_lpips,clip_style,clip_content
250,/mnt/i/Github/Latent_Style/Related_Works/baseline_pipeline/results/samam_distinct5_512_scratch_7k_250eval_remote/step_checkpoints/step-step=000250.ckpt,/mnt/i/Github/Latent_Style/Related_Works/baseline_pipeline/results/samam_distinct5_512_scratch_7k_250eval_remote/curve_eval_30src/step_000250/images,0.010522603988647461,81.59914374351501,750.0,0.8441601496140162,0.5819423254728318,0.6246199515660604
500,/mnt/i/Github/Latent_Style/Related_Works/baseline_pipeline/results/samam_distinct5_512_scratch_7k_250eval_remote/step_checkpoints/step-step=000500.ckpt,/mnt/i/Github/Latent_Style/Related_Works/baseline_pipeline/results/samam_distinct5_512_scratch_7k_250eval_remote/curve_eval_30src/step_000500/images,197.04062700271606,59.56158113479614,750.0,0.6280837094982465,0.584424588282903,0.6309721562465032
750,/mnt/i/Github/Latent_Style/Related_Works/baseline_pipeline/results/samam_distinct5_512_scratch_7k_250eval_remote/step_checkpoints/step-step=000750.ckpt,/mnt/i/Github/Latent_Style/Related_Works/baseline_pipeline/results/samam_distinct5_512_scratch_7k_250eval_remote/curve_eval_30src/step_000750/images,203.46154761314392,63.63060784339905,750.0,0.5981498100558916,0.6040001111030578,0.6686860996087393
1000,/mnt/i/Github/Latent_Style/Related_Works/baseline_pipeline/results/samam_distinct5_512_scratch_7k_250eval_remote/step_checkpoints/step-step=001000.ckpt,/mnt/i/Github/Latent_Style/Related_Works/baseline_pipeline/results/samam_distinct5_512_scratch_7k_250eval_remote/curve_eval_30src/step_001000/images,203.4128770828247,61.25372552871704,750.0,0.5677645444373289,0.6108657385110855,0.7044446355501811
1250,/mnt/i/Github/Latent_Style/Related_Works/baseline_pipeline/results/samam_distinct5_512_scratch_7k_250eval_remote/step_checkpoints/step-step=001250.ckpt,/mnt/i/Github/Latent_Style/Related_Works/baseline_pipeline/results/samam_distinct5_512_scratch_7k_250eval_remote/curve_eval_30src/step_001250/images,202.30704188346863,61.88945388793945,750.0,0.5413746678829193,0.610328687508901,0.723680823246638
1500,/mnt/i/Github/Latent_Style/Related_Works/baseline_pipeline/results/samam_distinct5_512_scratch_7k_250eval_remote/step_checkpoints/step-step=001500.ckpt,/mnt/i/Github/Latent_Style/Related_Works/baseline_pipeline/results/samam_distinct5_512_scratch_7k_250eval_remote/curve_eval_30src/step_001500/images,206.15464806556702,62.07555317878723,750.0,0.5016005408763885,0.6218596955537796,0.7681206164360046
1750,/mnt/i/Github/Latent_Style/Related_Works/baseline_pipeline/results/samam_distinct5_512_scratch_7k_250eval_remote/step_checkpoints/step-step=001750.ckpt,/mnt/i/Github/Latent_Style/Related_Works/baseline_pipeline/results/samam_distinct5_512_scratch_7k_250eval_remote/curve_eval_30src/step_001750/images,207.31481528282166,64.56728267669678,750.0,0.4821407207151254,0.6229524312019348,0.7951107717752457
2000,/mnt/i/Github/Latent_Style/Related_Works/baseline_pipeline/results/samam_distinct5_512_scratch_7k_250eval_remote/step_checkpoints/step-step=002000.ckpt,/mnt/i/Github/Latent_Style/Related_Works/baseline_pipeline/results/samam_distinct5_512_scratch_7k_250eval_remote/curve_eval_30src/step_002000/images,203.58557963371277,61.607550621032715,750.0,0.4563555036584536,0.6259841299851735,0.8123131966590882
2250,/mnt/i/Github/Latent_Style/Related_Works/baseline_pipeline/results/samam_distinct5_512_scratch_7k_250eval_remote/step_checkpoints/step-step=002250.ckpt,/mnt/i/Github/Latent_Style/Related_Works/baseline_pipeline/results/samam_distinct5_512_scratch_7k_250eval_remote/curve_eval_30src/step_002250/images,206.6717655658722,61.39954090118408,750.0,0.4414220019678275,0.6236410382986068,0.8224790993531546
2500,/mnt/i/Github/Latent_Style/Related_Works/baseline_pipeline/results/samam_distinct5_512_scratch_7k_250eval_remote/step_checkpoints/step-step=002500.ckpt,/mnt/i/Github/Latent_Style/Related_Works/baseline_pipeline/results/samam_distinct5_512_scratch_7k_250eval_remote/curve_eval_30src/step_002500/images,205.62844252586365,61.86487078666687,750.0,0.40692511335015297,0.6234574821392695,0.8372624555428823
