path,experiment,dataset,method_family,solver,style_tokenizer,num_styles,num_pt,num_images,has_images
SchrodingerBridge\exp\FCSB\phase4\630_phase4b2_freq_a1_rand30,630_phase4b2_freq_a1_rand30,distinct5_512,620_spectral_ode,solver_i2sb,factorized,5,1,0,N
SchrodingerBridge\exp\FCSB\phase4\630_phase4b2_freq_a1_rand50_10ep,630_phase4b2_freq_a1_rand50_10ep,distinct5_512,620_spectral_ode,solver_i2sb,factorized,5,2,0,N
SchrodingerBridge\exp\FCSB\phase4\630_phase4b2_freq_a1_rand70,630_phase4b2_freq_a1_rand70,distinct5_512,620_spectral_ode,solver_i2sb,factorized,5,1,0,N
SchrodingerBridge\exp\FCSB\phase4\630_phase4b3_dwt_a1_rand50,630_phase4b3_dwt_a1_rand50,distinct5_512,620_spectral_ode,solver_i2sb,factorized,5,1,0,N
SchrodingerBridge\exp\FCSB\phase4\630_phase4c_blockmask_r60_b128_lvl2,630_phase4c_blockmask_r60_b128_lvl2,distinct5_512,620_spectral_ode,solver_i2sb,factorized,5,1,751,Y
SchrodingerBridge\exp\FCSB\phase4\630_phase4d_lvl2_dwt_rand50,630_phase4d_lvl2_dwt_rand50,distinct5_512,620_spectral_ode,solver_i2sb,factorized,5,1,751,Y
SchrodingerBridge\exp\FCSB\phase4\630_phase4f_lvl3,630_phase4f_lvl3,distinct5_512,620_spectral_ode,solver_i2sb,factorized,5,1,0,N
SchrodingerBridge\exp\FCSB\phase4\630_phase4g1b_lock_ll_zero_wll,630_phase4g1b_lock_ll_zero_wll,distinct5_512,620_spectral_ode,solver_i2sb,factorized,5,1,0,N
SchrodingerBridge\exp\FCSB\phase4\630_phase4g2b_per_subband_a05,630_phase4g2b_per_subband_a05,distinct5_512,620_spectral_ode,solver_i2sb,factorized,5,1,0,N
SchrodingerBridge\exp\FCSB\phase4\630_phase4h1a_eota_per_subband,630_phase4h1a_eota_per_subband,distinct5_512,620_spectral_ode,solver_i2sb,factorized,5,1,0,N
SchrodingerBridge\exp\FCSB\phase4\630_phase4h1b_eota_per_subband_a05,630_phase4h1b_eota_per_subband_a05,630_phase4h1b_eota_per_subband_a05,630_family,unknown,unknown,?,1,0,N
SchrodingerBridge\exp\FCSB\phase4\630_phase4h1c_eota_per_subband_a07,630_phase4h1c_eota_per_subband_a07,distinct5_512,620_spectral_ode,solver_i2sb,factorized,5,1,0,N
SchrodingerBridge\exp\FCSB\phase4\630_phase4h1d_eota_per_subband_a08,630_phase4h1d_eota_per_subband_a08,distinct5_512,620_spectral_ode,solver_i2sb,factorized,5,1,0,N
SchrodingerBridge\exp\FCSB\phase4\630_phase4h1e_eota_spatial_fiber_a05,630_phase4h1e_eota_spatial_fiber_a05,distinct5_512,620_spectral_ode,solver_i2sb,factorized,5,1,0,N
SchrodingerBridge\exp\FCSB\phase4\630_phase4h1f_eota_spatial_fiber_a07,630_phase4h1f_eota_spatial_fiber_a07,distinct5_512,620_spectral_ode,solver_i2sb,factorized,5,1,0,N
SchrodingerBridge\exp\FCSB\phase4\630_phase4h1g5ep_eota_spatial_fiber_a08,630_phase4h1g5ep_eota_spatial_fiber_a08,distinct5_512,620_spectral_ode,solver_i2sb,factorized,5,1,0,N
SchrodingerBridge\exp\FCSB\phase4\630_phase4h1g_eota_spatial_fiber_a08,630_phase4h1g_eota_spatial_fiber_a08,distinct5_512,620_spectral_ode,solver_i2sb,factorized,5,1,0,N
