checkpoint,checkpoint_exists,config_path,elapsed_sec,eval_dir,eval_elapsed_sec,eval_rc,eval_status,experiment,note,num_steps,output_dir,output_path,returncode,run_dir,stage,status,summary_exists,terminal_swd_weight,train_elapsed_sec,train_rc,train_status,w_kinetic
G:\GitHub\Latent_Style\SchrodingerBridge\S-add__K-1_C-0_W-20_Col-0\epoch_0007.pt,,,0.001,,,,,,,1,G:\GitHub\Latent_Style\step_count_sweep\steps_01,,0,,step_sweep,ok,True,,,,,
G:\GitHub\Latent_Style\SchrodingerBridge\S-add__K-1_C-0_W-20_Col-0\epoch_0007.pt,,,0.001,,,,,,,4,G:\GitHub\Latent_Style\step_count_sweep\steps_04,,0,,step_sweep,ok,True,,,,,
G:\GitHub\Latent_Style\SchrodingerBridge\S-add__K-1_C-0_W-20_Col-0\epoch_0007.pt,,,0.000,,,,,,,8,G:\GitHub\Latent_Style\step_count_sweep\steps_08,,0,,step_sweep,ok,True,,,,,
G:\GitHub\Latent_Style\SchrodingerBridge\S-add__K-1_C-0_W-20_Col-0\epoch_0007.pt,,,0.000,,,,,,,12,G:\GitHub\Latent_Style\step_count_sweep\steps_12,,0,,step_sweep,ok,True,,,,,
G:\GitHub\Latent_Style\SchrodingerBridge\S-add__K-1_C-0_W-20_Col-0\epoch_0007.pt,,,0.001,,,,,,,16,G:\GitHub\Latent_Style\step_count_sweep\steps_16,,0,,step_sweep,ok,True,,,,,
G:\GitHub\Latent_Style\lambda_grid\runs\kin_0p5__swd_10p0\epoch_0008.pt,True,G:\GitHub\Latent_Style\lambda_grid\configs\kin_0p5__swd_10p0.json,,G:\GitHub\Latent_Style\lambda_grid\eval\kin_0p5__swd_10p0,0.000,0,ok,kin_0p5__swd_10p0,,,,,,G:\GitHub\Latent_Style\lambda_grid\runs\kin_0p5__swd_10p0,lambda_grid,,True,10.0,0.001,0,ok,0.5
G:\GitHub\Latent_Style\lambda_grid\runs\kin_0p5__swd_20p0\epoch_0008.pt,True,G:\GitHub\Latent_Style\lambda_grid\configs\kin_0p5__swd_20p0.json,,G:\GitHub\Latent_Style\lambda_grid\eval\kin_0p5__swd_20p0,0.000,0,ok,kin_0p5__swd_20p0,,,,,,G:\GitHub\Latent_Style\lambda_grid\runs\kin_0p5__swd_20p0,lambda_grid,,True,20.0,0.001,0,ok,0.5
G:\GitHub\Latent_Style\lambda_grid\runs\kin_0p5__swd_30p0\epoch_0008.pt,True,G:\GitHub\Latent_Style\lambda_grid\configs\kin_0p5__swd_30p0.json,,G:\GitHub\Latent_Style\lambda_grid\eval\kin_0p5__swd_30p0,0.000,0,ok,kin_0p5__swd_30p0,,,,,,G:\GitHub\Latent_Style\lambda_grid\runs\kin_0p5__swd_30p0,lambda_grid,,True,30.0,0.000,0,ok,0.5
G:\GitHub\Latent_Style\lambda_grid\runs\kin_1p0__swd_10p0\epoch_0008.pt,True,G:\GitHub\Latent_Style\lambda_grid\configs\kin_1p0__swd_10p0.json,,G:\GitHub\Latent_Style\lambda_grid\eval\kin_1p0__swd_10p0,0.001,0,ok,kin_1p0__swd_10p0,,,,,,G:\GitHub\Latent_Style\lambda_grid\runs\kin_1p0__swd_10p0,lambda_grid,,True,10.0,0.000,0,ok,1.0
G:\GitHub\Latent_Style\lambda_grid\runs\kin_1p0__swd_20p0\epoch_0008.pt,True,G:\GitHub\Latent_Style\lambda_grid\configs\kin_1p0__swd_20p0.json,,G:\GitHub\Latent_Style\lambda_grid\eval\kin_1p0__swd_20p0,0.001,0,ok,kin_1p0__swd_20p0,,,,,,G:\GitHub\Latent_Style\lambda_grid\runs\kin_1p0__swd_20p0,lambda_grid,,True,20.0,0.000,0,ok,1.0
G:\GitHub\Latent_Style\lambda_grid\runs\kin_1p0__swd_30p0\epoch_0008.pt,True,G:\GitHub\Latent_Style\lambda_grid\configs\kin_1p0__swd_30p0.json,,G:\GitHub\Latent_Style\lambda_grid\eval\kin_1p0__swd_30p0,0.001,0,ok,kin_1p0__swd_30p0,,,,,,G:\GitHub\Latent_Style\lambda_grid\runs\kin_1p0__swd_30p0,lambda_grid,,True,30.0,0.001,0,ok,1.0
G:\GitHub\Latent_Style\lambda_grid\runs\kin_2p0__swd_10p0\epoch_0008.pt,True,G:\GitHub\Latent_Style\lambda_grid\configs\kin_2p0__swd_10p0.json,,G:\GitHub\Latent_Style\lambda_grid\eval\kin_2p0__swd_10p0,0.001,0,ok,kin_2p0__swd_10p0,,,,,,G:\GitHub\Latent_Style\lambda_grid\runs\kin_2p0__swd_10p0,lambda_grid,,True,10.0,0.000,0,ok,2.0
G:\GitHub\Latent_Style\lambda_grid\runs\kin_2p0__swd_20p0\epoch_0008.pt,True,G:\GitHub\Latent_Style\lambda_grid\configs\kin_2p0__swd_20p0.json,,G:\GitHub\Latent_Style\lambda_grid\eval\kin_2p0__swd_20p0,0.000,0,ok,kin_2p0__swd_20p0,,,,,,G:\GitHub\Latent_Style\lambda_grid\runs\kin_2p0__swd_20p0,lambda_grid,,True,20.0,0.001,0,ok,2.0
G:\GitHub\Latent_Style\lambda_grid\runs\kin_2p0__swd_30p0\epoch_0008.pt,True,G:\GitHub\Latent_Style\lambda_grid\configs\kin_2p0__swd_30p0.json,,G:\GitHub\Latent_Style\lambda_grid\eval\kin_2p0__swd_30p0,0.000,0,ok,kin_2p0__swd_30p0,,,,,,G:\GitHub\Latent_Style\lambda_grid\runs\kin_2p0__swd_30p0,lambda_grid,,True,30.0,0.000,0,ok,2.0
G:\GitHub\Latent_Style\SchrodingerBridge\S-add__K-1_C-0_W-20_Col-0\epoch_0007.pt,,,0.001,,,,,,,,,G:\GitHub\Latent_Style\efficiency\efficiency_profile.json,,,efficiency,ok,,,,,,
