epoch,loss,swd,repulsive,color,oob,identity,identity_ratio,lr,data_time_sec,transfer_time_sec,fwd_loss_time_sec,backward_time_sec,optimizer_time_sec,step_overhead_time_sec,compute_time_sec,epoch_time_sec,samples_seen,samples_per_sec,compute_samples_per_sec,attn_entropy,attn_max_prob,id_swd_ratio,health_warning_count
1,4.64209508895874,2.2103326320648193,0.0,0.1451057493686676,0.00303088896907866,2.283626079559326,0.20205079019069672,6.666666666666667e-07,0.5905137006193399,0.006466599879786372,18.670268499525264,6.246725099859759,0.12609540112316608,19.53673159959726,25.049555600387976,45.18237066268921,10240,226.63706772818824,408.7896872646076,0.30068647861480713,0.5491687059402466,1.0356640815734863,0.0
2,4.347494602203369,2.188490629196167,0.0,0.138789102435112,0.0031508510001003742,2.017063856124878,0.20400391519069672,1.3333333333333334e-06,0.5335027000401169,0.005780099891126156,11.686401698971167,1.774242400424555,0.10370559967122972,19.63695380091667,13.570129798958078,33.74441742897034,10240,303.45760218129385,754.598530132426,0.300543874502182,0.5491162538528442,0.9233406186103821,0.0
3,3.944530963897705,2.1727356910705566,0.0,0.13684050738811493,0.003201436949893832,1.6317532062530518,0.20283202826976776,2.0000000000000003e-06,0.5474346997216344,0.005878100171685219,11.562387999380007,1.8181146001443267,0.1031811002176255,19.365316200302914,13.489561799913645,33.4050133228302,10240,306.5408147285968,759.1054588641681,0.3009994328022003,0.5487850308418274,0.7515046000480652,0.0
4,3.5327632427215576,2.1581428050994873,0.0,0.13749633729457855,0.0031502661295235157,1.2339740991592407,0.20126953721046448,2.666666666666667e-06,0.5967570003122091,0.005484400084242225,11.187524899840355,1.7479112001601607,0.10172819904983044,18.734921901021153,13.042648699134588,32.37741303443909,10240,316.26986347266086,785.1165998728042,0.3034813404083252,0.5458078980445862,0.5727054476737976,0.0
5,3.1825928688049316,2.175628185272217,0.0,0.14158445596694946,0.0028708823956549168,0.8625100255012512,0.20097656548023224,3.3333333333333333e-06,0.5547614991664886,0.005759399151429534,11.188369700452313,1.8016366998199373,0.10271110013127327,18.669921402586624,13.098476899554953,32.326677560806274,10240,316.76623682525445,781.7702835623526,0.3066481947898865,0.5420357584953308,0.3973512351512909,0.0
6,2.8516199588775635,2.1383087635040283,0.0,0.12577824294567108,0.002835838822647929,0.5846976637840271,0.19882813096046448,4.000000000000001e-06,0.530944800702855,0.005687701283022761,11.176457499153912,1.7506540003232658,0.09988139942288399,18.725404899567366,13.032680600183085,32.29157280921936,10240,317.11059911818364,785.7170995087647,0.3120606243610382,0.5357291102409363,0.27404162287712097,0.0
7,2.7210471630096436,2.159773826599121,0.0,0.13109473884105682,0.00225820648483932,0.42792031168937683,0.19921875,4.666666666666667e-06,0.534738099668175,0.005603299709036946,11.19497650070116,1.7703540006186813,0.10116550093516707,18.717793297953904,13.072099301964045,32.32779836654663,10240,316.75525453030946,783.347782437781,0.31618034839630127,0.5312171578407288,0.1986474245786667,0.0
8,2.634674310684204,2.132265567779541,0.0,0.12924601137638092,0.00200386974029243,0.3711581826210022,0.19453124701976776,5.333333333333334e-06,0.5367577997967601,0.005745298229157925,11.206412998959422,1.771423099329695,0.10243550036102533,18.750723703298718,13.0860168968793,32.37635564804077,10240,316.2801925985041,782.5146551997799,0.3199053704738617,0.5269151926040649,0.1744740605354309,0.0
9,2.7659964561462402,2.148005247116089,0.0,0.13536714017391205,0.0019406212959438562,0.4806833863258362,0.20742188394069672,6e-06,0.531552599510178,0.005507700610905886,11.209294500295073,1.7656780993565917,0.10129360063001513,18.759811698226258,13.081773900892586,32.37618279457092,10240,316.2818811894378,782.7684591996589,0.31924381852149963,0.5272914171218872,0.22403991222381592,0.0
10,3.7326245307922363,2.1706833839416504,0.0,0.1253291219472885,0.002251250669360161,1.434360384941101,0.20058594644069672,6.666666666666667e-06,0.5347292001824826,0.005744600901380181,11.215556400362402,1.7919476004317403,0.10294190002605319,18.730435798410326,13.116190501721576,32.384172677993774,10240,316.2038475343992,780.7144916548705,0.3149009644985199,0.5315907001495361,0.6615316271781921,0.0
