epoch,loss,distill,code,code_ref,code_proto,proto,style_ce,prob,prob_margin,cls_target_prob,cls_hard_ratio,dir,proto_sep,style_pred_acc,xfer_margin,proto_cos_max,proto_cos_mean,same_id,cycle,gram,moment,push,nce,idt,w_cycle_eff,w_nce_eff,w_idt_eff,style_ref_alpha,transfer_ratio,lr,epoch_time_sec
1,12.072734498977661,0.0,0.0,0.0,0.0,0.0,2.0532490611076355,0.7329823821783066,0.7305356711149216,0.26701761931180956,0.9294999986886978,0.0,0.0,0.19600000102072954,-0.46596476808190346,0.03145599365234375,0.03145599365234375,0.0,0.1235553183592856,0.0,0.0,0.0,0.0,0.06364018842577934,10.0,0.0,1.0,0.0,1.0,0.0002,18.882702827453613
2,9.106379199028016,0.0,0.0,0.0,0.0,0.0,1.5083296716213226,0.4931113004684448,0.41503874212503433,0.5068886935710907,0.7505000025033951,0.0,0.0,0.49850000292062757,0.013777386443689466,-0.04241943359375,-0.04241943359375,0.0,0.14210714176297187,0.0,0.0,0.0,0.0,0.08224456273019314,10.0,0.0,1.0,0.0,1.0,0.0001997071467046472,7.717987060546875
3,6.327361702919006,0.0,0.0,0.0,0.0,0.0,1.0940810590982437,0.38614188730716703,0.2734377056360245,0.6138581186532974,0.5655000001192093,0.0,0.0,0.5729999944567681,0.2277162281796336,-0.10025634765625,-0.10025634765625,0.0,0.07245568372309208,0.0,0.0,0.0,0.0,0.10039224401116371,10.0,0.0,1.0,0.0,1.0,0.00019883039235653812,7.539591312408447
4,4.363977563381195,0.0,0.0,0.0,0.0,0.0,0.757317066192627,0.2824097953736782,0.1279515516012907,0.7175902158021927,0.5049999982118607,0.0,0.0,0.7760000050067901,0.43518042415380476,-0.14677734375,-0.14677734375,0.0,0.05272824503481388,0.0,0.0,0.0,0.0,0.12790903821587563,10.0,0.0,1.0,0.0,1.0,0.0001973751424377793,7.504678249359131
5,3.0466474175453184,0.0,0.0,0.0,0.0,0.0,0.4935102999210358,0.19056781902909278,0.04433148317039013,0.8094321817159653,0.40249999463558195,0.0,0.0,0.9169999927282333,0.6188643634319305,-0.15595703125,-0.15595703125,0.0,0.05540220197290182,0.0,0.0,0.0,0.0,0.1440695159137249,10.0,0.0,1.0,0.0,1.0,0.0001953503690480396,10.64853572845459
6,2.2890272736549377,0.0,0.0,0.0,0.0,0.0,0.3434171050786972,0.14297176487743854,0.012836893391795456,0.8570282340049744,0.3145000018179417,0.0,0.0,0.9690000027418136,0.7140564650297165,-0.179248046875,-0.179248046875,0.0,0.053790367767214776,0.0,0.0,0.0,0.0,0.13732373639941214,10.0,0.0,1.0,0.0,1.0,0.00019276855558857225,7.595216512680054
7,1.8562609493732452,0.0,0.0,0.0,0.0,0.0,0.2710974231362343,0.11070737950503826,0.0018745263863820583,0.889292624592781,0.22649999968707563,0.0,0.0,0.997000002861023,0.778585234284401,-0.20693359375,-0.20693359375,0.0,0.04819595869630575,0.0,0.0,0.0,0.0,0.12010155022144317,10.0,0.0,1.0,0.0,1.0,0.00018964561979789495,7.5130250453948975
8,1.5440127670764923,0.0,0.0,0.0,0.0,0.0,0.2353087656199932,0.0893300224095583,0.0,0.9106699645519256,0.15800000000745057,0.0,0.0,1.0,0.8213399291038513,-0.226318359375,-0.226318359375,0.0,0.03832877362146973,0.0,0.0,0.0,0.0,0.08549496084451676,10.0,0.0,1.0,0.0,1.0,0.00018600081561363877,7.569492340087891
9,1.3584373533725738,0.0,0.0,0.0,0.0,0.0,0.21907561719417573,0.07499489560723305,0.0,0.9250050902366638,0.06999999918043613,0.0,0.0,1.0,0.8500101953744889,-0.248291015625,-0.248291015625,0.0,0.03240563785657287,0.0,0.0,0.0,0.0,0.045586164481937884,10.0,0.0,1.0,0.0,1.0,0.00018185661446562003,10.946747541427612
10,1.2445907831192016,0.0,0.0,0.0,0.0,0.0,0.21228398159146308,0.06704474650323392,0.0,0.9329552441835404,0.03799999970942736,0.0,0.0,1.0,0.8659105151891708,-0.26279296875,-0.26279296875,0.0,0.026464922353625298,0.0,0.0,0.0,0.0,0.030238503031432627,10.0,0.0,1.0,0.0,1.0,0.00017723856673200296,7.639748811721802
11,1.182801353931427,0.0,0.0,0.0,0.0,0.0,0.20940447747707366,0.06211175005882978,0.0,0.937888240814209,0.03899999959394336,0.0,0.0,1.0,0.8757764965295791,-0.263671875,-0.263671875,0.0,0.022890027984976767,0.0,0.0,0.0,0.0,0.023115554265677928,10.0,0.0,1.0,0.0,1.0,0.00017217514421272203,7.571577310562134
