epoch,loss,flow,kinetic_energy,kinetic_low_band,kinetic_high_band,curvature,ot_cost,terminal_swd,terminal_swd_aux,aux_target_ratio,semantic_attn_mean,semantic_k_abs,plan_entropy,barycentric_entropy,teacher_alignment,teacher_abs,bridge_sigma,identity_ratio,t_mean,velocity_abs,endpoint_abs,base_endpoint_abs,final_endpoint_abs,proximal_residual_abs,proximal_clamp_scale,proximal_residual_energy,base_transport_abs,proximal_to_transport_ratio,proximal_trust_penalty,velocity_max,endpoint_max,base_endpoint_max,final_endpoint_max,lr,data_time_sec,forward_time_sec,backward_time_sec,optimizer_time_sec,compute_time_sec,epoch_time_sec,samples_seen,samples_per_sec,cuda_peak_allocated_gb,cuda_peak_reserved_gb
1,8.1238431930542,0.5723358988761902,0.12339402735233307,0.09252257645130157,0.0308714359998703,0.0,0.0,3.9375,0.0,0.0,0.0009765625,0.07074860483407974,0.0,0.0,0.015275700017809868,0.18431779742240906,0.0,0.20084746181964874,1.0,0.27307772636413574,0.49770674109458923,0.5293062925338745,0.49770674109458923,0.2252417802810669,0.6713407635688782,0.002709107706323266,0.27307772636413574,1.0087841749191284,0.015077481046319008,7.471689701080322,3.7130916118621826,3.966657876968384,3.7130916118621826,0.0002,2.378722598987224,198.7474619810382,17.010066880990053,6.431022280106845,222.1885511421351,263.74864983558655,9440,35.79165241560337,7.046825885772705,8.30859375
2,8.011809349060059,0.5769153833389282,0.11934704333543777,0.09214773029088974,0.02719929628074169,0.0,0.0,3.609375,0.0,0.0,0.0009765625,0.07076899707317352,0.0,0.0,0.015051253139972687,0.18148405849933624,0.0,0.19618643820285797,1.0,0.2684520184993744,0.49497437477111816,0.5321407318115234,0.49497437477111816,0.24785518646240234,0.13736337423324585,0.0030785095877945423,0.2684520184993744,1.0999982357025146,0.019240690395236015,7.586771488189697,3.685460329055786,3.9731991291046143,3.685460329055786,0.00019979659770766735,2.4306770989715005,260.10613578201446,16.37661171203945,6.317629910096002,282.8003774041499,340.3190393447876,9440,27.738677266410733,7.046825885772705,8.30859375
3,7.996857643127441,0.5794724822044373,0.11676716804504395,0.09146244078874588,0.025304719805717468,0.0,0.0,3.75,0.0,0.0,0.0009765625,0.07075051218271255,0.0,0.0,0.01529147569090128,0.17593663930892944,0.0,0.1947033852338791,1.0,0.26490211486816406,0.49696049094200134,0.532306969165802,0.49696049094200134,0.24104125797748566,0.05259917303919792,0.0030058857519179583,0.26490211486816406,1.0999982357025146,0.018786776810884476,7.588307857513428,3.7541868686676025,3.9758474826812744,3.7541868686676025,0.00019918726183051203,2.7645439000916667,257.9222685920613,16.389253895038564,6.456896293042519,280.7684187801424,335.8463296890259,9440,28.10809339122714,7.046825885772705,8.30859375
4,8.00106430053711,0.5817156434059143,0.11610548198223114,0.09196868538856506,0.024136822670698166,0.0,0.0,3.9375,0.0,0.0,0.0009765625,0.07073836028575897,0.0,0.0,0.015406724996864796,0.18097788095474243,0.0,0.19788135588169098,1.0,0.26368382573127747,0.5007296204566956,0.5343437790870667,0.5007296204566956,0.2394767552614212,0.027399037033319473,0.002988695167005062,0.26368382573127747,1.0999982357025146,0.018679330125451088,7.509090423583984,3.7672669887542725,3.976827383041382,3.7672669887542725,0.00019817460163830693,4.686944805034727,238.89570083114813,16.1955761300851,6.563497207964247,261.6547741691975,314.7110903263092,9440,29.99576529130926,7.046825885772705,8.30859375
5,7.868778705596924,0.5775490999221802,0.11553952097892761,0.09268497675657272,0.02285451628267765,0.0,0.0,3.90625,0.0,0.0,0.0009765625,0.07073727250099182,0.0,0.0,0.015283018350601196,0.1856810450553894,0.0,0.20328389108181,1.0,0.26207107305526733,0.5028626322746277,0.5359095335006714,0.5028626322746277,0.23861050605773926,0.016384288668632507,0.0029741739854216576,0.26207107305526733,1.0999982357025146,0.01858859695494175,7.532911777496338,3.782717704772949,3.9779396057128906,3.782717704772949,0.00019676295349746153,3.5357510919639026,221.6380154309809,16.058389267003804,6.6025196920963936,244.29892439008108,292.10805439949036,9440,32.31680831056355,7.046825885772705,8.30859375
6,7.902357578277588,0.5847185850143433,0.1154165118932724,0.09302204102277756,0.022394517436623573,0.0,0.0,3.796875,0.0,0.0,0.0009765625,0.07072063535451889,0.0,0.0,0.015315772965550423,0.18223866820335388,0.0,0.201271191239357,1.0,0.2632722556591034,0.50382000207901,0.5361477136611938,0.50382000207901,0.24780668318271637,0.01092492789030075,0.0032112535554915667,0.2632722556591034,1.1437432765960693,0.021635133773088455,7.553946018218994,3.799309730529785,3.979766845703125,3.799309730529785,0.0001949583623020351,3.0923007980236434,258.1787323980243,16.398489191080444,6.4430517001092085,281.02027328921395,336.75853204727173,9440,28.03195495184924,7.046825885772705,8.30859375
7,7.909255027770996,0.591279149055481,0.10910908132791519,0.08763927221298218,0.02146986685693264,0.0,0.0,3.640625,0.0,0.0,0.0009765625,0.07070931047201157,0.0,0.0,0.015867408365011215,0.18019461631774902,0.0,0.19491524994373322,1.0,0.25566771626472473,0.5077658891677856,0.5410897135734558,0.5077658891677856,0.2497541755437851,0.0073632956482470036,0.0032719408627599478,0.25566771626472473,1.1875,0.023574283346533775,7.531488418579102,3.816091775894165,3.98172664642334,3.816091775894165,0.00019276855558857228,2.986325905978447,324.0806635320405,16.71892500192189,6.615036604969646,347.414625138932,418.35154914855957,9440,22.564754497055272,7.046825885772705,8.30859375
8,8.014244079589844,0.5911228060722351,0.11187315732240677,0.09080179780721664,0.021071381866931915,0.0,0.0,3.90625,0.0,0.0,0.0009765625,0.07071834057569504,0.0,0.0,0.015504799783229828,0.18150459229946136,0.0,0.2004237323999405,1.0,0.2587318420410156,0.507490873336792,0.5403809547424316,0.507490873336792,0.26276615262031555,0.005460232961922884,0.0036056279204785824,0.2587318420410156,1.2312570810317993,0.027595726773142815,7.482415199279785,3.838066339492798,3.983977794647217,3.838066339492798,0.00019020291044560543,2.7761342930825776,250.64830165902822,16.08378587786865,6.3619866000371985,273.09407413693407,326.7697043418884,9440,28.888847021519588,7.046825885772705,8.30859375
9,7.901793479919434,0.5961728692054749,0.107076495885849,0.08680880814790726,0.02026771381497383,0.0,0.0,3.75,0.0,0.0,0.0009765625,0.07070621103048325,0.0,0.0,0.015733521431684494,0.1831735372543335,0.0,0.20328389108181,1.0,0.2524760961532593,0.5103626251220703,0.5436011552810669,0.5103626251220703,0.2665427029132843,0.004188567865639925,0.0037034284323453903,0.2524760961532593,1.2750048637390137,0.0299364123493433,7.52029275894165,3.846839666366577,3.985301971435547,3.846839666366577,0.00018727241335952173,4.269143880010233,225.59595170004468,16.09606213195366,6.4528375689988025,248.14485140099714,297.48636865615845,9440,31.73254641092805,7.046825885772705,8.30859375
10,7.980795383453369,0.6036999225616455,0.10561910271644592,0.08585115522146225,0.019767969846725464,0.0,0.0,3.90625,0.0,0.0,0.0009765625,0.07071209698915482,0.0,0.0,0.01603921502828598,0.1808801144361496,0.0,0.19745762646198273,1.0,0.25093144178390503,0.5117565989494324,0.5456329584121704,0.5117565989494324,0.27380305528640747,0.003389175981283188,0.0039092982187867165,0.25093144178390503,1.3187445402145386,0.03321116790175438,7.475317478179932,3.8683738708496094,3.9862287044525146,3.8683738708496094,0.00018398961316874184,3.7444889069593046,241.07890003890498,16.384860904014204,6.440812896908028,263.9045738398272,315.81869530677795,9440,29.89056740554967,7.046825885772705,8.30859375
