batch_size,checkpoint_dir,elapsed_sec,images,images_dir,log_path,max_iter,returncode,stage,status
4,G:\GitHub\Latent_Style\run_511\outputs\adain_vgg19_smoke\checkpoints\adain,7.06,,,G:\GitHub\Latent_Style\run_511\outputs\adain_vgg19_smoke\logs\adain_train.log,50,0,train,ok
,,0.23,15,G:\GitHub\Latent_Style\run_511\outputs\adain_vgg19_smoke\infer_750\images,,,,infer,ok
