epoch,loss,struct,cycle,stroke_gram,color_moment,delta_tv,delta_l2,train_num_steps,train_step_size,train_style_strength,lr,data_time_sec,compute_time_sec,epoch_time_sec
1,3.812042236328125,0.24675032496452332,0.3214806020259857,0.025332603603601456,0.17718102037906647,0.08345665037631989,0.17980284988880157,2.0,1.1463872194290161,1.0,0.0002,1.1498712000000637,142.87472330000023,144.02879118919373
2,3.323578119277954,0.3401767313480377,0.4045763909816742,0.022787854075431824,0.14018458127975464,0.1921183466911316,0.3243146538734436,2.0,1.1506826877593994,1.0,0.00019999479108972367,1.135556099999576,97.96447299999983,99.10261273384094
3,3.1649045944213867,0.35487911105155945,0.41342291235923767,0.021000374108552933,0.13975900411605835,0.27423572540283203,0.3963131308555603,2.0,1.1556447744369507,1.0,0.00019997916493011034,1.1613848999999732,98.04575980000061,99.2097110748291
4,3.073056936264038,0.3619239628314972,0.4235444664955139,0.020136026665568352,0.13747307658195496,0.3480431139469147,0.4549325108528137,2.0,1.149187684059143,1.0,0.0001999531232347445,1.2185686999999916,98.20883860000026,99.43693017959595
5,3.031259298324585,0.3699888586997986,0.440467894077301,0.019475115463137627,0.1389627605676651,0.4186367690563202,0.5182364583015442,2.0,1.146544098854065,1.0,0.00019991666885939155,1.1361030000009578,98.01480379999896,99.15929841995239
6,2.9844889640808105,0.37139180302619934,0.44413185119628906,0.0190728846937418,0.1374509632587433,0.4662833511829376,0.5529356598854065,2.0,1.1650722026824951,1.0,0.00019986980580168453,1.1385846000003994,98.04600060000075,99.1882553100586
7,2.9721076488494873,0.35990163683891296,0.4453057050704956,0.01879131607711315,0.13927748799324036,0.5051749348640442,0.5763571858406067,2.0,1.1556196212768555,1.0,0.00019981253920068581,2.464389599999663,97.65495990000079,100.12368512153625
8,2.943359136581421,0.35565897822380066,0.45211029052734375,0.018584825098514557,0.13788916170597076,0.5447618961334229,0.6097157597541809,2.0,1.1429516077041626,1.0,0.00019974487533632352,1.139690500000711,97.97574160000033,99.11807799339294
9,2.9224724769592285,0.3385884761810303,0.4560505151748657,0.018412791192531586,0.13749663531780243,0.5780215263366699,0.6405231356620789,2.0,1.1489306688308716,1.0,0.00019966682162870294,1.1518934999999146,97.97948869999857,99.13404893875122
10,2.8891162872314453,0.31411415338516235,0.4619520604610443,0.018209408968687057,0.13604025542736053,0.6066361665725708,0.6682764291763306,2.0,1.1523696184158325,1.0,0.0001995783866372926,1.14172550000103,97.94427530000098,99.08860516548157
11,2.8813107013702393,0.30177682638168335,0.46286872029304504,0.0181115735322237,0.13641947507858276,0.6298627257347107,0.685988187789917,2.0,1.15638267993927,1.0,0.00019947958005998598,1.1496845000017402,98.01627019999955,99.16873502731323
12,2.870072603225708,0.28961098194122314,0.46228456497192383,0.01798982545733452,0.13667669892311096,0.6496217250823975,0.6996816396713257,2.0,1.152931809425354,1.0,0.00019937041273203768,1.1575241000005008,98.03936389999853,99.19970107078552
13,2.8537707328796387,0.281236857175827,0.46058765053749084,0.017887568101286888,0.13602259755134583,0.6635306477546692,0.7087811827659607,2.0,1.1510432958602905,1.0,0.00019925089662487544,1.1648360000001503,98.0192131000008,99.18681812286377
14,2.858734369277954,0.2787037789821625,0.45738762617111206,0.017843404784798622,0.13725905120372772,0.6817723512649536,0.7193449139595032,2.0,1.1581617593765259,1.0,0.00019912104484478716,1.1571289999985765,98.04971150000051,99.20951223373413
15,2.8636627197265625,0.27443450689315796,0.4521583020687103,0.017783835530281067,0.13877184689044952,0.6902005076408386,0.7232190370559692,2.0,1.1535066366195679,1.0,0.00019898087163148392,1.1596182000009776,98.04070409999872,99.2029800415039
16,2.83620548248291,0.2620837688446045,0.4424597918987274,0.017685357481241226,0.13698454201221466,0.700941801071167,0.7290530800819397,2.0,1.144303321838379,1.0,0.00019883039235653812,1.161148100002265,98.01157369999964,99.17518091201782
17,2.821946382522583,0.26186856627464294,0.4375181496143341,0.017640361562371254,0.13582104444503784,0.7129684090614319,0.7386134266853333,2.0,1.1501646041870117,1.0,0.000198669623521698,1.1513119999988248,98.06628809999734,99.22042918205261
18,2.8255703449249268,0.2591162621974945,0.42832088470458984,0.01757976971566677,0.13724929094314575,0.7172806262969971,0.73652184009552,2.0,1.1446187496185303,1.0,0.000198498582757078,1.1605228000007628,97.88659779999853,99.05039882659912
19,2.810401201248169,0.2567403316497803,0.4180464446544647,0.01754184626042843,0.1360839456319809,0.7263622879981995,0.7428602576255798,2.0,1.1425882577896118,1.0,0.00019831728881922547,1.137006100001372,97.6148303,98.75432205200195
20,2.814007043838501,0.2578362822532654,0.4126245379447937,0.017515653744339943,0.13692843914031982,0.7329797744750977,0.7492247223854065,2.0,1.1566717624664307,1.0,0.00019812576158906363,1.1521921999974438,97.59293410000191,98.74770307540894
21,2.8093161582946777,0.25373655557632446,0.40267738699913025,0.01748715527355671,0.13700555264949799,0.7390609383583069,0.7539569735527039,2.0,1.150568962097168,1.0,0.00019792402206971158,1.1362142999983007,97.61032929999874,98.74931144714355
22,2.7884764671325684,0.25120973587036133,0.3953428864479065,0.01743893511593342,0.13518168032169342,0.7452024817466736,0.7567505240440369,2.0,1.157106637954712,1.0,0.00019771209238418104,1.1769722999988517,97.80753160000359,98.99203705787659
23,2.8069052696228027,0.24821779131889343,0.39546096324920654,0.017433127388358116,0.1376202404499054,0.7469472289085388,0.7574591636657715,2.0,1.1412211656570435,1.0,0.00019748999577295025,1.1484391000008145,97.83522499999572,98.98895168304443
24,2.7835493087768555,0.24410480260849,0.3839198350906372,0.01736982725560665,0.13579602539539337,0.7531575560569763,0.7596437335014343,2.0,1.1433792114257812,1.0,0.00019725775659141547,1.126297799995882,97.94064389999585,99.06962966918945
25,2.7772650718688965,0.24662454426288605,0.3826891779899597,0.017334602773189545,0.1353650540113449,0.7601501941680908,0.7659388184547424,2.0,1.163741111755371,1.0,0.00019701540030722,1.1245007000015903,97.9592290999999,99.08628368377686
26,2.7855582237243652,0.24743354320526123,0.378294438123703,0.017301147803664207,0.13686266541481018,0.7641273140907288,0.7669528126716614,2.0,1.1549276113510132,1.0,0.00019676295349746153,2.2725824999993165,97.58061360000238,99.85576343536377
27,2.7803878784179688,0.24313922226428986,0.3749001920223236,0.017308048903942108,0.13632844388484955,0.7664604783058167,0.7629292607307434,2.0,1.1424353122711182,1.0,0.00019650044384577757,1.1452646000016102,97.62834480000083,98.77686643600464
28,2.7620551586151123,0.24561509490013123,0.374122679233551,0.017240798100829124,0.13474354147911072,0.7719153165817261,0.7687897086143494,2.0,1.1482702493667603,1.0,0.00019622790013930965,1.1399858999998287,97.89730169999848,99.04003071784973
29,2.772688150405884,0.24515441060066223,0.37346696853637695,0.0172495786100626,0.13599726557731628,0.7751249074935913,0.7723283767700195,2.0,1.148356556892395,1.0,0.00019594535226554643,1.1170527000022048,97.89528550000296,99.01556444168091
