name,category,transfer_clip_style,transfer_clip_t,transfer_content_lpips,allpairs_clip_style,allpairs_clip_t,allpairs_content_lpips,identity_clip_style,identity_content_lpips,wall_total_sec
DA01_backbone1,Architecture,0.674961525996526,0.21289342157542707,0.42141505995,0.7048840405146283,0.22336168974637985,0.4212064165933333,0.8245740985870362,0.42037184316666665,131.32519446700007
DA02_backbone8,Architecture,nan,nan,nan,nan,nan,nan,nan,nan,196.23186528099995
DA03_no_shortcut,Architecture,0.6773401932915053,0.21826848057409126,0.38528263316,0.7074286568164826,0.228861464480559,0.38888277296800006,0.8277825109163921,0.4032833322,154.59081069399986
DA04_gate0,Architecture,0.67432721277078,0.2144704923033714,0.44059391881666654,0.7034426367282866,0.2246512269973755,0.439832271408,0.8199043325583141,0.4367856817733333,154.41413530499995
DA05_gate100,Architecture,0.6663724189500014,0.20717287580172222,0.29112958678666667,0.7016225574413935,0.21966281223297116,0.2905861456093333,0.8426231114069621,0.2884123809,154.33303167299982
DA06_embed0,Architecture,0.676925598680973,0.21184637976189452,0.37133120001666664,0.7080269111792248,0.22278512477874757,0.367174245464,0.832432161172231,0.3505464272533333,154.665967808
DA07_embed100,Architecture,0.6771010235945384,0.21102679898341498,0.37314827163333336,0.7078007976214091,0.2218902572194735,0.37010859926133327,0.8305998937288919,0.3579499097733333,152.04593146900015
DA08_1head,Architecture,0.677474881807963,0.21076183850566546,0.3771648965833333,0.7083615811665854,0.22180297962824505,0.37467643134666667,0.8319083786010744,0.3647225704,149.38748401800012
DA10_velfloor10,Architecture,0.671672351807356,0.2106639912476142,0.2787569782383334,0.7043323602279027,0.2221428313851356,0.27917888377466665,0.8349723939100901,0.28086650591999995,151.66082466100033
DA11_lock_ll,Architecture,0.676282488803069,0.21053596518933776,0.33888266982500004,0.7082630774974824,0.2217374479571978,0.33653082906533344,0.8361854322751364,0.32712346602666664,151.13122858900033
DA12_delta0,Architecture,0.6635510727763175,0.20676284015178684,0.25057922832833335,0.6993435633182525,0.2195718184113502,0.25058205238799997,0.8425135254859925,0.25059334862666666,148.30973035700026
DA13_delta100,Architecture,0.6759102161725363,0.2102092699209849,0.31850770970000003,0.7077177791595459,0.22199681387344994,0.31773160309333337,0.8349480311075848,0.3146271766666667,151.31435289499996
DA14_time8,Architecture,0.6738343412677448,0.2113155559947093,0.3626382789583334,0.7054827147324879,0.22217041464646659,0.36116577136000005,0.8320762085914613,0.3552757409666667,148.69903309699976
DD01_random_pair,Data,0.6761755870779356,0.21189170084893702,0.3939547613183333,0.7068194178740183,0.22265240518252058,0.3903781500213333,0.8293947410583498,0.3760717048333333,148.21048332300006
DD03_batch2,Data,0.6771630806724229,0.21566331987579668,0.5340225777333334,0.7021505033175149,0.22485069326559703,0.5331420177466666,0.8021001938978831,0.5296197778,147.7608994010002
DN01_adain_off,Inference,0.6746616105238596,0.21031029130021733,0.3439566455483334,0.7066734743118288,0.22152174850304923,0.3405272506226666,0.8347209294637045,0.32680967092,148.7756956659996
DN02_adain_all,Inference,0.6918251284956932,0.21916750354071457,0.400040237505,0.7214907167752582,0.22963908207416536,0.3888005917546667,0.840153069893519,0.3438420087533333,150.74531018199923
DN04_multiband,Inference,0.6763941634694736,0.21032976453502972,0.34199422647500005,0.7083615387280783,0.22157138429085413,0.33847579837066666,0.836231039762497,0.3244020859533333,151.16610543999923
DN05_patch64,Inference,0.6933897360165914,0.21912085148195432,0.40078749798,0.7227463751633962,0.22957718769709268,0.38961388231066674,0.8401729317506155,0.3449194196333334,151.22621472599894
DN06_extrap10,Inference,0.6740234160423278,0.21155113307138285,0.39640993861,0.7049881525039672,0.222543046494325,0.3931311035173334,0.828847098350525,0.3800157631466667,146.3439806080005
DN07_zerostep_wct,Inference,0.6738892773787181,0.2142080215613047,0.4360846042566666,0.7030956088701885,0.2245121967792511,0.43583949243199993,0.8199209348360699,0.4348590451333334,149.4737199049996
DN08_spectral_ode,Inference,0.66599520166715,0.2086618073284626,0.27365410525666667,0.7010672747294108,0.22117527643839516,0.273823238784,0.8413555669784547,0.2744997728933334,128.3475178839999
DN09_adain_5x,Inference,0.7121837869286537,0.22809581160545353,0.5396639710733333,0.7313315213521322,0.23579401048024493,0.5298541251386667,0.8079224590460459,0.49061474140000005,153.548590325001
DI01_no_amp_notf32,Infrastructure,0.6741330232222875,0.21343563218911488,0.42181065958,0.7039483135541279,0.22390367740392683,0.42112415979733336,0.8232094748814902,0.41837816066666667,174.4490289209998
DI03_workers0,Infrastructure,0.6748381692171097,0.21199030218025045,0.3686486578233333,0.7063986368974051,0.22302360602219903,0.36576204857200006,0.8326405076185862,0.3542156115666667,330.0035985869995
DI04_acc8,Infrastructure,0.6710707381367683,0.21493779731293522,0.45224756499166663,0.6995491509437562,0.22524506147702536,0.4558010690733334,0.8134628021717072,0.47001508540000003,534.5513397860004
DL01_no_swd,Loss,0.678688849111398,0.21129582503189642,0.32070722037,0.710552023410797,0.222932025184234,0.31597753193600003,0.8380047206083934,0.29705877820000004,541.310772924
DL02_no_fm,Loss,0.6910100135207176,0.22589160807430747,0.6897190871833334,0.6997986361185708,0.2298727909326553,0.68804239508,0.7349531265099843,0.6813356266666666,548.0880478649997
DL03_swd_only,Loss,0.6965169273813565,0.22694734918574494,0.6910997306000001,0.704671696503957,0.23038785918553673,0.6898743019199999,0.7372907729943594,0.6849725872,545.3872640260006
DL04_fm_only,Loss,0.6754646898806095,0.21032339283575618,0.3160199089,0.7071996701161067,0.2220842069685459,0.31294079730266666,0.8341395910580953,0.30062435091333334,528.5107011800001
DL05_swd1000,Loss,0.6930129130681355,0.2258615531027317,0.7064502230666665,0.7033322281837464,0.23043491623799006,0.7007701967866667,0.7446094886461895,0.6780500916666666,155.89273617800063
DL06_neg_swd100,Loss,0.6384329041838647,0.21083973107238613,0.8907117084166666,0.6386359012126923,0.21088903739055,0.8907063132666666,0.6394478893280029,0.8906847326666666,152.2450746579998
DL07_ep_style_only,Loss,0.6921756233771642,0.2262063165505727,0.7179754654333335,0.6998143308957416,0.22983700062831244,0.7158898221066667,0.7303691609700521,0.7075472487999999,155.1020320589996
DL08_ep_content_only,Loss,0.6283738286296526,0.22721024297177794,0.8860418792499999,0.6296505192120869,0.22771796896060306,0.8852059062,0.6347572815418243,0.881862014,146.25036991199977
