epoch,loss,swd,repulsive,color,oob,identity,identity_ratio,lr,data_time_sec,transfer_time_sec,fwd_loss_time_sec,backward_time_sec,optimizer_time_sec,step_overhead_time_sec,compute_time_sec,epoch_time_sec,samples_seen,samples_per_sec,compute_samples_per_sec
1,33.7755126953125,18.62297821044922,9.420266151428223,1.587049961090088,0.00022038340102881193,4.144996643066406,0.20205079019069672,1e-05,0.5704146004281938,0.00660720095038414,30.191152900457382,6.234701100969687,0.1246056011877954,0.028224297100678086,36.55706680356525,37.80215263366699,10240,270.8840446001519,280.1100004828981
2,27.9223575592041,14.887199401855469,8.168495178222656,0.9068458676338196,0.002047147136181593,3.9577672481536865,0.20400391519069672,2e-05,0.5957210990600288,0.0072467997670173645,21.530099201016128,1.5757197998464108,0.1066039998549968,0.026835299329832196,23.219669800484553,24.50365686416626,10240,417.89680849533954,441.00540998159715
3,21.13080596923828,10.621962547302246,5.927423477172852,0.4177176058292389,0.00814069900661707,4.155561447143555,0.20283202826976776,3e-05,0.5858408997301012,0.006963401101529598,21.453544199466705,1.6712476997636259,0.10454129916615784,0.030185900162905455,23.23629659949802,24.497401237487793,10240,418.00352211768364,440.68984728922845
4,16.229150772094727,8.34607219696045,3.623142719268799,0.20514659583568573,0.00878360029309988,4.046003818511963,0.20126953721046448,4e-05,0.5548348012380302,0.006571099394932389,21.402012300211936,1.5889946995303035,0.10085929883643985,0.027259700931608677,23.098437397973612,24.327019453048706,10240,420.9311387185455,443.3200317220739
5,13.556073188781738,6.864267826080322,2.608450174331665,0.1351316124200821,0.0035713729448616505,3.9446513652801514,0.20097656548023224,5e-05,0.5443517998792231,0.006138599012047052,21.396031600190327,1.5487644989043474,0.09498879942111671,0.025272501865401864,23.045923497527838,24.269723653793335,10240,421.92487010042646,444.33020881538795
6,12.667474746704102,6.3582024574279785,2.380033493041992,0.10140915215015411,0.0027916778344660997,3.8250374794006348,0.19882813096046448,6e-05,0.5937488998752087,0.006705200299620628,21.24336190102622,1.6159848996903747,0.10166829847730696,0.02685320097953081,22.96772029949352,24.239479541778564,10240,422.4513146971902,445.84311662075623
7,11.961165428161621,5.853468418121338,2.275336742401123,0.08941151946783066,0.00252128834836185,3.740426778793335,0.19921875,7e-05,0.5829981998540461,0.007162100402638316,21.281404299894348,1.6440445994958282,0.10250210133381188,0.02674699854105711,23.035113101126626,24.289021492004395,10240,421.58964713217716,444.5387333261746
8,11.41626262664795,5.571887969970703,2.1667935848236084,0.08454784005880356,0.002107095904648304,3.5909252166748047,0.19453124701976776,8e-05,0.5840814996045083,0.0066425008699297905,21.346507499925792,1.560764699941501,0.10359449940733612,0.027387700276449323,23.01750920014456,24.269715785980225,10240,421.92500688101563,444.87871867281314
9,11.151030540466309,5.423191070556641,2.100165605545044,0.08198373764753342,0.0015672898152843118,3.5441231727600098,0.20742188394069672,9e-05,0.5478843001183122,0.006719500059261918,21.341778400121257,1.5771411994937807,0.10553629999049008,0.028786200797185302,23.03117539966479,24.258130311965942,10240,422.1265146287411,444.6147372986026
10,11.049257278442383,5.36572265625,2.070955991744995,0.07908184826374054,0.001335887354798615,3.5321598052978516,0.20058594644069672,0.0001,0.5912159003783017,0.007296500727534294,21.30004750029184,1.654297400265932,0.10287190065719187,0.027499598683789372,23.064513301942497,24.299238920211792,10240,421.4123756560334,443.97208239107243
11,10.885136604309082,5.324905872344971,2.0369672775268555,0.0817532017827034,0.0011565330205485225,3.4403531551361084,0.20185546576976776,9.933543077861571e-05,0.6260704996529967,0.0060869003646075726,21.25916270026937,1.590525099541992,0.1021109998691827,0.02655360009521246,22.957885700045153,24.2615966796875,10240,422.0662034404858,446.0341049602778
12,10.78348445892334,5.3146562576293945,2.0371363162994385,0.08528373390436172,0.0010674713412299752,3.3453431129455566,0.201171875,9.860471227032953e-05,0.5638301004655659,0.006216298555955291,21.312561399536207,1.5667334999889135,0.10148160066455603,0.02598900138400495,22.986992798745632,24.23328399658203,10240,422.559319712685,445.4693177856123
13,10.698649406433105,5.234914302825928,2.014827251434326,0.08277406543493271,0.0010675936937332153,3.36506724357605,0.205078125,9.780897119011768e-05,0.5975910993292928,0.007602500496432185,21.2368039006833,1.6420779002364725,0.1072425008751452,0.028552097734063864,22.99372680229135,24.271188020706177,10240,421.8994138755827,445.33885646495435
