epoch,loss_total,loss_style_swd,loss_style_swd_weighted,loss_mse,loss_mse_weighted,loss_layout,loss_mse_raw,learning_rate,epoch_time
1,13.047169,0.995544,3.213958,3.51e-05,0.00
2,9.856320,0.998608,2.631823,5.01e-05,0.00
3,8.099421,1.005702,2.412764,6.52e-05,0.00
4,6.934833,1.014856,2.263433,8.02e-05,0.00
5,6.112778,1.025763,2.149425,9.53e-05,0.00
6,5.524193,1.036821,2.063566,1.10e-04,0.00
7,5.096767,1.044655,1.998149,1.25e-04,0.00
8,4.800544,1.048681,1.954334,1.40e-04,0.00
9,4.558226,1.050670,1.904342,1.56e-04,0.00
10,4.362163,1.050804,1.852315,1.71e-04,0.00
11,4.215882,1.051194,1.805678,1.86e-04,0.00
12,4.097560,1.051398,1.757717,2.00e-04,0.00
13,4.003671,1.050430,1.712273,2.00e-04,0.00
14,3.907040,1.050352,1.663170,2.00e-04,0.00
15,3.829128,1.049687,1.624183,2.00e-04,0.00
16,3.748575,1.048518,1.583156,2.00e-04,0.00
17,3.669677,1.047895,1.543460,2.00e-04,0.00
18,3.598895,1.047416,1.507172,2.00e-04,0.00
19,3.536699,1.046832,1.475761,2.00e-04,0.00
20,3.481157,1.046252,1.447356,2.00e-04,0.00
21,3.429757,1.045380,1.421283,2.00e-04,0.00
22,3.387229,1.045035,1.399476,2.00e-04,0.00
23,3.333464,1.044406,1.372414,2.00e-04,0.00
24,3.310536,1.044064,1.360535,2.00e-04,0.00
25,3.265924,1.043647,1.337853,2.00e-04,0.00
26,3.238674,1.043181,1.323915,2.00e-04,0.00
27,3.216967,1.043065,1.313077,2.00e-04,0.00
28,3.186895,1.042907,1.297416,2.00e-04,0.00
29,3.175094,1.043093,1.291486,2.00e-04,0.00
30,3.150396,1.042330,1.279044,2.00e-04,0.00
31,3.104344,1.041788,1.255583,2.00e-04,0.00
32,3.086381,1.041533,1.246370,2.00e-04,0.00
33,3.069288,1.040969,1.238034,2.00e-04,0.00
34,3.067779,1.041502,1.236788,2.00e-04,0.00
35,3.041305,1.040724,1.223508,2.00e-04,0.00
36,3.000423,1.040660,1.202668,2.00e-04,0.00
37,2.995179,1.040498,1.199800,2.00e-04,0.00
38,2.985031,1.040889,1.194533,2.00e-04,0.00
39,2.969080,1.040622,1.186728,2.00e-04,0.00
40,2.961259,1.040000,1.182378,2.00e-04,0.00
