patch_size,style,inter_base_swd,intra_base_swd,inter_hf_swd,intra_hf_swd,base_snr,hf_snr,combined_snr,hf_ratio
1,Hayao,0.42677807807922363,0.32636433839797974,0.11844108998775482,0.1126934140920639,1.3076737093807684,1.0510026733325222,1.2028252701985351,2.0
1,monet,0.4356403052806854,0.32540708780288696,0.10680807381868362,0.1005149707198143,1.3387547727817892,1.0626085092371587,1.2333031388753735,2.0
1,vangogh,0.46718478202819824,0.31066030263900757,0.10512278974056244,0.10233305394649506,1.5038444340042711,1.027261235875103,1.3145655540229768,2.0
1,cezanne,0.44424009323120117,0.41725653409957886,0.11154048144817352,0.10469067096710205,1.064668965683574,1.065428941886661,1.0649229339631276,2.0
3,Hayao,0.38203126192092896,0.30301734805107117,0.1170252338051796,0.10991956293582916,1.2607570219014999,1.0646441819192538,1.1782998747746922,2.0
3,monet,0.39027196168899536,0.3041329085826874,0.1063159704208374,0.10161052644252777,1.283228278963458,1.0463085241260495,1.188329916461494,2.0
3,vangogh,0.41615211963653564,0.2931201756000519,0.10644051432609558,0.10201072692871094,1.419732041942532,1.043424619121028,1.2652996618331651,2.0
3,cezanne,0.4024015963077545,0.39164304733276367,0.10739739239215851,0.10262328386306763,1.0274702660332102,1.0465206129074465,1.034020956606791,2.0
5,Hayao,0.36444324254989624,0.2805936932563782,0.11056321859359741,0.10761652886867523,1.298829012627218,1.027381290607367,1.1809965209693423,2.0
5,monet,0.3593136668205261,0.28531017899513245,0.09996406733989716,0.09812197834253311,1.2593790221303882,1.0187733557837573,1.1613269380339097,2.0
5,vangogh,0.3709583878517151,0.2668817341327667,0.10257142782211304,0.09923884272575378,1.3899728850212136,1.0335813545282393,1.2379704952161328,2.0
5,cezanne,0.36672988533973694,0.35746321082115173,0.10525596141815186,0.10123924165964127,1.0259234068816874,1.0396754192930473,1.0308962592135618,2.0
