epoch,loss,code,code_ref,code_proto,code_ref_cos,code_proto_cos,cycle,gram,nce,w_cycle_eff,w_nce_eff,style_ref_alpha,transfer_ratio,lr,epoch_time_sec
11,41.646202659606935,4.090121245384216,0.16014758870005608,3.929973673820496,0.9999702751636506,0.341160549223423,0.03549217376857996,0.018887107819318773,0.8692384481430053,3.0,0.30000001192092896,0.0,1.0,0.00019535036904803958,11.608919858932495
12,32.05612583160401,3.1349636554718017,0.08930517323315143,3.0456584811210634,0.9999650686979293,0.4054480314254761,0.02439873879775405,0.01815859545022249,0.7369181156158447,3.5,0.3499999940395355,0.0,1.0,0.0001943836730506514,3.8719215393066406
13,40.077812576293944,3.939407932758331,0.09571958184242249,3.8436883449554444,0.9999833434820176,0.48974023163318636,0.018926992965862154,0.017492691334336997,0.6454287171363831,4.0,0.4000000059604645,0.0,1.0,0.00019332876615938386,3.8657867908477783
14,50.56991844177246,4.988191628456116,0.10850712247192859,4.879684472084046,0.9999898195266723,0.5539954781532288,0.01822033110074699,0.01691380897536874,0.5949658155441284,4.5,0.44999998807907104,0.0,1.0,0.00019218668943997818,3.963825225830078
15,50.02018299102783,4.935365295410156,0.07740990072488785,4.857955384254455,0.9999907910823822,0.6059530824422836,0.013905071699991823,0.01638098401017487,0.5387702941894531,5.0,0.5,0.0,1.0,0.00019095856998427185,3.954479455947876
16,53.09975795745849,5.2458877801895145,0.07120721004903316,5.174680542945862,0.9999919235706329,0.6482678771018981,0.011399148078635336,0.01600235649384558,0.46934062242507935,5.5,0.550000011920929,0.0,1.0,0.00018964561979789495,6.075965642929077
17,58.62761249542236,5.800113916397095,0.07390200756490231,5.726211953163147,0.9999929279088974,0.6811128556728363,0.00910382333677262,0.015673483395949005,0.4306334614753723,6.0,0.6000000238418579,0.0,1.0,0.00018824913460416704,3.9393742084503174
18,56.57956657409668,5.5999674797058105,0.05949560049921274,5.540471887588501,0.9999931365251541,0.7087633818387985,0.005665265349671244,0.015338633768260479,0.3635298043489456,6.5,0.6499999761581421,0.0,1.0,0.00018677049256537467,3.7880942821502686
19,62.045115089416505,6.147575497627258,0.05536999590694904,6.092205500602722,0.9999941647052765,0.7409718334674835,0.004654363926965744,0.015020901570096612,0.3376589059829712,7.0,0.699999988079071,0.0,1.0,0.00018521115292269145,3.788813591003418
20,70.12807235717773,6.956534385681152,0.06215912289917469,6.894375252723694,0.9999948382377625,0.7638711124658585,0.00395688641583547,0.014793051080778242,0.3162557899951935,7.5,0.75,0.0,1.0,0.0001835726545560834,3.9094581604003906
21,77.14657554626464,7.657237482070923,0.0565039562061429,7.600733470916748,0.9999951362609864,0.7810336291790009,0.004883221618365496,0.01458052909001708,0.3044056802988052,8.0,0.800000011920929,0.0,1.0,0.00018185661446562003,3.917240619659424
22,77.31079177856445,7.675899481773376,0.04341581985354424,7.632483625411988,0.9999955236911774,0.7994702160358429,0.0035140944295562805,0.014400110626593233,0.2752080649137497,8.5,0.8500000238418579,0.0,1.0,0.0001800647261756906,3.957432746887207
23,76.15525093078614,7.561272025108337,0.04149094764143228,7.51978108882904,0.9999957591295242,0.8151511460542679,0.0027828679769299923,0.014212455647066236,0.25914824604988096,9.0,0.8999999761581421,0.0,1.0,0.0001781987580637,3.971688985824585
24,73.1083267211914,7.257707905769348,0.0422292941249907,7.2154785871505736,0.9999958336353302,0.8270631998777389,0.0021240990550722926,0.014028262253850699,0.24263532906770707,9.5,0.949999988079071,0.0,1.0,0.00017626055161489368,6.1480443477630615
25,71.77901077270508,7.1252916812896725,0.03838509414345026,7.086906552314758,0.999995082616806,0.8371295183897018,0.002016097295563668,0.013881022622808815,0.22831273227930068,10.0,1.0,0.0,1.0,0.0001742520196050341,3.936875343322754
26,68.48694801330566,6.796993112564087,0.03057268848642707,6.7664204120635985,0.9999956369400025,0.8463921338319779,0.0019171789521351458,0.01369451847858727,0.22395426779985428,10.0,1.0,0.0,1.0,0.000172175144212722,3.80047869682312
27,66.89521026611328,6.637975406646729,0.018437992502003907,6.619537425041199,0.999996030330658,0.8554265469312667,0.003513191401725635,0.013521160511299968,0.20990031808614731,10.0,1.0,0.0,1.0,0.00017003197506322543,3.8085732460021973
28,70.42766876220703,6.993056058883667,0.018059328477829695,6.974996662139892,0.9999961465597152,0.866122031211853,0.0030410131730604917,0.013353568920865654,0.19962762668728828,10.0,1.0,0.0,1.0,0.00016782462720574693,3.880317211151123
29,66.94405860900879,6.647566461563111,0.02574697621166706,6.621819472312927,0.9999959886074066,0.8755590707063675,0.0011682054318953305,0.013202859554439783,0.19265498891472815,10.0,1.0,0.0,1.0,0.00016555527902612554,3.875952959060669
30,61.20946731567383,6.076043629646302,0.01826671464368701,6.057776927947998,0.9999958723783493,0.8797472953796387,0.0008304210874484852,0.013038586732000113,0.17995482236146926,10.0,1.0,0.0,1.0,0.0001632261700970328,3.9732282161712646
