epoch,loss,code,code_ref,code_proto,code_ref_cos,code_proto_cos,cycle,gram,nce,w_cycle_eff,w_nce_eff,style_ref_alpha,transfer_ratio,lr,epoch_time_sec
1,14.539707690477371,1.3946857582777739,0.1348876090720296,1.2597981467843056,0.9770999699831009,0.00032070132438093423,0.0,0.029642511531710623,0.0,0.0,0.0,0.0,1.0,0.0002,10.129220247268677
2,49.56008396148682,4.901168584823608,0.3445106975734234,4.556657874584198,0.9999650239944458,0.08268581386655569,0.0,0.027419904246926308,0.0,0.0,0.0,0.0,1.0,0.0001999531232347445,2.4335174560546875
3,28.160710906982423,2.766608774662018,0.1166523564606905,2.649956393241882,0.9997366398572922,0.11423575505614281,0.0,0.024731145799160005,0.0,0.0,0.0,0.0,1.0,0.00019981253920068581,2.4356398582458496
4,82.75936889648438,8.2276251912117,0.4887874394655228,7.738837659358978,0.9999523997306824,0.08389260359108448,0.0,0.024155867658555506,0.0,0.0,0.0,0.0,1.0,0.0001995783866372926,2.4301507472991943
5,78.44941997528076,7.797683596611023,0.38445366024971006,7.413229942321777,0.9999438226222992,0.09234467670321464,0.0,0.023629261739552022,0.0,0.0,0.0,0.0,1.0,0.0001992508966248754,2.421560525894165
6,21.363639736175536,2.068574896454811,0.09807991478592157,1.9704949885606766,0.9991608023643493,-0.03893329964485019,0.16845903992652894,0.022344570234417917,2.935398483276367,0.5,0.05000000074505806,0.0,1.0,0.0001988303923565381,4.307879686355591
7,13.943512296676635,1.3224562495946883,0.0807827863842249,1.2416734725236893,0.999719375371933,-0.08552362592890858,0.10082878991961479,0.021836418379098176,1.8139245986938477,1.0,0.10000000149011612,0.0,1.0,0.00019831728881922545,6.067745923995972
8,21.536649703979492,2.077362734079361,0.10775359123945236,1.9696091413497925,0.9999358147382736,0.07442181576043368,0.07851572856307029,0.021067677717655896,1.4926345825195313,1.5,0.15000000596046448,0.0,1.0,0.00019771209238418101,4.258727788925171
9,29.081547737121582,2.833281898498535,0.13407070375978947,2.6992111921310427,0.9999467760324479,0.18416763171553613,0.053209595009684564,0.020010192319750784,1.2105284690856934,2.0,0.20000000298023224,0.0,1.0,0.00019701540030721995,4.236691474914551
10,38.67889842987061,3.789945662021637,0.17232837453484534,3.6176172494888306,0.9999640852212905,0.26742798164486886,0.052044864371418954,0.019318270869553088,1.0518576145172118,2.5,0.25,0.0,1.0,0.0001962279001393096,3.981971502304077
11,46.08511619567871,4.531944584846497,0.18827503845095633,4.343669545650482,0.9999741017818451,0.3378463417291641,0.039499097131192686,0.01897348864004016,0.8923441171646118,3.0,0.30000001192092896,0.0,1.0,0.00019535036904803958,4.170222043991089
12,33.94577007293701,3.3203445196151735,0.10464120246469974,3.215703344345093,0.9999580234289169,0.38821670562028887,0.03184641404077411,0.017943948227912187,0.7770954370498657,3.5,0.3499999940395355,0.0,1.0,0.0001943836730506514,4.177310228347778
13,32.41950511932373,3.172745978832245,0.06877002827823162,3.1039759635925295,0.9999750643968582,0.4601196810603142,0.021105207875370978,0.017440593987703323,0.6470319628715515,4.0,0.4000000059604645,0.0,1.0,0.00019332876615938386,4.177554368972778
14,47.75140781402588,4.707190012931823,0.09487912934273482,4.612310862541198,0.9999830782413482,0.5279384344816208,0.017448296351358295,0.016831633262336256,0.5874604821205139,4.5,0.44999998807907104,0.0,1.0,0.00019218668943997818,4.19877290725708
