suite,base,variant,config_effect_classification,plain_forward_delta,plain_integrate_delta,configured_forward_delta,spatial_forward_delta,code_forward_delta,anatomy_code_body_dead_spatial_body_live,anatomy_code_first_live_stage,anatomy_code_first_live_stage_delta,anatomy_code_only_delta,anatomy_spatial_delta,training_effect_classification,training_path_changed,ot_match_changed,bridge_state_changed,component_changed,matched_target_delta,objective_target_delta,x_t_delta,target_velocity_delta,pred_velocity_delta,plain_path_distill,plain_path_distill_active,matched_target_style_code_active,matched_target_style_code_abs,style_code_override_active,style_spatial_source_target_latent,style_spatial_map_abs,ot_topogate_probe_active,ot_topogate_descriptor_blocks,ot_total_cost_matrix_var,ot_topogate_complexity_term_var,ot_latent_affinity_term_var,styleid_eval_live,styleid_body_live,styleid_decoder_only,styleid_code_map_active,max_forward_pair_delta,max_predict_transport_base_pair_delta,max_integrate_pair_delta,max_body_pair_delta,max_decoder_pair_delta,bug_tags,doc_refs
stage1_h0_h6_old_base,remote_h1_old_base,h0_vertical_fm,no_effect,0.0,0.0,0.0,0.0,0.0,True,first_hires_block_gate1_a_vs_b_mean_abs,0.0036648716777563095,0.0009566942462697625,0.027238747105002403,bridge_only_change,True,False,True,True,0.0,0.0,0.08638186007738113,0.30444979667663574,0.03564941883087158,0.0,0.0,0.0,0.0,0.0,1.0,0.5686835050582886,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,train_eval_contract_gap;old_no_reference_code_path_body_dead,docs/experiments/2026-06-18-stage1-config-effect-probe/README.md;docs/experiments/2026-06-18-stage1-training-effect-probe/README.md
stage1_h0_h6_old_base,remote_h1_old_base,h2_euclidean_ot,no_effect,0.0,0.0,0.0,0.0,0.0,True,first_hires_block_gate1_a_vs_b_mean_abs,0.0036648716777563095,0.0009566942462697625,0.027238747105002403,ot_or_target_change,True,True,True,True,0.45671725273132324,0.45671725273132324,0.21280144155025482,0.5258305072784424,0.07685256749391556,0.0,0.0,0.0,0.0,0.0,1.0,0.6037359833717346,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,train_eval_contract_gap;old_no_reference_code_path_body_dead,docs/experiments/2026-06-18-stage1-config-effect-probe/README.md;docs/experiments/2026-06-18-stage1-training-effect-probe/README.md
stage1_h0_h6_old_base,remote_h1_old_base,h3_sde_noise,no_effect,0.0,0.0,0.0,0.0,0.0,True,first_hires_block_gate1_a_vs_b_mean_abs,0.0036648716777563095,0.0009566942462697625,0.027238747105002403,bridge_only_change,True,False,True,True,0.0,0.0,0.08667436987161636,0.30537015199661255,0.03578577935695648,0.0,0.0,0.0,0.0,0.0,1.0,0.5686835050582886,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,train_eval_contract_gap;old_no_reference_code_path_body_dead,docs/experiments/2026-06-18-stage1-config-effect-probe/README.md;docs/experiments/2026-06-18-stage1-training-effect-probe/README.md
stage1_h0_h6_old_base,remote_h1_old_base,h4_unbalanced_ot,no_effect,0.0,0.0,0.0,0.0,0.0,True,first_hires_block_gate1_a_vs_b_mean_abs,0.0036648716777563095,0.0009566942462697625,0.027238747105002403,ot_or_target_change,True,True,True,True,0.06527001410722733,0.06527001410722733,0.08781793713569641,0.31009694933891296,0.03705272451043129,0.0,0.0,0.0,0.0,0.0,1.0,0.5717247128486633,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,train_eval_contract_gap;old_no_reference_code_path_body_dead,docs/experiments/2026-06-18-stage1-config-effect-probe/README.md;docs/experiments/2026-06-18-stage1-training-effect-probe/README.md
stage1_h0_h6_old_base,remote_h1_old_base,h5_topogate_attention,no_effect,0.0,0.0,0.0,0.0,0.0,True,first_hires_block_gate1_a_vs_b_mean_abs,0.0036648716777563095,0.0009566942462697625,0.027238747105002403,ot_or_target_change,True,True,True,True,0.4015389680862427,0.4015389680862427,0.22147823870182037,0.4831273853778839,0.07282906770706177,0.0,0.0,0.0,0.0,0.0,1.0,0.6111214756965637,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,train_eval_contract_gap;old_no_reference_code_path_body_dead,docs/experiments/2026-06-18-stage1-config-effect-probe/README.md;docs/experiments/2026-06-18-stage1-training-effect-probe/README.md
stage1_h0_h6_old_base,remote_h1_old_base,h6_combined_topogate,no_effect,0.0,0.0,0.0,0.0,0.0,True,first_hires_block_gate1_a_vs_b_mean_abs,0.0036648716777563095,0.0009566942462697625,0.027238747105002403,ot_or_target_change,True,True,True,True,0.41072985529899597,0.41072985529899597,0.22137464582920074,0.4901922643184662,0.07339204847812653,0.0,0.0,0.0,0.0,0.0,1.0,0.6158345341682434,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,train_eval_contract_gap;old_no_reference_code_path_body_dead,docs/experiments/2026-06-18-stage1-config-effect-probe/README.md;docs/experiments/2026-06-18-stage1-training-effect-probe/README.md
stage1_h0_h6_repaired_lowrank,baseline_h1_repaired_lowrank,h0_vertical_fm,no_effect,0.0,0.0,0.0,0.0,0.0,False,first_hires_block_gate1_a_vs_b_mean_abs,0.0018754458287730813,0.012378660961985588,0.02682328224182129,bridge_only_change,True,False,True,True,0.0,0.0,0.08638186007738113,0.30444979667663574,0.03540271148085594,0.0,0.0,1.0,0.035133056342601776,1.0,1.0,0.5932998061180115,0.0,0.0,0.05051263049244881,0.0,0.0,,,,,,,,,,h5_h6_pre_multiblock_stale;if_using_pre_repair_results_then_obsolete,docs/experiments/2026-06-18-stage1-lowrank-rerun-audit/README.md;docs/experiments/2026-06-18-topogate-multiblock-audit/README.md
stage1_h0_h6_repaired_lowrank,baseline_h1_repaired_lowrank,h2_euclidean_ot,no_effect,0.0,0.0,0.0,0.0,0.0,False,first_hires_block_gate1_a_vs_b_mean_abs,0.0018754458287730813,0.012378660961985588,0.02682328224182129,ot_or_target_change,True,True,True,True,0.45671725273132324,0.45671725273132324,0.21280144155025482,0.5258305072784424,0.07427279651165009,0.0,0.0,1.0,0.03557169809937477,1.0,1.0,0.6304129958152771,0.0,0.0,0.02106477878987789,0.0,0.0,,,,,,,,,,h5_h6_pre_multiblock_stale;if_using_pre_repair_results_then_obsolete,docs/experiments/2026-06-18-stage1-lowrank-rerun-audit/README.md;docs/experiments/2026-06-18-topogate-multiblock-audit/README.md
stage1_h0_h6_repaired_lowrank,baseline_h1_repaired_lowrank,h3_sde_noise,no_effect,0.0,0.0,0.0,0.0,0.0,False,first_hires_block_gate1_a_vs_b_mean_abs,0.0018754458287730813,0.012378660961985588,0.02682328224182129,bridge_only_change,True,False,True,True,0.0,0.0,0.08667436987161636,0.30537015199661255,0.03553125262260437,0.0,0.0,1.0,0.035133056342601776,1.0,1.0,0.5932998657226562,0.0,0.0,0.05051263049244881,0.0,0.0,,,,,,,,,,h5_h6_pre_multiblock_stale;if_using_pre_repair_results_then_obsolete,docs/experiments/2026-06-18-stage1-lowrank-rerun-audit/README.md;docs/experiments/2026-06-18-topogate-multiblock-audit/README.md
stage1_h0_h6_repaired_lowrank,baseline_h1_repaired_lowrank,h4_unbalanced_ot,no_effect,0.0,0.0,0.0,0.0,0.0,False,first_hires_block_gate1_a_vs_b_mean_abs,0.0018754458287730813,0.012378660961985588,0.02682328224182129,ot_or_target_change,True,True,True,True,0.06527001410722733,0.06527001410722733,0.08781793713569641,0.31009694933891296,0.03627617284655571,0.0,0.0,1.0,0.035239722579717636,1.0,1.0,0.5967391133308411,0.0,0.0,0.05051263049244881,0.0,0.0,,,,,,,,,,h5_h6_pre_multiblock_stale;if_using_pre_repair_results_then_obsolete,docs/experiments/2026-06-18-stage1-lowrank-rerun-audit/README.md;docs/experiments/2026-06-18-topogate-multiblock-audit/README.md
