src_style,tgt_style,src_slug,depth_mse,edge_iou
Early_Renaissance,Early_Renaissance,Early_Renaissance__benozzo-gozzoli_the-school-of-tagaste-1465-1,0.04975824058055878,0.024469820554649267
Early_Renaissance,Impressionism,Early_Renaissance__benozzo-gozzoli_the-school-of-tagaste-1465-1,0.05224647372961044,0.03834781829585163
Early_Renaissance,Minimalism,Early_Renaissance__benozzo-gozzoli_the-school-of-tagaste-1465-1,0.09486448019742966,0.024763292061179897
Early_Renaissance,Rococo,Early_Renaissance__benozzo-gozzoli_the-school-of-tagaste-1465-1,0.05337707698345184,0.0597896932302077
Early_Renaissance,Ukiyo_e,Early_Renaissance__benozzo-gozzoli_the-school-of-tagaste-1465-1,0.050704196095466614,0.02311135470905271
Early_Renaissance,Early_Renaissance,Early_Renaissance__carlo-crivelli_piet-1,0.021924670785665512,0.11115825201527366
Early_Renaissance,Impressionism,Early_Renaissance__carlo-crivelli_piet-1,0.02466995269060135,0.11393293110705767
Early_Renaissance,Minimalism,Early_Renaissance__carlo-crivelli_piet-1,0.09427511692047119,0.021052631578947368
Early_Renaissance,Rococo,Early_Renaissance__carlo-crivelli_piet-1,0.021813323721289635,0.11702717692734331
Early_Renaissance,Ukiyo_e,Early_Renaissance__carlo-crivelli_piet-1,0.01971057802438736,0.09566838783706254
Early_Renaissance,Early_Renaissance,Early_Renaissance__carlo-crivelli_saint-thomas-aquinas-1476,0.03634122386574745,0.187024484714345
Early_Renaissance,Impressionism,Early_Renaissance__carlo-crivelli_saint-thomas-aquinas-1476,0.033259738236665726,0.2011634199134199
Early_Renaissance,Minimalism,Early_Renaissance__carlo-crivelli_saint-thomas-aquinas-1476,0.03405661880970001,0.024691358024691357
Early_Renaissance,Rococo,Early_Renaissance__carlo-crivelli_saint-thomas-aquinas-1476,0.035888686776161194,0.20380361478284326
Early_Renaissance,Ukiyo_e,Early_Renaissance__carlo-crivelli_saint-thomas-aquinas-1476,0.02842496894299984,0.1391767012041445
Early_Renaissance,Early_Renaissance,Early_Renaissance__domenico-ghirlandaio_st-jerome,0.006938526406884193,0.0
Early_Renaissance,Impressionism,Early_Renaissance__domenico-ghirlandaio_st-jerome,0.010154698975384235,0.0
Early_Renaissance,Minimalism,Early_Renaissance__domenico-ghirlandaio_st-jerome,0.09714742749929428,0.010775862068965518
Early_Renaissance,Rococo,Early_Renaissance__domenico-ghirlandaio_st-jerome,0.011512484401464462,0.0008845643520566122
Early_Renaissance,Ukiyo_e,Early_Renaissance__domenico-ghirlandaio_st-jerome,0.008541692048311234,0.0
Early_Renaissance,Early_Renaissance,Early_Renaissance__domenico-ghirlandaio_st-stephen-st-jacobo-st-peter,0.01796654798090458,0.018567141785446363
Early_Renaissance,Impressionism,Early_Renaissance__domenico-ghirlandaio_st-stephen-st-jacobo-st-peter,0.014665080234408379,0.024677509814918678
Early_Renaissance,Minimalism,Early_Renaissance__domenico-ghirlandaio_st-stephen-st-jacobo-st-peter,0.035042960196733475,0.012104444060176378
Early_Renaissance,Rococo,Early_Renaissance__domenico-ghirlandaio_st-stephen-st-jacobo-st-peter,0.021877557039260864,0.032533928239449714
Early_Renaissance,Ukiyo_e,Early_Renaissance__domenico-ghirlandaio_st-stephen-st-jacobo-st-peter,0.012799086049199104,0.016022620169651274
Early_Renaissance,Early_Renaissance,Early_Renaissance__domenico-ghirlandaio_the-nativity-1,0.03729873150587082,0.06785508913168488
Early_Renaissance,Impressionism,Early_Renaissance__domenico-ghirlandaio_the-nativity-1,0.03694692626595497,0.07902951191827469
Early_Renaissance,Minimalism,Early_Renaissance__domenico-ghirlandaio_the-nativity-1,0.050457198172807693,0.02544278886702277
Early_Renaissance,Rococo,Early_Renaissance__domenico-ghirlandaio_the-nativity-1,0.034893304109573364,0.08302044221944097
Early_Renaissance,Ukiyo_e,Early_Renaissance__domenico-ghirlandaio_the-nativity-1,0.04038769006729126,0.059736117152385096
Early_Renaissance,Early_Renaissance,Early_Renaissance__domenico-veneziano_not-detected-269819,0.006288695614784956,0.04378980891719745
Early_Renaissance,Impressionism,Early_Renaissance__domenico-veneziano_not-detected-269819,0.007770849391818047,0.04420549581839905
Early_Renaissance,Minimalism,Early_Renaissance__domenico-veneziano_not-detected-269819,0.008109727874398232,0.0
Early_Renaissance,Rococo,Early_Renaissance__domenico-veneziano_not-detected-269819,0.006892640609294176,0.0458498023715415
Early_Renaissance,Ukiyo_e,Early_Renaissance__domenico-veneziano_not-detected-269819,0.00811142846941948,0.04101951413779371
Early_Renaissance,Early_Renaissance,Early_Renaissance__filippo-lippi_adoration-of-the-magi-detail-2,0.15854468941688538,0.03927000162946065
Early_Renaissance,Impressionism,Early_Renaissance__filippo-lippi_adoration-of-the-magi-detail-2,0.1643354296684265,0.0557429718875502
Early_Renaissance,Minimalism,Early_Renaissance__filippo-lippi_adoration-of-the-magi-detail-2,0.1704966425895691,0.017052565707133916
Early_Renaissance,Rococo,Early_Renaissance__filippo-lippi_adoration-of-the-magi-detail-2,0.15821526944637299,0.06296708538718397
Early_Renaissance,Ukiyo_e,Early_Renaissance__filippo-lippi_adoration-of-the-magi-detail-2,0.15825657546520233,0.028486744607278115
Early_Renaissance,Early_Renaissance,Early_Renaissance__filippo-lippi_confirmation-of-the-carmelite-rule,0.01764962263405323,0.018644957983193277
Early_Renaissance,Impressionism,Early_Renaissance__filippo-lippi_confirmation-of-the-carmelite-rule,0.018558017909526825,0.03441084462982273
Early_Renaissance,Minimalism,Early_Renaissance__filippo-lippi_confirmation-of-the-carmelite-rule,0.019431928172707558,0.016385177716158307
Early_Renaissance,Rococo,Early_Renaissance__filippo-lippi_confirmation-of-the-carmelite-rule,0.024438142776489258,0.07003298655163664
Early_Renaissance,Ukiyo_e,Early_Renaissance__filippo-lippi_confirmation-of-the-carmelite-rule,0.018462546169757843,0.016065314722149063
Early_Renaissance,Early_Renaissance,Early_Renaissance__fra-angelico_bosco-ai-frati-altarpiece,0.03385548293590546,0.06085721051385271
Early_Renaissance,Impressionism,Early_Renaissance__fra-angelico_bosco-ai-frati-altarpiece,0.029943261295557022,0.08296296296296296
Early_Renaissance,Minimalism,Early_Renaissance__fra-angelico_bosco-ai-frati-altarpiece,0.054750606417655945,0.022077797954697505
Early_Renaissance,Rococo,Early_Renaissance__fra-angelico_bosco-ai-frati-altarpiece,0.034437842667102814,0.11188129535362287
Early_Renaissance,Ukiyo_e,Early_Renaissance__fra-angelico_bosco-ai-frati-altarpiece,0.031211111694574356,0.044706723891273246
Early_Renaissance,Early_Renaissance,Early_Renaissance__fra-angelico_coronation-of-the-virgin-detail-1435-1,0.009713344275951385,0.025335892514395393
Early_Renaissance,Impressionism,Early_Renaissance__fra-angelico_coronation-of-the-virgin-detail-1435-1,0.007992622442543507,0.03560490045941807
