epoch,loss,swd,color,oob,identity,identity_ratio,lr,data_time_sec,transfer_time_sec,fwd_loss_time_sec,backward_time_sec,optimizer_time_sec,step_overhead_time_sec,compute_time_sec,epoch_time_sec,samples_seen,samples_per_sec,compute_samples_per_sec
1,52.14931869506836,0.15581440925598145,0.1376454085111618,0.0,0.9873992204666138,0.20205079019069672,4.1666666666666665e-05,0.6642450999934226,0.0060469991294667125,51.083559099934064,8.69634930009488,0.29715869983192533,0.04593890078831464,60.083114098990336,62.23029589653015,10240,164.55007729717326,170.43058026468168
2,45.78013610839844,0.14586971700191498,0.09255459159612656,1.537668548046156e-09,0.751887321472168,0.20400391519069672,8.333333333333333e-05,0.5641370000084862,0.0061922993045300245,43.98320390051231,3.8724162004655227,0.23704380029812455,0.04529049864504486,48.098856200580485,50.120715379714966,10240,204.3067406843991,212.89487544771217
3,41.31794357299805,0.14585015177726746,0.02818227745592594,1.7098160469686263e-06,0.6328936219215393,0.20283202826976776,0.000125,0.5774119998095557,0.0059481997741386294,44.10540130035952,3.7760435002855957,0.2233583995839581,0.0443433002801612,48.11075140000321,50.178752422332764,10240,204.07043829655962,212.84223800336065
4,40.23346710205078,0.1437622755765915,0.0252353698015213,3.95777533412911e-06,0.555753231048584,0.20126953721046448,0.00016666666666666666,0.556747299968265,0.0056991002056747675,44.0656134004239,3.845725200138986,0.23881649994291365,0.04352369951084256,48.155854200711474,50.186227798461914,10240,204.0400414456699,212.64288984097618
5,39.863285064697266,0.1429404467344284,0.02470380626618862,1.266605522687314e-05,0.5291873216629028,0.20097656548023224,0.00020833333333333335,0.5664749998832121,0.005435600411146879,44.09466040052939,3.8511408001650125,0.2540116001619026,0.04699649871326983,48.205248401267454,50.269803524017334,10240,203.7008160397454,212.4250022479038
6,39.41850662231445,0.1423138827085495,0.02295462228357792,1.2115742720197886e-05,0.49254751205444336,0.19882813096046448,0.00025,0.5452019004151225,0.005926100304350257,44.101123000262305,3.7769639991456643,0.22157669952139258,0.04324280028231442,48.10558979923371,50.09948253631592,10240,204.39332866516673,212.86507540466982
7,39.694332122802734,0.1430729329586029,0.02579168789088726,1.9998527932330035e-05,0.47571617364883423,0.19921875,0.0002916666666666667,0.5488911003340036,0.005646499805152416,44.1943842000328,3.796561400173232,0.22973260004073381,0.048473200062289834,48.22632470005192,50.27799940109253,10240,203.66761052504182,212.3321663777745
8,39.28059005737305,0.14212490618228912,0.024021228775382042,1.2954743397131097e-05,0.4616164267063141,0.19453124701976776,0.0003333333333333333,0.5406150999478996,0.005354600376449525,44.278062600060366,3.7878335000714287,0.2409310998627916,0.04539809946436435,48.312181800371036,50.31252932548523,10240,203.52783168094567,211.95482419552738
9,39.04557418823242,0.1413206160068512,0.024373946711421013,1.622930540179368e-05,0.4505930542945862,0.20742188394069672,0.000375,0.5351996001554653,0.005370799917727709,44.256844400428236,3.7552410998614505,0.2309528001351282,0.04539019975345582,48.24840910034254,50.272823333740234,10240,203.6885800509139,212.2349770891679
10,39.31083679199219,0.14202725887298584,0.025711217895150185,1.859625626821071e-05,0.4522673785686493,0.20058594644069672,0.0004166666666666667,0.5477455004584044,0.00555550039280206,44.19142869987991,3.8593359997030348,0.23814349982421845,0.04588710062671453,48.29446369979996,50.279364585876465,10240,203.6620805442006,212.0325854253645
11,38.97962188720703,0.14153657853603363,0.02400023862719536,2.9671422453247942e-05,0.43108710646629333,0.20185546576976776,0.0004583333333333333,0.5455982006387785,0.005172500154003501,44.24475110019557,3.8125161001225933,0.2298724001739174,0.044086799840442836,48.292312100646086,50.30838084220886,10240,203.54461480518597,212.0420322526451
12,38.820274353027344,0.14125870168209076,0.02265412174165249,8.746206003706902e-05,0.4292529225349426,0.201171875,0.0005,0.557134200586006,0.005581200239248574,44.230496599688195,3.7468019004445523,0.22538549965247512,0.04408659983891994,48.20826520002447,50.24086880683899,10240,203.81813139756233,212.41170901944844
13,38.672271728515625,0.1401645988225937,0.025249609723687172,7.305430335691199e-05,0.42321452498435974,0.205078125,0.0004955994086622143,0.5612520995782688,0.005732899531722069,44.28281599958427,3.7859898001188412,0.23074819950852543,0.04434770077932626,48.30528689874336,50.34048819541931,10240,203.41479328227453,211.98507777140205
14,38.48458480834961,0.14003628492355347,0.02448440156877041,9.888559725368395e-05,0.4012696444988251,0.19853515923023224,0.0004908460161961514,0.5687381002353504,0.005832500173710287,44.23219310014974,3.718543100054376,0.23601620004046708,0.04385739972349256,48.1925849004183,50.201873540878296,10240,203.9764510314897,212.48082088062307
15,38.195316314697266,0.13913391530513763,0.02379418909549713,0.0002722996287047863,0.39678293466567993,0.20283202826976776,0.00048574715198846096,0.5661014000652358,0.006463299388997257,44.313755499897525,3.7427099995547906,0.22724539984483272,0.04301880078855902,48.290174198686145,50.33286905288696,10240,203.44558521471092,212.05141977472107
16,38.24666976928711,0.13960760831832886,0.023703627288341522,0.0002636391727719456,0.38445720076560974,0.20332030951976776,0.0004803106781181785,0.5502300001680851,0.005758500308729708,43.98333070031367,4.014128399663605,0.25329550052993,0.04380139952991158,48.25651310081594,50.25944495201111,10240,203.74279918485752,212.19933521941226
17,38.24905014038086,0.14001190662384033,0.023138893768191338,0.0002428354200674221,0.3714979290962219,0.20556640625,0.00047454497723396826,0.6327263002749532,0.00545489985961467,44.2334607001394,3.6897532001603395,0.2236660005291924,0.04396039934363216,48.15233480068855,50.25776934623718,10240,203.74959201739168,212.65843167076446
18,38.5351676940918,0.1410810351371765,0.023698708042502403,0.0003708495059981942,0.368522584438324,0.19912110269069672,0.00046845893962868746,0.5846745998132974,0.005856600007973611,44.27176339994185,3.703123400104232,0.23468680027872324,0.04544599971268326,48.215430200332776,50.25070786476135,10240,203.77822393186364,212.38014381398852
19,38.30635070800781,0.14064708352088928,0.02209663577377796,0.0002724667720030993,0.3637015223503113,0.20673827826976776,0.0004620619495311987,0.5624036999652162,0.005715300445444882,44.125300099374726,3.8625860998872668,0.23070780001580715,0.04419390030670911,48.224309299723245,50.2583384513855,10240,203.74728483921277,212.3410402076773
20,38.14863586425781,0.1398150771856308,0.023495618253946304,0.00040073893615044653,0.35694801807403564,0.19521485269069672,0.00045536387063656916,0.5710721005452797,0.006354400422424078,44.199510600068606,3.764742400031537,0.22420589998364449,0.04471859952900559,48.19481330050621,50.21965265274048,10240,203.90423786495873,212.47099633213944
21,38.215396881103516,0.14018335938453674,0.023808954283595085,0.0003324957506265491,0.34813791513442993,0.19970703125,0.00044837503089696786,0.5647617002250627,0.005647999932989478,44.113575300201774,3.9104036998469383,0.24542120029218495,0.04548229940701276,48.275048200273886,50.322898864746094,10240,203.4858927249454,212.11786174750839
