epoch,loss,swd,color,identity,identity_ratio,lr,data_time_sec,transfer_time_sec,fwd_loss_time_sec,backward_time_sec,optimizer_time_sec,step_overhead_time_sec,compute_time_sec,epoch_time_sec,samples_seen,samples_per_sec,compute_samples_per_sec
1,253.4119873046875,0.3736138343811035,1.0667232275009155,0.0,0.20205079019069672,0.0001111111111111111,0.539961899863556,0.005154700018465519,47.30700310016982,8.141067099641077,0.2559589990414679,0.0377856008708477,55.70918389887083,57.6963791847229,10240,177.48080806275954,183.81170362482288
2,230.1625518798828,0.3576076030731201,0.9384042024612427,0.0,0.20400391519069672,0.0002222222222222222,0.49444679997395724,0.0047788002993911505,42.185166100389324,3.2136084001976997,0.20823900017421693,0.03381829906720668,45.61179230106063,47.56656742095947,10240,215.27725365122527,224.50334624894546
3,213.4583740234375,0.31702062487602234,0.8946884274482727,0.0,0.20283202826976776,0.0003333333333333333,0.5097902006236836,0.004737399751320481,42.084287299891,3.280604099854827,0.2069726000772789,0.03481380036100745,45.57660139957443,47.53783893585205,10240,215.4073518953594,224.6766912307686
4,192.07569885253906,0.28215113282203674,0.8102527856826782,0.0,0.20126953721046448,0.0004444444444444444,0.49895020003896207,0.004786900361068547,42.20504340028856,3.2326648997841403,0.20938430016394705,0.03511679929215461,45.651879500597715,47.60344839096069,10240,215.11046670191334,224.30620846324473
5,184.0330047607422,0.2679164409637451,0.7803592085838318,0.0,0.20097656548023224,0.0005,0.49737660016398877,0.004557400243356824,42.111314499983564,3.2561041995650157,0.21159919968340546,0.034968700259923935,45.58357529947534,47.53443217277527,10240,215.42279000578506,224.64231760508397
6,182.5344696044922,0.26798588037490845,0.7702534198760986,0.0,0.19882813096046448,0.000487831579178064,0.5094744004309177,0.004750800086185336,42.168618099880405,3.2550671994686127,0.21063889970537275,0.03451420122291893,45.639074999140576,47.61125636100769,10240,215.07518983234138,224.36913982574862
7,176.48257446289062,0.2655036151409149,0.7340443134307861,0.0,0.19921875,0.00047323348301103366,0.564087500446476,0.004516499815508723,42.1777794000227,3.1914431999903172,0.20705180009827018,0.03434159967582673,45.5807908999268,47.60625195503235,10240,215.09779870241502,224.65604035880048
8,174.7434539794922,0.25969740748405457,0.7321273684501648,0.0,0.19453124701976776,0.00045636565129536315,0.5025948003167287,0.004954800242558122,42.227154299849644,3.259576499927789,0.21110109984874725,0.03356020001228899,45.70278669986874,47.66751551628113,10240,214.8213492793109,224.0563593473264
9,183.26402282714844,0.26677653193473816,0.7771326303482056,0.0,0.20742188394069672,0.00043741289152515007,0.5163140001241118,0.004657199955545366,42.20240019960329,3.2494304997380823,0.21005570027045906,0.03566380066331476,45.666543599567376,47.640865087509155,10240,214.9415209230699,224.2341809310265
10,184.53756713867188,0.26647213101387024,0.7861302495002747,0.0,0.20058594644069672,0.00041658285410255683,0.49985250004101545,0.004587300471030176,42.26713449927047,3.1983691001078114,0.20906760008074343,0.03451090049929917,45.679158499930054,47.641727685928345,10240,214.9376292040838,224.1722557129786
11,193.6201629638672,0.27402517199516296,0.8340924382209778,0.0,0.20185546576976776,0.0003941037572765509,0.5075983002316207,0.004584499984048307,42.23641600017436,3.259663900360465,0.20791530003771186,0.03545899922028184,45.708579700556584,47.67297315597534,10240,214.79675636124063,224.02796295758256
