batch_size,checkpoint_dir,elapsed_sec,images,images_dir,log_path,n_epochs,returncode,stage,status
1,G:\GitHub\Latent_Style\run_511\outputs\cast_smoke2\checkpoints\run511_cast,26.654,,,G:\GitHub\Latent_Style\run_511\outputs\cast_smoke2\logs\cast_train.log,1,0,train,ok
,,3.759,0,G:\GitHub\Latent_Style\run_511\outputs\cast_smoke2\infer_750\images,,,,infer,failed
