method,label,train_wall_seconds,train_minutes,train_label,infer_wall_seconds,infer_ms_per_image,transfer_clip_style,transfer_content_lpips,one_minus_lpips,transfer_delta_idt,summary_json,packet,note
LBM,350-step,111.80,1.8633,1.9m,84.38,112.51,0.6629465200,0.3376801931,0.6623198069,0.0230256947,G:/GitHub/Latent_Style/SchrodingerBridge/exp/local_wsl_distinct5_512_ema_k_b16_step2min_v350/full_eval/step_000350/summary.json,Distinct5-512 full 5x5 / 750 outputs,Metrics from the reviewed v350 packet; inference timed on the checkpoint-synchronized clone.
SaMAM,16-step,129.58,2.1597,2.2m,109.16,145.55,0.5016368766,0.9452449672,0.0547550328,-0.1382839487,G:/GitHub/Latent_Style/Related_Works/baseline_pipeline/results/samam_distinct5_512_wsl_b4_stepalign16_ckpt_20260605_045139/sb_eval_step16_timed_r1/step_000016/summary.json,Distinct5-512 full 5x5 / 750 outputs,Same-cost 16-step packet fixed by user after timing alignment.
SaMST,40-step/style,120.40,2.0067,2.0m,345.68,460.91,0.6565460857,0.7487348509,0.2512651491,0.0166252604,G:/GitHub/Latent_Style/Related_Works/baseline_pipeline/results/samst_distinct5_512_wsl_b6_stepalign40_r2_20260605/sb_eval_step40_timed/step_000040/summary.json,Distinct5-512 full 5x5 / 750 outputs,Re-run under the original 256-train-resolution step-40 setting to recover valid checkpoints.
