epoch,loss,style_swd,identity,train_num_steps,train_step_size,train_style_strength,lr,data_time_sec,compute_time_sec,epoch_time_sec,samples_seen,samples_per_sec
1,83.6719906616211,0.04140812072902918,0.18239167677238582,1.0,1.0,0.8959138488769531,0.0002,0.09269469499849947,12.862182601991663,13.64635705947876,5000,366.3981514045904
2,75.09398113250732,0.03692891236394644,0.5632167226076126,1.0,1.0,0.8977757239341736,0.00019998828008575777,0.0855762539722491,10.530581871014874,10.61800217628479,5000,470.8983777727465
3,66.58076587677002,0.03247502280399203,0.9580825078487396,1.0,1.0,0.9022105121612549,0.0001999531232347445,0.09065806401849841,10.872751079976297,10.965462684631348,5000,455.97711139063506
4,62.10372798919678,0.030013748928904533,1.4001738977432252,1.0,1.0,0.9076907742023468,0.00019989453812138718,0.08889419797196751,10.414328003014816,11.189958095550537,5000,446.82919786698307
5,58.58956859588623,0.028097383677959442,1.7210625767707826,1.0,1.0,0.8978514504432679,0.00019981253920068581,0.07986559200435295,9.826170008993358,9.907922744750977,5000,504.64664782019037
6,58.93056053161621,0.0281076661683619,2.032016533613205,1.0,1.0,0.9007663881778717,0.00019970714670464716,0.08345789700251771,9.892603922002309,9.978056192398071,5000,501.0996033284843
7,56.4756273651123,0.026811785362660885,2.1718956232070923,1.0,1.0,0.896325312256813,0.00019957838663729258,0.08734959600769798,10.135740138986876,10.911839962005615,5000,458.21786402748813
8,54.149024124145505,0.025582817438989876,2.2991987323760985,1.0,1.0,0.9094548302888871,0.00019942629076824206,0.08159167699704994,9.880217952984822,9.963657855987549,5000,501.82373504478636
9,52.21398494720459,0.02459049204364419,2.3639980471134185,1.0,1.0,0.904434021115303,0.00019925089662487538,0.08124916997985565,9.940186872994673,10.023284435272217,5000,498.83848276367985
10,51.48988067626953,0.024205880351364614,2.4112383365631103,1.0,1.0,0.9127010816335678,0.00019905224748307293,0.08834743601619266,10.145572900975822,10.235751152038574,5000,488.48393495812854
11,50.40172183990479,0.02366750292479992,2.4052730107307436,1.0,1.0,0.8914873111248016,0.00019883039235653804,0.083229992978886,9.99070605200177,10.766988515853882,5000,464.3824029939046
12,48.94724750518799,0.022930486928671598,2.436613241434097,1.0,1.0,0.8949974656105042,0.00019858538598470347,0.08346902201446937,9.930333532007353,10.015836954116821,5000,499.2094043568515
13,48.78978244781494,0.022858016174286604,2.431253368854523,1.0,1.0,0.898964262008667,0.00019831728881922536,0.08577280001190957,10.100678255996172,10.188162803649902,5000,490.7656165652117
14,48.00920364379883,0.02248200362548232,2.4120521450042727,1.0,1.0,0.9008357471227646,0.00019802616700906767,0.08557875400219928,10.124693637008022,10.893901348114014,5000,458.9723956758261
15,47.29959976196289,0.022143558505922555,2.3777241694927214,1.0,1.0,0.9024550241231918,0.00019771209238418093,0.08936256401284481,10.344816649005224,10.43618392944336,5000,479.1023264637583
16,48.17379791259766,0.022597760148346423,2.3438893616199494,1.0,1.0,0.9040920543670654,0.0001973751424377792,0.08921043299051234,10.31683414897634,10.407920837402344,5000,480.40334646203195
17,47.28114181518555,0.022151314169168473,2.3470124220848083,1.0,1.0,0.9002173882722855,0.00019701540030721986,0.08719352802290814,10.178132836008444,10.935389041900635,5000,457.2311036069889
18,46.96740509033203,0.021990563645958902,2.359777023792267,1.0,1.0,0.9051226270198822,0.00019663295475349073,0.08705368000664748,10.217384437990404,10.306333303451538,5000,485.13858932987597
19,47.225866165161136,0.02214317264035344,2.309315707683563,1.0,1.0,0.9037853580713272,0.00019622790013930952,0.08814409498154419,10.19191743099509,10.281867742538452,5000,486.29296983794586
20,47.23414974212646,0.0221620561927557,2.281096513271332,1.0,1.0,0.8959348142147064,0.00019580033640584127,0.08631706201776979,10.171361182976398,10.906585693359375,5000,458.4386113652707
21,46.97812602996826,0.022027857322245836,2.296424652338028,1.0,1.0,0.910048468708992,0.0001953503690480395,0.08663128902117023,10.17694660102643,10.26545000076294,5000,487.0707080184887
22,47.07372287750244,0.022097224853932857,2.2586794340610505,1.0,1.0,0.9009130960702896,0.0001948781090886167,0.08526425599484355,10.158522062956763,10.245583772659302,5000,488.01514007846725
23,45.52361614227295,0.021350239142775534,2.2000780904293062,1.0,1.0,0.894643834233284,0.0001943836730506513,0.08593716202449286,10.166271691996371,10.877292394638062,5000,459.6732181682217
24,45.447396430969235,0.0213089001737535,2.2042882907390595,1.0,1.0,0.8999209380149842,0.0001938671829288373,0.08631494901419501,10.191973265998968,10.280075550079346,5000,486.3777484554973
25,46.145597534179686,0.02166140088811517,2.1933836925029753,1.0,1.0,0.8996955287456513,0.00019332876615938376,0.08563646398761193,10.142891578001581,10.23027229309082,5000,488.74554427811574
26,45.5005216217041,0.02136034280061722,2.1562668359279633,1.0,1.0,0.8933164602518082,0.00019276855558857212,0.08587605798311415,10.206021740013966,10.93352460861206,5000,457.3090726902125
27,45.32040882110596,0.021266821157187223,2.1693188774585725,1.0,1.0,0.900612422823906,0.00019218668943997807,0.0865380999930494,10.223968311005592,10.312333106994629,5000,484.85633155203357
28,45.305730934143064,0.021270600482821464,2.1459302568435668,1.0,1.0,0.8974884074926376,0.00019158331128036715,0.08726521600328851,10.162083575982251,10.251158237457275,5000,487.74976292242013
29,45.05148960113525,0.021152037791907788,2.1299858009815216,1.0,1.0,0.8966718643903733,0.00019095856998427172,0.08669845197800896,10.170904030997917,10.259380102157593,5000,487.3588803819129
30,45.13968650817871,0.02120014499872923,2.11782897233963,1.0,1.0,0.9095190370082855,0.00019031261969725834,0.08586315697903046,10.140400680982566,10.863240242004395,5000,460.26782880735055
31,45.1597286605835,0.021224408000707625,2.0883743023872374,1.0,1.0,0.8990855187177658,0.00018964561979789482,0.08661371398920892,10.164608081024198,10.252925395965576,5000,487.6656960722108
32,44.9240922164917,0.02110025107860565,2.0970698189735413,1.0,1.0,0.901753135919571,0.00018895773485842578,0.08688028700271389,10.211934203005512,10.3006112575531,5000,485.40808646998147
33,44.859137992858884,0.021075355000793935,2.0881393158435824,1.0,1.0,0.9056538730859757,0.0001882491346041669,0.08568985502279247,10.207714141019096,10.931467056274414,5000,457.39514872618247
34,44.19469219207764,0.020750448238104582,2.0741932690143585,1.0,1.0,0.8919406914710999,0.00018751999387162804,0.08565962398279225,10.15536005100148,10.242902755737305,5000,488.1428750457848
35,45.28818424224853,0.021306917425245046,2.057306821346283,1.0,1.0,0.8967520850896835,0.00018677049256537453,0.08809092899900861,10.226260333998653,10.316152095794678,5000,484.6768401212524
36,44.468409080505374,0.020900383070111276,2.045057886838913,1.0,1.0,0.9049634230136872,0.00018600081561363866,0.08677742500731256,10.144029472994589,10.880450010299683,5000,459.5398163924181
37,44.14964878082275,0.020753813479095697,2.0284596157073973,1.0,1.0,0.9033874279260635,0.00018521115292269134,0.08638761401016382,10.153854284017143,10.241965770721436,5000,488.18753273843487
