batch_size,checkpoint_dir,elapsed_sec,images,images_dir,log_path,max_iter,returncode,stage,status
1,G:\GitHub\Latent_Style\Related_Works\run_511\outputs\review_baseline_suite_smoke5\aespa\checkpoints\aespa,10.152,,,G:\GitHub\Latent_Style\Related_Works\run_511\outputs\review_baseline_suite_smoke5\aespa\logs\aespa_train.log,1,0,train,ok
,,70.3,0,G:\GitHub\Latent_Style\Related_Works\run_511\outputs\review_baseline_suite_smoke5\aespa\infer_750\images,,,,infer,ok
