timestamp,study_name,trial,status,elapsed_sec,score,style_swd,clip_content_sim,clip_style_sim,w_style,w_structure,w_moment,w_identity,batch_size,num_epochs,trial_dir,train_log,trial_config,error
2026-02-20 17:14:31,fp32-clip,1,completed,109.996,63.78881091,1.71362950,0.64937601,0.63185157,13292.91894316,1.00000000,36.80860815,1.57029709,50,1,I:\Github\Latent_Style\Cycle-NCE\fp32-clip\trial_0001,I:\Github\Latent_Style\Cycle-NCE\fp32-clip\trial_0001\train.log,I:\Github\Latent_Style\Cycle-NCE\fp32-clip\trial_0001\config.trial.json,
2026-02-20 17:15:58,fp32-clip,2,completed,87.608,-75.05619871,1.98355085,0.54691408,0.61710125,62513.73574522,1.00000000,0.26368755,0.02937538,50,1,I:\Github\Latent_Style\Cycle-NCE\fp32-clip\trial_0002,I:\Github\Latent_Style\Cycle-NCE\fp32-clip\trial_0002\train.log,I:\Github\Latent_Style\Cycle-NCE\fp32-clip\trial_0002\config.trial.json,
2026-02-20 17:17:25,fp32-clip,3,completed,86.485,53.78996790,1.54619741,0.63728198,0.63322143,1493.65685546,1.00000000,21.76624112,0.63583589,50,1,I:\Github\Latent_Style\Cycle-NCE\fp32-clip\trial_0003,I:\Github\Latent_Style\Cycle-NCE\fp32-clip\trial_0003\train.log,I:\Github\Latent_Style\Cycle-NCE\fp32-clip\trial_0003\config.trial.json,
2026-02-20 17:18:53,fp32-clip,4,completed,88.041,56.18326000,1.89904515,0.89455904,0.55618326,133112.16080737,1.00000000,0.11364673,8.12324509,50,1,I:\Github\Latent_Style\Cycle-NCE\fp32-clip\trial_0004,I:\Github\Latent_Style\Cycle-NCE\fp32-clip\trial_0004\train.log,I:\Github\Latent_Style\Cycle-NCE\fp32-clip\trial_0004\config.trial.json,
2026-02-20 17:20:22,fp32-clip,5,completed,88.255,-33.45776998,2.09976574,0.57404825,0.61970481,314288.08908401,1.00000000,0.37419406,0.03511356,50,1,I:\Github\Latent_Style\Cycle-NCE\fp32-clip\trial_0005,I:\Github\Latent_Style\Cycle-NCE\fp32-clip\trial_0005\train.log,I:\Github\Latent_Style\Cycle-NCE\fp32-clip\trial_0005\config.trial.json,
2026-02-20 17:21:49,fp32-clip,6,completed,87.319,71.62943681,2.57972720,0.77196316,0.57398763,3549.87883220,1.00000000,0.66243106,0.37520559,50,1,I:\Github\Latent_Style\Cycle-NCE\fp32-clip\trial_0006,I:\Github\Latent_Style\Cycle-NCE\fp32-clip\trial_0006\train.log,I:\Github\Latent_Style\Cycle-NCE\fp32-clip\trial_0006\config.trial.json,
2026-02-20 17:23:17,fp32-clip,7,completed,87.504,55.00279000,1.89929380,0.89446024,0.55500279,19762.18934028,1.00000000,0.61096835,0.68479201,50,1,I:\Github\Latent_Style\Cycle-NCE\fp32-clip\trial_0007,I:\Github\Latent_Style\Cycle-NCE\fp32-clip\trial_0007\train.log,I:\Github\Latent_Style\Cycle-NCE\fp32-clip\trial_0007\config.trial.json,
2026-02-20 17:24:44,fp32-clip,8,completed,87.363,121.17243072,1.43708880,0.75576785,0.62704188,2621.08787827,1.00000000,0.61445438,0.12562774,50,1,I:\Github\Latent_Style\Cycle-NCE\fp32-clip\trial_0008,I:\Github\Latent_Style\Cycle-NCE\fp32-clip\trial_0008\train.log,I:\Github\Latent_Style\Cycle-NCE\fp32-clip\trial_0008\config.trial.json,
2026-02-20 17:26:12,fp32-clip,9,completed,87.306,37.50051429,1.58212862,0.60986897,0.64594994,23345.86407602,1.00000000,13.15728760,0.03972111,50,1,I:\Github\Latent_Style\Cycle-NCE\fp32-clip\trial_0009,I:\Github\Latent_Style\Cycle-NCE\fp32-clip\trial_0009\train.log,I:\Github\Latent_Style\Cycle-NCE\fp32-clip\trial_0009\config.trial.json,
2026-02-20 17:27:40,fp32-clip,10,completed,87.349,-61.10585366,1.47666828,0.54907558,0.62778334,34890.18845491,1.00000000,3.97108471,0.01378324,50,1,I:\Github\Latent_Style\Cycle-NCE\fp32-clip\trial_0010,I:\Github\Latent_Style\Cycle-NCE\fp32-clip\trial_0010\train.log,I:\Github\Latent_Style\Cycle-NCE\fp32-clip\trial_0010\config.trial.json,
2026-02-20 17:29:07,fp32-clip,11,completed,87.381,100.18841351,2.06579912,0.71957039,0.61959518,4196.20333760,1.00000000,1.89450712,0.11494276,50,1,I:\Github\Latent_Style\Cycle-NCE\fp32-clip\trial_0011,I:\Github\Latent_Style\Cycle-NCE\fp32-clip\trial_0011\train.log,I:\Github\Latent_Style\Cycle-NCE\fp32-clip\trial_0011\config.trial.json,
2026-02-20 17:30:35,fp32-clip,12,completed,87.276,61.15039709,1.73120106,0.65904660,0.62075398,4932.41907794,1.00000000,2.51555329,0.12624535,50,1,I:\Github\Latent_Style\Cycle-NCE\fp32-clip\trial_0012,I:\Github\Latent_Style\Cycle-NCE\fp32-clip\trial_0012\train.log,I:\Github\Latent_Style\Cycle-NCE\fp32-clip\trial_0012\config.trial.json,
2026-02-20 17:32:02,fp32-clip,13,completed,87.664,89.56400000,1.69996757,0.81595207,0.58956400,1094.09161294,1.00000000,1.26383202,0.10991435,50,1,I:\Github\Latent_Style\Cycle-NCE\fp32-clip\trial_0013,I:\Github\Latent_Style\Cycle-NCE\fp32-clip\trial_0013\train.log,I:\Github\Latent_Style\Cycle-NCE\fp32-clip\trial_0013\config.trial.json,
2026-02-20 17:33:30,fp32-clip,14,completed,87.303,61.98448748,1.61321753,0.65400897,0.62592463,4948.86510938,1.00000000,7.55082245,0.11702366,50,1,I:\Github\Latent_Style\Cycle-NCE\fp32-clip\trial_0014,I:\Github\Latent_Style\Cycle-NCE\fp32-clip\trial_0014\train.log,I:\Github\Latent_Style\Cycle-NCE\fp32-clip\trial_0014\config.trial.json,
2026-02-20 17:34:57,fp32-clip,15,completed,86.589,89.40403586,1.77396379,0.72588490,0.60588318,7790.08680752,1.00000000,1.48701226,0.18734572,50,1,I:\Github\Latent_Style\Cycle-NCE\fp32-clip\trial_0015,I:\Github\Latent_Style\Cycle-NCE\fp32-clip\trial_0015\train.log,I:\Github\Latent_Style\Cycle-NCE\fp32-clip\trial_0015\config.trial.json,
2026-02-20 17:36:24,fp32-clip,16,completed,86.628,55.46913000,1.89902737,0.89459653,0.55546913,9012.77958935,1.00000000,0.11242886,2.00852847,50,1,I:\Github\Latent_Style\Cycle-NCE\fp32-clip\trial_0016,I:\Github\Latent_Style\Cycle-NCE\fp32-clip\trial_0016\train.log,I:\Github\Latent_Style\Cycle-NCE\fp32-clip\trial_0016\config.trial.json,
2026-02-20 17:37:50,fp32-clip,17,completed,86.480,77.68852000,2.25294615,0.83396344,0.57768852,1969.12876727,1.00000000,1.09430436,0.29321957,50,1,I:\Github\Latent_Style\Cycle-NCE\fp32-clip\trial_0017,I:\Github\Latent_Style\Cycle-NCE\fp32-clip\trial_0017\train.log,I:\Github\Latent_Style\Cycle-NCE\fp32-clip\trial_0017\config.trial.json,
2026-02-20 17:39:17,fp32-clip,18,completed,86.351,96.50769929,1.66288586,0.69672033,0.62850777,9232.12195465,1.00000000,4.40425127,0.29593326,50,1,I:\Github\Latent_Style\Cycle-NCE\fp32-clip\trial_0018,I:\Github\Latent_Style\Cycle-NCE\fp32-clip\trial_0018\train.log,I:\Github\Latent_Style\Cycle-NCE\fp32-clip\trial_0018\config.trial.json,
2026-02-20 17:40:43,fp32-clip,19,completed,86.537,-63.01399122,1.93413014,0.55363186,0.61907779,49037.66345909,1.00000000,0.25291482,0.01169029,50,1,I:\Github\Latent_Style\Cycle-NCE\fp32-clip\trial_0019,I:\Github\Latent_Style\Cycle-NCE\fp32-clip\trial_0019\train.log,I:\Github\Latent_Style\Cycle-NCE\fp32-clip\trial_0019\config.trial.json,
2026-02-20 17:42:10,fp32-clip,20,completed,86.478,-37.54027353,1.88569708,0.56925979,0.62218286,972858.31519310,1.00000000,0.75494060,0.06628598,50,1,I:\Github\Latent_Style\Cycle-NCE\fp32-clip\trial_0020,I:\Github\Latent_Style\Cycle-NCE\fp32-clip\trial_0020\train.log,I:\Github\Latent_Style\Cycle-NCE\fp32-clip\trial_0020\config.trial.json,
2026-02-20 17:43:36,fp32-clip,21,completed,86.469,55.47274000,1.89940533,0.89456633,0.55547274,2404.11109099,1.00000000,2.38193437,2.78196177,50,1,I:\Github\Latent_Style\Cycle-NCE\fp32-clip\trial_0021,I:\Github\Latent_Style\Cycle-NCE\fp32-clip\trial_0021\train.log,I:\Github\Latent_Style\Cycle-NCE\fp32-clip\trial_0021\config.trial.json,
2026-02-20 17:45:03,fp32-clip,22,completed,86.451,95.38020342,1.73711716,0.75622898,0.60112791,6482.98915123,1.00000000,1.41251108,0.20005258,50,1,I:\Github\Latent_Style\Cycle-NCE\fp32-clip\trial_0022,I:\Github\Latent_Style\Cycle-NCE\fp32-clip\trial_0022\train.log,I:\Github\Latent_Style\Cycle-NCE\fp32-clip\trial_0022\config.trial.json,
2026-02-20 17:46:29,fp32-clip,23,completed,86.037,21.42675702,2.10227191,0.62761709,0.61057436,8484.68242784,1.00000000,0.44342111,0.17879468,50,1,I:\Github\Latent_Style\Cycle-NCE\fp32-clip\trial_0023,I:\Github\Latent_Style\Cycle-NCE\fp32-clip\trial_0023\train.log,I:\Github\Latent_Style\Cycle-NCE\fp32-clip\trial_0023\config.trial.json,
2026-02-20 17:47:56,fp32-clip,24,completed,86.486,21.98368138,1.34880432,0.61554849,0.62405076,2534.66505825,1.00000000,1.30554623,0.05994265,50,1,I:\Github\Latent_Style\Cycle-NCE\fp32-clip\trial_0024,I:\Github\Latent_Style\Cycle-NCE\fp32-clip\trial_0024\train.log,I:\Github\Latent_Style\Cycle-NCE\fp32-clip\trial_0024\config.trial.json,
2026-02-20 17:49:21,fp32-clip,25,completed,85.301,75.32876082,2.46949104,0.77360714,0.57741851,6617.45869351,1.00000000,3.92711322,0.66527580,50,1,I:\Github\Latent_Style\Cycle-NCE\fp32-clip\trial_0025,I:\Github\Latent_Style\Cycle-NCE\fp32-clip\trial_0025\train.log,I:\Github\Latent_Style\Cycle-NCE\fp32-clip\trial_0025\config.trial.json,
2026-02-20 17:50:44,fp32-clip,26,completed,82.830,34.89328289,1.78152757,0.63261212,0.61894939,14283.91659031,1.00000000,0.92131647,0.21352872,50,1,I:\Github\Latent_Style\Cycle-NCE\fp32-clip\trial_0026,I:\Github\Latent_Style\Cycle-NCE\fp32-clip\trial_0026\train.log,I:\Github\Latent_Style\Cycle-NCE\fp32-clip\trial_0026\config.trial.json,
2026-02-20 17:52:07,fp32-clip,27,completed,82.763,49.66470624,2.61861256,0.79600735,0.54971253,1078.86615159,1.00000000,1.85293248,0.47429733,50,1,I:\Github\Latent_Style\Cycle-NCE\fp32-clip\trial_0027,I:\Github\Latent_Style\Cycle-NCE\fp32-clip\trial_0027\train.log,I:\Github\Latent_Style\Cycle-NCE\fp32-clip\trial_0027\config.trial.json,
2026-02-20 17:53:30,fp32-clip,28,completed,82.810,60.31791566,2.52339202,0.70872285,0.58531247,2877.87657125,1.00000000,6.45329066,1.15393317,50,1,I:\Github\Latent_Style\Cycle-NCE\fp32-clip\trial_0028,I:\Github\Latent_Style\Cycle-NCE\fp32-clip\trial_0028\train.log,I:\Github\Latent_Style\Cycle-NCE\fp32-clip\trial_0028\config.trial.json,
2026-02-20 17:54:53,fp32-clip,29,completed,82.794,20.70327518,1.41974358,0.60176057,0.63859989,13370.31567692,1.00000000,0.20392512,0.05794088,50,1,I:\Github\Latent_Style\Cycle-NCE\fp32-clip\trial_0029,I:\Github\Latent_Style\Cycle-NCE\fp32-clip\trial_0029\train.log,I:\Github\Latent_Style\Cycle-NCE\fp32-clip\trial_0029\config.trial.json,
