src_style,tgt_style,src_image,gen_image,content_lpips,style_lpips,clip_dir,clip_style,clip_content,pred_style,class_correct
Hayao,photo,1009.jpg,Hayao_1009_to_photo.jpg,0.37280968,0.7868673205375671,0.4014478027820587,0.5366666316986084,0.8986295,N/A,N/A
Hayao,vangogh,1009.jpg,Hayao_1009_to_vangogh.jpg,0.36447197,0.754805326461792,0.5104582905769348,0.6427546739578247,0.8760272,N/A,N/A
Hayao,Hayao,1012.jpg,Hayao_1012_to_Hayao.jpg,0.0018002124,0.7221528887748718,0.08188951015472412,0.8850811719894409,0.9996569,N/A,N/A
Hayao,cezanne,1012.jpg,Hayao_1012_to_cezanne.jpg,0.35405678,0.7353866100311279,0.3806406259536743,0.5514546632766724,0.8698872,N/A,N/A
Hayao,monet,1012.jpg,Hayao_1012_to_monet.jpg,0.3673581,0.7562455534934998,0.3515501320362091,0.4933440685272217,0.8903535,N/A,N/A
Hayao,photo,1012.jpg,Hayao_1012_to_photo.jpg,0.3334391,0.7842491269111633,0.3733922839164734,0.529971718788147,0.90969104,N/A,N/A
Hayao,vangogh,1012.jpg,Hayao_1012_to_vangogh.jpg,0.3698721,0.755542516708374,0.4442441463470459,0.6013833284378052,0.86389375,N/A,N/A
Hayao,Hayao,1014.jpg,Hayao_1014_to_Hayao.jpg,0.002697778,0.7325858473777771,-0.030834248289465904,0.9125939607620239,0.99952257,N/A,N/A
Hayao,cezanne,1014.jpg,Hayao_1014_to_cezanne.jpg,0.3254162,0.7680215239524841,0.4123779833316803,0.5888137817382812,0.8786646,N/A,N/A
Hayao,monet,1014.jpg,Hayao_1014_to_monet.jpg,0.33819816,0.7909195423126221,0.3448627293109894,0.483488529920578,0.86466444,N/A,N/A
Hayao,photo,1014.jpg,Hayao_1014_to_photo.jpg,0.3230174,0.8039454817771912,0.3516402840614319,0.5482213497161865,0.87875164,N/A,N/A
Hayao,vangogh,1014.jpg,Hayao_1014_to_vangogh.jpg,0.3292659,0.8066612482070923,0.3562413454055786,0.5793750882148743,0.8918148,N/A,N/A
Hayao,Hayao,1015.jpg,Hayao_1015_to_Hayao.jpg,0.0016276718,0.7157767415046692,0.21886759996414185,0.8359536528587341,0.9984421,N/A,N/A
Hayao,cezanne,1015.jpg,Hayao_1015_to_cezanne.jpg,0.43650073,0.7329859733581543,0.5076431035995483,0.6134622693061829,0.7637168,N/A,N/A
Hayao,monet,1015.jpg,Hayao_1015_to_monet.jpg,0.38335976,0.7636467218399048,0.49687474966049194,0.5612325668334961,0.72364193,N/A,N/A
Hayao,photo,1015.jpg,Hayao_1015_to_photo.jpg,0.3734538,0.7883070111274719,0.48308825492858887,0.5824708342552185,0.8085592,N/A,N/A
Hayao,vangogh,1015.jpg,Hayao_1015_to_vangogh.jpg,0.39517045,0.748938798904419,0.5132137537002563,0.6396793127059937,0.7744179,N/A,N/A
Hayao,Hayao,1016.jpg,Hayao_1016_to_Hayao.jpg,0.0024278236,0.7011089324951172,-0.07359904050827026,0.8961383700370789,0.9997065,N/A,N/A
Hayao,cezanne,1016.jpg,Hayao_1016_to_cezanne.jpg,0.3271998,0.7249935865402222,0.31963157653808594,0.4950322210788727,0.9007033,N/A,N/A
Hayao,monet,1016.jpg,Hayao_1016_to_monet.jpg,0.3327521,0.7606010437011719,0.2465716004371643,0.42022261023521423,0.907411,N/A,N/A
Hayao,photo,1016.jpg,Hayao_1016_to_photo.jpg,0.29566833,0.771019697189331,0.1948876678943634,0.48481300473213196,0.9449218,N/A,N/A
Hayao,vangogh,1016.jpg,Hayao_1016_to_vangogh.jpg,0.32569164,0.7788593173027039,0.20665043592453003,0.47946685552597046,0.93955106,N/A,N/A
Hayao,Hayao,1017.jpg,Hayao_1017_to_Hayao.jpg,0.0026074448,0.6910538673400879,-0.023968324065208435,0.8978998064994812,0.9997806,N/A,N/A
Hayao,cezanne,1017.jpg,Hayao_1017_to_cezanne.jpg,0.3312774,0.7291122674942017,0.20447362959384918,0.49524229764938354,0.9500898,N/A,N/A
Hayao,monet,1017.jpg,Hayao_1017_to_monet.jpg,0.33009082,0.7493681311607361,0.2016201913356781,0.43803268671035767,0.95150125,N/A,N/A
Hayao,photo,1017.jpg,Hayao_1017_to_photo.jpg,0.30006626,0.7516922950744629,0.17483842372894287,0.45724013447761536,0.9376726,N/A,N/A
Hayao,vangogh,1017.jpg,Hayao_1017_to_vangogh.jpg,0.3312947,0.7885717749595642,0.18109332025051117,0.4993172883987427,0.93796957,N/A,N/A
Hayao,Hayao,1018.jpg,Hayao_1018_to_Hayao.jpg,0.0010461769,0.7583757638931274,0.08327125757932663,0.6813120245933533,0.9997836,N/A,N/A
Hayao,cezanne,1018.jpg,Hayao_1018_to_cezanne.jpg,0.28775638,0.8011705279350281,0.41695496439933777,0.6237408518791199,0.9212281,N/A,N/A
Hayao,monet,1018.jpg,Hayao_1018_to_monet.jpg,0.28883636,0.8385747671127319,0.4690953493118286,0.6110873222351074,0.8806109,N/A,N/A
Hayao,photo,1018.jpg,Hayao_1018_to_photo.jpg,0.25858462,0.8900813460350037,0.4133854806423187,0.6693361401557922,0.88934416,N/A,N/A
Hayao,vangogh,1018.jpg,Hayao_1018_to_vangogh.jpg,0.26685795,0.794050395488739,0.4482870399951935,0.6597137451171875,0.9021601,N/A,N/A
Hayao,Hayao,1019.jpg,Hayao_1019_to_Hayao.jpg,0.002174663,0.7636764645576477,0.1894737184047699,0.7135177850723267,0.9995954,N/A,N/A
Hayao,cezanne,1019.jpg,Hayao_1019_to_cezanne.jpg,0.39064425,0.748039186000824,0.31047123670578003,0.7173653841018677,0.9271667,N/A,N/A
Hayao,monet,1019.jpg,Hayao_1019_to_monet.jpg,0.38969353,0.7628007531166077,0.3038393259048462,0.7189526557922363,0.92716306,N/A,N/A
Hayao,photo,1019.jpg,Hayao_1019_to_photo.jpg,0.38515648,0.7920441627502441,0.2824571132659912,0.7505437135696411,0.88001114,N/A,N/A
Hayao,vangogh,1019.jpg,Hayao_1019_to_vangogh.jpg,0.38428795,0.8000455498695374,0.266142338514328,0.7159169316291809,0.92293453,N/A,N/A
Hayao,Hayao,1020.jpg,Hayao_1020_to_Hayao.jpg,0.001988501,0.7338016629219055,-0.24667692184448242,0.6075512766838074,0.9987426,N/A,N/A
Hayao,cezanne,1020.jpg,Hayao_1020_to_cezanne.jpg,0.3871914,0.7322210073471069,0.4628245532512665,0.6973599195480347,0.8954458,N/A,N/A
Hayao,monet,1020.jpg,Hayao_1020_to_monet.jpg,0.35982525,0.7545238733291626,0.48553332686424255,0.7136740684509277,0.89259756,N/A,N/A
Hayao,photo,1020.jpg,Hayao_1020_to_photo.jpg,0.3740186,0.782263994216919,0.4703337252140045,0.7625727653503418,0.8743471,N/A,N/A
Hayao,vangogh,1020.jpg,Hayao_1020_to_vangogh.jpg,0.3781611,0.7421874403953552,0.37850260734558105,0.6786339282989502,0.9105192,N/A,N/A
Hayao,Hayao,1021.jpg,Hayao_1021_to_Hayao.jpg,0.0027336576,0.7250150442123413,0.09303884953260422,0.779856264591217,0.99844444,N/A,N/A
Hayao,cezanne,1021.jpg,Hayao_1021_to_cezanne.jpg,0.37781313,0.7100675106048584,0.2672097384929657,0.5589711666107178,0.85771525,N/A,N/A
Hayao,monet,1021.jpg,Hayao_1021_to_monet.jpg,0.3945248,0.7298949956893921,0.33382275700569153,0.5904114246368408,0.8438373,N/A,N/A
Hayao,photo,1021.jpg,Hayao_1021_to_photo.jpg,0.39319858,0.7501875162124634,0.5304577946662903,0.7236655950546265,0.80714136,N/A,N/A
Hayao,vangogh,1021.jpg,Hayao_1021_to_vangogh.jpg,0.38861185,0.7517707943916321,0.341876357793808,0.587676465511322,0.8131127,N/A,N/A
Hayao,Hayao,1023.jpg,Hayao_1023_to_Hayao.jpg,0.0016375843,0.713996946811676,-0.1284220814704895,0.8922374248504639,0.99905187,N/A,N/A
Hayao,cezanne,1023.jpg,Hayao_1023_to_cezanne.jpg,0.34248582,0.7432035803794861,0.5124191045761108,0.6125728487968445,0.83886814,N/A,N/A
Hayao,monet,1023.jpg,Hayao_1023_to_monet.jpg,0.32930002,0.7663816809654236,0.5405994057655334,0.598217785358429,0.8153578,N/A,N/A
Hayao,photo,1023.jpg,Hayao_1023_to_photo.jpg,0.34568495,0.7881899476051331,0.35634684562683105,0.5456758141517639,0.8871113,N/A,N/A
Hayao,vangogh,1023.jpg,Hayao_1023_to_vangogh.jpg,0.35247245,0.7544621825218201,0.5521134734153748,0.6498218774795532,0.77413803,N/A,N/A
Hayao,Hayao,1024.jpg,Hayao_1024_to_Hayao.jpg,0.0016331465,0.7958727478981018,0.10278680175542831,0.8973844647407532,0.9986819,N/A,N/A
Hayao,cezanne,1024.jpg,Hayao_1024_to_cezanne.jpg,0.36869884,0.8533139824867249,0.6140322089195251,0.6877442002296448,0.8258562,N/A,N/A
Hayao,monet,1024.jpg,Hayao_1024_to_monet.jpg,0.3733753,0.876893162727356,0.42131704092025757,0.5521857738494873,0.8809398,N/A,N/A
Hayao,photo,1024.jpg,Hayao_1024_to_photo.jpg,0.36585367,0.9245494604110718,0.504104733467102,0.6291795969009399,0.83269644,N/A,N/A
Hayao,vangogh,1024.jpg,Hayao_1024_to_vangogh.jpg,0.36982578,0.8232959508895874,0.6512869596481323,0.7298226356506348,0.8080218,N/A,N/A
Hayao,Hayao,1025.jpg,Hayao_1025_to_Hayao.jpg,0.0024716994,0.7165746092796326,0.04630802571773529,0.8348007202148438,0.9972927,N/A,N/A
Hayao,cezanne,1025.jpg,Hayao_1025_to_cezanne.jpg,0.37691724,0.7452013492584229,0.3245023190975189,0.508089005947113,0.8974248,N/A,N/A
Hayao,monet,1025.jpg,Hayao_1025_to_monet.jpg,0.36282068,0.7909578084945679,0.23867274820804596,0.43425077199935913,0.9149384,N/A,N/A
Hayao,photo,1025.jpg,Hayao_1025_to_photo.jpg,0.372113,0.8055670857429504,0.38512352108955383,0.5679758787155151,0.9034997,N/A,N/A
Hayao,vangogh,1025.jpg,Hayao_1025_to_vangogh.jpg,0.35568702,0.7799175977706909,0.33526626229286194,0.540860652923584,0.91152805,N/A,N/A
Hayao,Hayao,1026.jpg,Hayao_1026_to_Hayao.jpg,0.0011215626,0.7152774930000305,-0.009626109153032303,0.8807128071784973,0.9998404,N/A,N/A
Hayao,cezanne,1026.jpg,Hayao_1026_to_cezanne.jpg,0.3681379,0.7296047806739807,0.4485665261745453,0.5835156440734863,0.82174087,N/A,N/A
Hayao,monet,1026.jpg,Hayao_1026_to_monet.jpg,0.36414766,0.7503743767738342,0.41534897685050964,0.5323864817619324,0.8491208,N/A,N/A
Hayao,photo,1026.jpg,Hayao_1026_to_photo.jpg,0.3484687,0.772596001625061,0.3416977822780609,0.5022122263908386,0.85224354,N/A,N/A
Hayao,vangogh,1026.jpg,Hayao_1026_to_vangogh.jpg,0.3679508,0.7730710506439209,0.2276182323694229,0.5157082676887512,0.89643836,N/A,N/A
Hayao,Hayao,1028.jpg,Hayao_1028_to_Hayao.jpg,0.0014829523,0.7210283875465393,0.11217756569385529,0.891701340675354,0.99929625,N/A,N/A
Hayao,cezanne,1028.jpg,Hayao_1028_to_cezanne.jpg,0.3868009,0.7258613705635071,0.41080594062805176,0.6067880988121033,0.8923178,N/A,N/A
Hayao,monet,1028.jpg,Hayao_1028_to_monet.jpg,0.3720536,0.7474071979522705,0.3478049039840698,0.5377005338668823,0.9049692,N/A,N/A
Hayao,photo,1028.jpg,Hayao_1028_to_photo.jpg,0.3457867,0.7720730304718018,0.3684738278388977,0.5683252215385437,0.88025737,N/A,N/A
Hayao,vangogh,1028.jpg,Hayao_1028_to_vangogh.jpg,0.35033274,0.7713064551353455,0.3643597662448883,0.6084589958190918,0.9194906,N/A,N/A
Hayao,Hayao,102.jpg,Hayao_102_to_Hayao.jpg,0.0019326526,0.7906916737556458,-0.20822373032569885,0.7236644625663757,0.9951394,N/A,N/A
Hayao,cezanne,102.jpg,Hayao_102_to_cezanne.jpg,0.2929096,0.859565258026123,0.34157878160476685,0.5424562692642212,0.8738818,N/A,N/A
Hayao,monet,102.jpg,Hayao_102_to_monet.jpg,0.275201,0.8978727459907532,0.34163913130760193,0.5276669263839722,0.92839664,N/A,N/A
Hayao,photo,102.jpg,Hayao_102_to_photo.jpg,0.29190943,0.9342725276947021,0.370494544506073,0.599174976348877,0.91185504,N/A,N/A
