epoch,loss,distill,code,code_pred_norm,code_ref_norm,cycle,struct,gram,gram_w,moment,push,nce,idt,w_cycle_eff,w_struct_eff,w_nce_eff,w_idt_eff,transfer_ratio,lr,epoch_time_sec
1,1.5058519923686982,0.2367672711634077,0.023635201989673078,0.43940022476017476,0.759190459549427,0.0,0.0,0.021282838275656104,0.4256567690521479,0.04470145638566464,0.1859496933221817,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0002,48.68154430389404
2,1.7688764065504075,0.44123085916042326,0.02402693685144186,0.6305739283561707,1.1735444355010987,0.0,0.0,0.007419642768800258,0.1483928558975458,0.00938352765282616,0.18191616244614126,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0001988303923565381,37.90095400810242
3,1.739642215371132,0.4611554718017578,0.017257610792294143,0.6987133431434631,1.3122708588838576,0.0,0.0,0.005628482024185359,0.11256964102387429,0.0052257854561321435,0.16412413962185382,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0001953503690480396,37.91637849807739
4,1.7218246454000472,0.47258769601583483,0.015386637412011623,0.8345370787382126,1.4671584141254426,0.0,0.0,0.004905947216320783,0.09811894468963146,0.004528654190944508,0.13533875677734614,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.00018964561979789495,38.05082106590271
5,1.7133576625585556,0.48339250206947326,0.015046408148482442,0.999330515563488,1.6463448005914687,0.0,0.0,0.004370186827145517,0.08740373656153679,0.004259996691253036,0.10707079395651817,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.00018185661446562003,37.98851037025452
6,1.6936507880687715,0.489110656529665,0.01433660790324211,1.1789276498556136,1.7438932621479035,0.0,0.0,0.0040369455050677065,0.08073891043663024,0.004024060692172498,0.0801853571459651,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.00017217514421272203,37.98515176773071
7,1.9053752940893174,0.4912255787849426,0.013891811636276542,1.3738875466585159,1.863469351530075,0.0,0.0,0.003827759950654581,0.07655519895255565,0.0038604077673517166,0.05221819201484323,5.751290435791016,0.0,0.0,0.0,0.0416666679084301,0.0,1.0,0.00016083959896778498,39.09234571456909
8,2.037993321418762,0.5083105865120888,0.014312838013283908,1.5676391625404358,1.8858650296926498,0.0,0.0,0.0036824664927553384,0.07364932972937822,0.003802975849248469,0.025443921266123652,4.1893321228027345,0.0,0.0,0.0,0.0833333358168602,0.0,1.0,0.00014812909747525697,38.50651741027832
9,2.114673944711685,0.5224957998096943,0.012919587497599423,1.7226096802949906,1.93476238489151,0.0,0.45418741524219514,0.0033825356315355746,0.06765071235597134,0.003429970962461084,0.0042458256854615685,3.182618007659912,0.0,0.0,0.0416666679084301,0.125,0.0,1.0,0.00013435661446562004,38.50139379501343
10,2.1833237874507905,0.5321142615377903,0.011527966079302131,1.7588353073596954,1.9803698593378067,0.0,0.4316916507482529,0.00322245524963364,0.06444910489022732,0.003350709582446143,0.00027018347909461225,2.600844745635986,0.0,0.0,0.0833333358168602,0.1666666716337204,0.0,1.0,0.00011986127417882196,38.47969603538513
