epoch,loss,distill,code,code_pred_norm,code_ref_norm,cycle,struct,gram,gram_w,moment,push,nce,idt,w_cycle_eff,w_struct_eff,w_nce_eff,w_idt_eff,transfer_ratio,lr,epoch_time_sec
1,6.551982933475125,0.393957754016243,0.08846742263744756,2.563503019752041,3.3957804191497063,0.0,0.0,0.016996717423460976,2.0396060967637646,0.04744811718582466,0.1240333538140691,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0002,112.31921696662903
2,6.938158912043417,0.6062983902551795,0.05102712938421836,1.186907151693939,2.343778540370285,0.0,0.0,0.003763861085478497,0.4516633317194959,0.026016244759923347,0.16737065328064785,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0001999923018098721,51.78570818901062
3,6.943677297202489,0.6411972475308244,0.02453237261262632,1.1108080366606354,2.057011696600145,0.0,0.0,0.001791307798421551,0.2149569356954226,0.021250164116262106,0.17611808249706862,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.00019996920845512174,50.44185137748718
