source_root,period,method,dataset_or_setting,dataset_key,resolution,variant_or_run,scope,images,clip_style,content_lpips,clip_content,ssim_y,edge_f1,musiq,hf_patch_kid,plain_kid,aggregate_art_fid,train_time_value,train_time_unit,train_time_label,infer_time_value,infer_time_unit,infer_time_label,params_m,hardware,status,source_path,source_kind,validity_class,note
G:/GitHub/Latent_Style,,,cycle_nce,cycle_nce,,epoch_0060_grid5,,,0.8103617429733276,0.48525757,,,,,,,,,,,,,,,,,Cycle-NCE/Ablate43/Ablate43_A01_ResOn_TheFilter/full_eval/epoch_0060_grid5/grid_metrics.csv,generic_csv,metric_evidence,Parsed from Cycle-NCE/Ablate43/Ablate43_A01_ResOn_TheFilter/full_eval/epoch_0060_grid5/grid_metrics.csv
G:/GitHub/Latent_Style,,,cycle_nce,cycle_nce,,epoch_0060_grid5,,,0.7864360809326172,0.5035478,,,,,,,,,,,,,,,,,Cycle-NCE/Ablate43/Ablate43_A01_ResOn_TheFilter/full_eval/epoch_0060_grid5/grid_metrics.csv,generic_csv,metric_evidence,Parsed from Cycle-NCE/Ablate43/Ablate43_A01_ResOn_TheFilter/full_eval/epoch_0060_grid5/grid_metrics.csv
G:/GitHub/Latent_Style,,,cycle_nce,cycle_nce,,epoch_0060_grid5,,,0.7631853818893433,0.5112563,,,,,,,,,,,,,,,,,Cycle-NCE/Ablate43/Ablate43_A01_ResOn_TheFilter/full_eval/epoch_0060_grid5/grid_metrics.csv,generic_csv,metric_evidence,Parsed from Cycle-NCE/Ablate43/Ablate43_A01_ResOn_TheFilter/full_eval/epoch_0060_grid5/grid_metrics.csv
G:/GitHub/Latent_Style,,,cycle_nce,cycle_nce,,epoch_0060_grid5,,,0.6105891466140747,0.5261624,,,,,,,,,,,,,,,,,Cycle-NCE/Ablate43/Ablate43_A01_ResOn_TheFilter/full_eval/epoch_0060_grid5/grid_metrics.csv,generic_csv,metric_evidence,Parsed from Cycle-NCE/Ablate43/Ablate43_A01_ResOn_TheFilter/full_eval/epoch_0060_grid5/grid_metrics.csv
G:/GitHub/Latent_Style,,,cycle_nce,cycle_nce,,epoch_0060_grid5,,,0.6641775965690613,0.49308002,,,,,,,,,,,,,,,,,Cycle-NCE/Ablate43/Ablate43_A01_ResOn_TheFilter/full_eval/epoch_0060_grid5/grid_metrics.csv,generic_csv,metric_evidence,Parsed from Cycle-NCE/Ablate43/Ablate43_A01_ResOn_TheFilter/full_eval/epoch_0060_grid5/grid_metrics.csv
G:/GitHub/Latent_Style,,,cycle_nce,cycle_nce,,epoch_0060_grid5,,,0.5832395553588867,0.46611568,,,,,,,,,,,,,,,,,Cycle-NCE/Ablate43/Ablate43_A01_ResOn_TheFilter/full_eval/epoch_0060_grid5/grid_metrics.csv,generic_csv,metric_evidence,Parsed from Cycle-NCE/Ablate43/Ablate43_A01_ResOn_TheFilter/full_eval/epoch_0060_grid5/grid_metrics.csv
G:/GitHub/Latent_Style,,,cycle_nce,cycle_nce,,epoch_0060_grid5,,,0.6918190121650696,0.41095448,,,,,,,,,,,,,,,,,Cycle-NCE/Ablate43/Ablate43_A01_ResOn_TheFilter/full_eval/epoch_0060_grid5/grid_metrics.csv,generic_csv,metric_evidence,Parsed from Cycle-NCE/Ablate43/Ablate43_A01_ResOn_TheFilter/full_eval/epoch_0060_grid5/grid_metrics.csv
G:/GitHub/Latent_Style,,,cycle_nce,cycle_nce,,epoch_0060_grid5,,,0.6866257786750793,0.44914773,,,,,,,,,,,,,,,,,Cycle-NCE/Ablate43/Ablate43_A01_ResOn_TheFilter/full_eval/epoch_0060_grid5/grid_metrics.csv,generic_csv,metric_evidence,Parsed from Cycle-NCE/Ablate43/Ablate43_A01_ResOn_TheFilter/full_eval/epoch_0060_grid5/grid_metrics.csv
G:/GitHub/Latent_Style,,,cycle_nce,cycle_nce,,epoch_0060_grid5,,,0.6202607154846191,0.38475215,,,,,,,,,,,,,,,,,Cycle-NCE/Ablate43/Ablate43_A01_ResOn_TheFilter/full_eval/epoch_0060_grid5/grid_metrics.csv,generic_csv,metric_evidence,Parsed from Cycle-NCE/Ablate43/Ablate43_A01_ResOn_TheFilter/full_eval/epoch_0060_grid5/grid_metrics.csv
G:/GitHub/Latent_Style,,,cycle_nce,cycle_nce,,epoch_0060_grid5,,,0.6281890273094177,0.37216046,,,,,,,,,,,,,,,,,Cycle-NCE/Ablate43/Ablate43_A01_ResOn_TheFilter/full_eval/epoch_0060_grid5/grid_metrics.csv,generic_csv,metric_evidence,Parsed from Cycle-NCE/Ablate43/Ablate43_A01_ResOn_TheFilter/full_eval/epoch_0060_grid5/grid_metrics.csv
