probe_family,left_style_id,right_style_id,encoded_style_code_a_vs_b_mean_abs,first_hires_block_gate1_a_vs_b_mean_abs,skip32_a_vs_b_mean_abs,content16_a_vs_b_mean_abs,adapted_code_a_vs_b_mean_abs,resolved_code_a_vs_b_mean_abs,pre_structured_style_code_map_a_vs_b_mean_abs,post_resolved_style_code_map_a_vs_b_mean_abs,structured_style_map_a_vs_b_mean_abs,style_map_a_vs_b_mean_abs,h_body_a_vs_b_mean_abs,h_fused_a_vs_b_mean_abs,h_dec_pre_mod_a_vs_b_mean_abs,h_dec_post_mod_a_vs_b_mean_abs,delta_a_vs_b_mean_abs,forward_a_vs_b_mean_abs,predict_transport_base_a_vs_b_mean_abs,integrate_a_vs_b_mean_abs,left_style_spatial_source_code_map,right_style_spatial_source_code_map,left_style_spatial_source_structured_map,right_style_spatial_source_structured_map,left_style_spatial_source_legacy_zero,right_style_spatial_source_legacy_zero,left_style_spatial_code_map_primary,right_style_spatial_code_map_primary,left_style_spatial_code_map_residual,right_style_spatial_code_map_residual,first_live_stage,first_live_stage_delta
styleid_pairwise,0,1,0.14825811982154846,0.0,0.0,0.0,0.14825811982154846,0.14825811982154846,0.0,0.0,0.0,0.0,0.0,0.015883730724453926,0.07635187357664108,0.11038520187139511,0.052870605140924454,0.052870605140924454,0.052870605140924454,0.04831796512007713,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,adapted_code_a_vs_b_mean_abs,0.14825811982154846
styleid_pairwise,0,2,0.3132592439651489,0.0,0.0,0.0,0.3132592439651489,0.3132592439651489,0.0,0.0,0.0,0.0,0.0,0.10338184237480164,0.5421685576438904,0.33218511939048767,0.1594884693622589,0.1594884693622589,0.1594884693622589,0.14557787775993347,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,adapted_code_a_vs_b_mean_abs,0.3132592439651489
styleid_pairwise,0,3,0.22441677749156952,0.0,0.0,0.0,0.22441677749156952,0.22441677749156952,0.0,0.0,0.0,0.0,0.0,0.040286242961883545,0.21351595222949982,0.14534494280815125,0.07631373405456543,0.07631373405456543,0.07631373405456543,0.07239451259374619,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,adapted_code_a_vs_b_mean_abs,0.22441677749156952
styleid_pairwise,0,4,0.10906708240509033,0.0,0.0,0.0,0.10906708240509033,0.10906708240509033,0.0,0.0,0.0,0.0,0.0,0.029012449085712433,0.1385442167520523,0.12717510759830475,0.07817021012306213,0.07817021012306213,0.07817021012306213,0.07304971665143967,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,adapted_code_a_vs_b_mean_abs,0.10906708240509033
styleid_pairwise,1,2,0.23343916237354279,0.0,0.0,0.0,0.23343916237354279,0.23343916237354279,0.0,0.0,0.0,0.0,0.0,0.09618405252695084,0.5027781128883362,0.3220931887626648,0.13495059311389923,0.13495059311389923,0.13495060801506042,0.12538374960422516,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,adapted_code_a_vs_b_mean_abs,0.23343916237354279
styleid_pairwise,1,3,0.19286486506462097,0.0,0.0,0.0,0.19286486506462097,0.19286486506462097,0.0,0.0,0.0,0.0,0.0,0.04593425244092941,0.23065081238746643,0.19299300014972687,0.09048759937286377,0.09048759937286377,0.09048759192228317,0.08444348722696304,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,adapted_code_a_vs_b_mean_abs,0.19286486506462097
styleid_pairwise,1,4,0.1473471224308014,0.0,0.0,0.0,0.1473471224308014,0.1473471224308014,0.0,0.0,0.0,0.0,0.0,0.019748808816075325,0.09173661470413208,0.10876013338565826,0.05433420091867447,0.05433420091867447,0.05433420091867447,0.05126664415001869,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,adapted_code_a_vs_b_mean_abs,0.1473471224308014
styleid_pairwise,2,3,0.2299908697605133,0.0,0.0,0.0,0.2299908697605133,0.2299908697605133,0.0,0.0,0.0,0.0,0.0,0.09515785425901413,0.4655543565750122,0.33877548575401306,0.206285297870636,0.206285297870636,0.206285297870636,0.19262629747390747,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,adapted_code_a_vs_b_mean_abs,0.2299908697605133
styleid_pairwise,2,4,0.2627597749233246,0.0,0.0,0.0,0.2627597749233246,0.2627597749233246,0.0,0.0,0.0,0.0,0.0,0.08578979223966599,0.4588877260684967,0.27155718207359314,0.11286059767007828,0.11286059767007828,0.11286059767007828,0.106448233127594,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,adapted_code_a_vs_b_mean_abs,0.2627597749233246
styleid_pairwise,3,4,0.3019239902496338,0.0,0.0,0.0,0.3019239902496338,0.3019239902496338,0.0,0.0,0.0,0.0,0.0,0.05819275230169296,0.28654882311820984,0.23887154459953308,0.14198510348796844,0.14198510348796844,0.14198510348796844,0.13351920247077942,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,adapted_code_a_vs_b_mean_abs,0.3019239902496338
