epoch,loss,semigroup,swd,moment,identity,identity_ratio,delta_tv,delta_l2,output_tv,train_num_steps,train_step_size,train_style_strength,lr,data_time_sec,transfer_time_sec,fwd_loss_time_sec,backward_time_sec,optimizer_time_sec,step_overhead_time_sec,compute_time_sec,epoch_time_sec,samples_seen,samples_per_sec,compute_samples_per_sec
1,3.6021666526794434,0.015667853876948357,0.17025719583034515,0.031471434980630875,0.01057947613298893,0.20178666710853577,0.0050318194553256035,0.007890177890658379,1.2398065328598022,1.0,1.0,0.8002132773399353,0.0002,1.7391180000377062,0.0381683999512461,97.68913150005028,45.66199680001591,0.8338577999929839,21.0843257000015,144.22315450001042,167.05160474777222,31008,185.6192884038339,215.00015103329167
2,2.788386583328247,0.05902591347694397,0.12347939610481262,0.029487641528248787,0.018741849809885025,0.195175439119339,0.016987111419439316,0.039030469954013824,1.2394555807113647,1.0,1.0,0.7990203499794006,0.00019986980580168453,1.7482547000217892,0.03882359997078311,69.00792340004773,38.72519020001346,0.7468100000151026,21.126715299909847,108.51874720004707,131.39795756340027,31008,235.98540323610786,285.73864700851016
3,2.512996196746826,0.06907890737056732,0.11052175611257553,0.028438353911042213,0.01628986746072769,0.20194785296916962,0.021573586389422417,0.052567094564437866,1.2397823333740234,1.0,1.0,0.8083638548851013,0.00019947958005998598,1.7490393999760272,0.039104299979953794,65.0470140000325,38.503419499964366,0.7437853000847099,21.132354799938184,104.33332310006153,127.21913886070251,31008,243.73691158177024,297.201307105512
4,2.38573956489563,0.07194285094738007,0.10497068613767624,0.02779298648238182,0.014492068439722061,0.1964654177427292,0.02439228445291519,0.058425985276699066,1.241567611694336,1.0,1.0,0.795013427734375,0.00019883039235653812,1.7201883000525413,0.03851129999384284,65.0306702000089,38.48186370002077,0.7344909000421467,21.17592819996935,104.28553610006566,127.18562483787537,31008,243.80113742827595,297.3374943409864
5,2.2975192070007324,0.07296250760555267,0.10183237493038177,0.027507305145263672,0.011882654391229153,0.19936786592006683,0.027134932577610016,0.06686829030513763,1.2404367923736572,1.0,1.0,0.8035288453102112,0.00019792402206971158,1.7244022000049881,0.038572100038436474,65.01576650000789,38.556357199962804,0.737848299977486,21.119700499959436,104.34854409998661,127.1964328289032,31008,243.78042143453857,297.1579552685295
6,2.24591064453125,0.07223067432641983,0.10066625475883484,0.0270540714263916,0.009200626984238625,0.20069018006324768,0.029576551169157028,0.07378336787223816,1.241010069847107,1.0,1.0,0.8011371493339539,0.00019676295349746153,1.7541599000214774,0.03869379997559008,64.75169459996687,38.51116900001216,0.7375142999735544,21.117743500082724,104.03907169992817,126.91475081443787,31008,244.32148194764858,298.0418749739903
7,2.219019889831543,0.06970024853944778,0.10016456991434097,0.026945875957608223,0.007787969894707203,0.2019156962633133,0.02996884286403656,0.07491413503885269,1.2397900819778442,1.0,1.0,0.800085723400116,0.00019535036904803964,1.7441871999908471,0.038689099998009624,67.27193490001082,38.65654040001755,0.7344164000278397,21.12474429993017,106.70158080005422,129.57453751564026,31008,239.30627571221072,290.604879210789
8,2.1686859130859375,0.07108873873949051,0.09760766476392746,0.02644861862063408,0.007819032296538353,0.1955946385860443,0.03181520104408264,0.0782432034611702,1.2410297393798828,1.0,1.0,0.7994624376296997,0.00019369014051723418,1.7410471999974106,0.03842370002894313,65.08745940000881,38.514168199963024,0.73680510001941,21.154163799928938,104.37685640002019,127.2761595249176,31008,243.62771563616658,297.07735095185336
9,2.150059461593628,0.06908471137285233,0.09707986563444138,0.026500707492232323,0.00719626247882843,0.2003999501466751,0.03267541900277138,0.08060691505670547,1.2409089803695679,1.0,1.0,0.7987939119338989,0.0001917868184760471,1.8165596999897389,0.04072350002024905,69.33416920002128,40.90885610001351,0.7966106999774638,22.305296099966654,111.0803595000325,135.2055149078369,31008,229.33975748797423,279.1492586049015
10,2.1244070529937744,0.06724540144205093,0.0957835465669632,0.02611691877245903,0.00747565645724535,0.19933563470840454,0.0338839553296566,0.08380793780088425,1.2417603731155396,1.0,1.0,0.8026311993598938,0.00018964561979789498,1.751021700034471,0.0388055999756034,66.10304949998681,39.02199819998714,0.7472392999807198,21.56664600003569,105.91109259993027,129.2328395843506,31008,239.93901317753685,292.7738656906313
