batch_size,checkpoint_dir,elapsed_sec,images,images_dir,log_path,max_iter,returncode,stage,status
4,G:\GitHub\Latent_Style\run_511\outputs\adain_7g_vgg19\checkpoints\adain,262.78,,,G:\GitHub\Latent_Style\run_511\outputs\adain_7g_vgg19\logs\adain_train.log,2000,0,train,ok
,,9.098,750,G:\GitHub\Latent_Style\run_511\outputs\adain_7g_vgg19\infer_750\images,,,,infer,ok
