epoch,loss,distill,code,code_pred_norm,code_ref_norm,cycle,struct,edge,gram,gram_w,moment,push,nce,idt,w_cycle_eff,w_struct_eff,w_edge_eff,w_nce_eff,w_idt_eff,transfer_ratio,lr,epoch_time_sec
1,12.166680908203125,0.4311139678955078,0.41724109649658203,10.722841796875,11.00647705078125,0.0,0.0,0.0,0.0170973002910614,6.838917846679688,0.042206106185913084,0.02662480354309082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0002,39.42845034599304
2,9.094887084960938,0.7255216217041016,0.33386688232421874,9.231896362304688,9.660874633789062,0.0,0.0,0.0,0.0028040361404418944,1.1216146850585937,0.0125802481174469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.00019998168784579617,29.92122769355774
3,9.810371704101563,0.7852396392822265,0.09241531372070312,2.401083679199219,7.034188232421875,0.2090381622314453,0.0,0.0,0.0012833578884601593,0.5133431243896485,0.021510159969329833,0.07775729656219482,1.921370849609375,0.0,0.8333335113525391,0.0,0.0,0.5,0.0,1.0,0.00019992675844286869,42.05433249473572
4,9.859171142578125,0.8076332855224609,0.04501636505126953,1.2204766082763672,7.085707397460937,0.1324448299407959,0.0,0.0,0.0009560501575469971,0.3824200820922852,0.019838166236877442,0.11013924598693847,0.9552230072021485,0.0,1.6666670227050782,0.0,0.0,1.0,0.0,1.0,0.00019983523296754802,41.98172616958618
5,9.92124267578125,0.8343374633789062,0.035873641967773436,1.1679454803466798,7.301920166015625,0.06825331211090088,0.0,0.0,0.0007936868071556091,0.31747480392456057,0.017001445293426513,0.11163294792175293,0.5961276245117187,0.0,2.5,0.0,0.0,1.5,0.0,1.0,0.00019970714670464716,41.966469287872314
6,9.77611328125,0.843010025024414,0.030448815822601318,1.1991654205322266,7.353287353515625,0.036971025466918946,0.0,0.0,0.0007049598544836044,0.28198394775390623,0.013681620359420776,0.11042684555053711,0.3849783706665039,0.0,3.3333340454101563,0.0,0.0,2.0,0.0,1.0,0.0001995425490338587,41.77675700187683
7,9.611658325195313,0.8403983306884766,0.029368133544921876,1.3304244995117187,7.351177978515625,0.026231703758239747,0.0,0.0,0.0006204588711261749,0.24818349838256837,0.011308155059814452,0.10575389862060547,0.2773386383056641,0.0,4.166664123535156,0.0,0.0,2.5,0.0,1.0,0.000199341503410718,42.177464723587036
8,9.483412475585938,0.8344662475585938,0.024327001571655273,1.3847947692871094,7.064186401367188,0.0219091796875,0.0,0.0,0.0005683982372283935,0.22735925674438476,0.009506697058677674,0.10379055976867675,0.22108964920043944,0.0,5.0,0.0,0.0,3.0,0.0,1.0,0.0001991040873421398,41.84870386123657
9,9.420211181640624,0.8329135131835937,0.020721893310546875,1.4456657409667968,6.850352783203125,0.020726866722106933,0.0,0.0,0.0005136475339531898,0.205459041595459,0.008009197115898132,0.09904001235961914,0.18827995300292968,0.0,5.0,0.0,0.0,3.5,0.0,1.0,0.00019883039235653807,42.123645305633545
10,9.35135009765625,0.8293426513671875,0.021232111454010008,1.5225254821777343,6.694091796875,0.019175132513046266,0.0,0.0,0.00048144400119781494,0.19257761001586915,0.0071435743570327755,0.09184576034545898,0.16312726974487304,0.0,5.0,0.0,0.0,4.0,0.0,1.0,0.0001985205239685397,42.040411949157715
11,9.266661376953126,0.8272190093994141,0.02019216775894165,1.5739935302734376,6.465429077148437,0.017972886562347412,0.0,0.0,0.0004633406549692154,0.1853361701965332,0.006682500839233398,0.08558289527893066,0.15234089851379395,0.0,5.0,0.0,0.0,4.0,0.0,1.0,0.00019817460163830687,41.909610986709595
12,9.182976684570313,0.8245891571044922,0.018419384956359863,1.6146986389160156,6.189515380859375,0.01780284762382507,0.0,0.0,0.00043965153396129607,0.17586051940917968,0.006104455590248108,0.07919125080108642,0.14283939361572265,0.0,5.0,0.0,0.0,4.0,0.0,1.0,0.00019779275872548285,41.89123511314392
13,9.100201416015626,0.8205300903320313,0.017954200506210327,1.6673297119140624,6.050557861328125,0.017958171367645263,0.0,0.0,0.00041363079100847244,0.16545230865478516,0.0054647701978683474,0.07074604988098145,0.13662896156311036,0.0,5.0,0.0,0.0,4.0,0.0,1.0,0.00019737514243777925,42.06754112243652
14,9.050160522460937,0.8197357177734375,0.018330435752868652,1.7263818359375,5.923549194335937,0.016994571685791014,0.0,0.0,0.0004014682769775391,0.1605873489379883,0.0050927734375,0.06196017265319824,0.12980731964111328,0.0,5.0,0.0,0.0,4.0,0.0,1.0,0.00019692191377422466,42.09756565093994
15,8.95923095703125,0.8151187896728516,0.01532354474067688,1.7543606567382812,5.790645141601562,0.016465762853622435,0.0,0.0,0.0003774736076593399,0.150989408493042,0.004819701313972473,0.054431524276733395,0.12439644813537598,0.0,5.0,0.0,0.0,4.0,0.0,1.0,0.00019643324746309646,41.97807788848877
16,8.93900146484375,0.8142156982421875,0.01775489091873169,1.819018096923828,5.5905078125,0.016079846620559692,0.0,0.0,0.00038019753992557526,0.15207901000976562,0.004691077172756195,0.04486117839813233,0.12191614151000976,0.0,5.0,0.0,0.0,4.0,0.0,1.0,0.00019590933189455982,41.975579500198364
17,8.902916259765625,0.8135531616210937,0.016427711248397828,1.8572933959960938,5.488836669921875,0.015738853216171265,0.0,0.0,0.0003657582774758339,0.1463033676147461,0.004446761310100555,0.0363640570640564,0.1183907699584961,0.0,5.0,0.0,0.0,4.0,0.0,1.0,0.00019535036904803958,41.97088003158569
18,8.835902709960937,0.8100160217285156,0.014080134630203247,1.908136444091797,5.463709716796875,0.015520796775817872,0.0,0.0,0.0003357074037194252,0.1342829704284668,0.0039752617478370665,0.027092292308807372,0.11656172752380371,0.0,5.0,0.0,0.0,4.0,0.0,1.0,0.0001947565744143534,42.09522366523743
19,8.798739013671875,0.8085613250732422,0.015042879581451417,1.9670692443847657,5.389613037109375,0.015151845216751099,0.0,0.0,0.0003338272497057915,0.133530855178833,0.003813520669937134,0.017006700038909913,0.1124980640411377,0.0,5.0,0.0,0.0,4.0,0.0,1.0,0.00019412817691263597,41.9884569644928
20,8.775609130859374,0.8076441192626953,0.01348965883255005,2.01856689453125,5.314544677734375,0.014975709915161133,0.0,0.0,0.0003197278082370758,0.12789116859436034,0.0035422483086586,0.007706751823425293,0.11284927368164062,0.0,5.0,0.0,0.0,4.0,0.0,1.0,0.0001934654188020863,41.985493659973145
21,8.7343115234375,0.8045654296875,0.015000191926956176,2.058968048095703,5.20677978515625,0.014841164350509644,0.0,0.0,0.0003254067897796631,0.13016268730163574,0.003609437346458435,0.002304062694311142,0.10967454910278321,0.0,5.0,0.0,0.0,4.0,0.0,1.0,0.0001927685555885722,41.952778339385986
22,8.711876831054688,0.8036225891113281,0.013896169662475586,2.072480010986328,5.137877807617188,0.01472278594970703,0.0,0.0,0.00031571831554174425,0.12628732681274413,0.0034522199630737304,0.0009998379647731782,0.10841205596923828,0.0,5.0,0.0,0.0,4.0,0.0,1.0,0.00019203785592612787,42.0631959438324
23,8.68157958984375,0.8013487243652344,0.013315441608428956,2.087045135498047,5.1261279296875,0.01516309380531311,0.0,0.0,0.0002980365976691246,0.11921463012695313,0.003123711943626404,0.0002340913750231266,0.10845451354980469,0.0,5.0,0.0,0.0,4.0,0.0,1.0,0.0001912736015133827,41.983267068862915
24,8.6515771484375,0.7997206115722656,0.012458720207214356,2.0914015197753906,5.053793029785156,0.01448622226715088,0.0,0.0,0.0002916044369339943,0.11664178848266601,0.0029497042298316954,0.00019246211275458335,0.10712166786193848,0.0,5.0,0.0,0.0,4.0,0.0,1.0,0.000190476086984961,42.10899257659912
25,8.634503784179687,0.799119873046875,0.01297156572341919,2.1004566955566406,4.998529357910156,0.01409099817276001,0.0,0.0,0.00028909701853990555,0.11563885688781739,0.002962809205055237,0.00016619756817817688,0.10483434677124023,0.0,5.0,0.0,0.0,4.0,0.0,1.0,0.00018964561979789492,41.90585422515869
26,8.609824829101562,0.7975518035888672,0.012030543088912963,2.106996612548828,4.968953552246094,0.014161398410797119,0.0,0.0,0.000277597326785326,0.1110389232635498,0.0027506881952285766,8.24993196874857e-05,0.10433941841125488,0.0,5.0,0.0,0.0,4.0,0.0,1.0,0.0001887825201130937,41.86366629600525
27,8.587249755859375,0.7957548522949218,0.010837635993957519,2.111636199951172,4.966216125488281,0.014252605438232422,0.0,0.0,0.0002665380388498306,0.10661521911621094,0.002564759850502014,3.936454188078642e-05,0.10496768951416016,0.0,5.0,0.0,0.0,4.0,0.0,1.0,0.0001878871206719157,42.20087027549744
28,8.5466259765625,0.7937236022949219,0.011311523914337158,2.1180792236328125,4.940215454101563,0.014198490381240846,0.0,0.0,0.0002606740221381187,0.10426960945129395,0.002491533011198044,4.301578737795353e-05,0.10037956237792969,0.0,5.0,0.0,0.0,4.0,0.0,1.0,0.0001869597666678902,41.93771719932556
29,8.553748779296875,0.7937575531005859,0.011272236108779907,2.121030120849609,4.908320922851562,0.01407542109489441,0.0,0.0,0.00026882776990532875,0.10753108978271485,0.0025408399105072022,7.535355165600776e-05,0.10138003349304199,0.0,5.0,0.0,0.0,4.0,0.0,1.0,0.00018600081561363874,42.11789584159851
30,8.539573974609375,0.7932687377929688,0.011053444147109985,2.1239057922363282,4.891060180664063,0.013731558322906495,0.0,0.0,0.00025756290182471275,0.10302515029907226,0.002442502677440643,2.2465132642537354e-05,0.10082988739013672,0.0,5.0,0.0,0.0,4.0,0.0,1.0,0.0001850106372030472,41.89985394477844
31,8.515955200195313,0.7916795349121094,0.012111005783081054,2.1250656127929686,4.828449096679687,0.013594835996627808,0.0,0.0,0.0002551456168293953,0.1020582675933838,0.0023367074131965637,0.00010161519050598144,0.09887743949890136,0.0,5.0,0.0,0.0,4.0,0.0,1.0,0.0001839896131687418,42.04527521133423
32,8.497454223632813,0.7905419158935547,0.010846878290176392,2.1320619201660156,4.833580322265625,0.013658512830734253,0.0,0.0,0.00023978084325790405,0.09591234207153321,0.0021409933269023896,2.8482174966484307e-05,0.0993905258178711,0.0,5.0,0.0,0.0,4.0,0.0,1.0,0.00018293813713492378,41.94493103027344
33,8.468934936523437,0.7875379943847656,0.0115998113155365,2.1314353942871094,4.836263732910156,0.013738611936569214,0.0,0.0,0.00024401990696787835,0.09760798454284668,0.0021714062988758085,4.511380568146706e-05,0.09883717536926269,0.0,5.0,0.0,0.0,4.0,0.0,1.0,0.00018185661446562,42.07851457595825
34,8.462894897460938,0.7878513336181641,0.010244883298873901,2.132454833984375,4.804649353027344,0.013568731546401978,0.0,0.0,0.0002363569848239422,0.09454278945922852,0.0020668214559555055,5.998477805405855e-05,0.09830185890197754,0.0,5.0,0.0,0.0,4.0,0.0,1.0,0.00018074546210840718,41.966548681259155
35,8.45380859375,0.7873426055908204,0.009751428365707398,2.132705078125,4.815165405273437,0.013592863082885742,0.0,0.0,0.00022810447961091996,0.09124180793762207,0.001937728375196457,2.541253110393882e-05,0.09847783088684083,0.0,5.0,0.0,0.0,4.0,0.0,1.0,0.00017960510843367076,41.98306584358215
36,8.41880859375,0.7839620971679687,0.011224961280822754,2.13293701171875,4.7919683837890625,0.013260347843170166,0.0,0.0,0.00022843604907393455,0.09137443542480468,0.0019289568066596986,4.5689791440963746e-05,0.09783031463623047,0.0,5.0,0.0,0.0,4.0,0.0,1.0,0.00017843599306946,42.01346015930176
37,8.4143896484375,0.7835556793212891,0.010623785257339478,2.1371229553222655,4.77986328125,0.01307782530784607,0.0,0.0,0.00022207094356417655,0.08882837295532227,0.0018763296306133271,2.1152016706764698e-05,0.09896269798278809,0.0,5.0,0.0,0.0,4.0,0.0,1.0,0.00017723856673200296,42.00218629837036
38,8.414981079101562,0.7832953643798828,0.010418788194656373,2.137956085205078,4.760593872070313,0.013119562864303588,0.0,0.0,0.00021971570327877999,0.08788630485534668,0.0018305885791778565,2.568736672401428e-05,0.10009249687194824,0.0,5.0,0.0,0.0,4.0,0.0,1.0,0.00017601329105194671,41.95143532752991
39,8.411756591796875,0.7835552215576171,0.01006192684173584,2.1376856994628906,4.76532470703125,0.013086689710617065,0.0,0.0,0.000217303317040205,0.08692137718200683,0.0017741067707538604,2.0427280105650425e-05,0.0991555118560791,0.0,5.0,0.0,0.0,4.0,0.0,1.0,0.00017476063839639013,42.11564087867737
40,8.369815063476562,0.7806227874755859,0.009915119409561158,2.1359591674804688,4.785277404785156,0.012748183012008666,0.0,0.0,0.00021438661962747574,0.08575465202331543,0.0017246851325035096,1.9469050457701086e-05,0.09683822631835938,0.0,5.0,0.0,0.0,4.0,0.0,1.0,0.00017348109168677727,41.96261262893677
