experiment,variant,eval_dir,relative_eval_dir,summary_path,timestamp,checkpoint,sta_clip_dir,sta_clip_style,sta_clip_content,sta_content_lpips,sta_classifier_acc,sta_fid_baseline,sta_fid,sta_delta_fid,sta_delta_fid_ratio,sta_art_fid,sta_kid_baseline,sta_kid,sta_delta_kid,sta_delta_kid_ratio,p2a_valid,p2a_clip_dir,p2a_clip_style,p2a_clip_content,p2a_classifier_acc,p2a_fid_baseline,p2a_fid,p2a_delta_fid,p2a_delta_fid_ratio,p2a_art_fid,p2a_kid_baseline,p2a_kid,p2a_delta_kid,p2a_delta_kid_ratio
CUT,root_eval,G:\GitHub\Latent_Style\final_works\CUT,CUT,G:\GitHub\Latent_Style\final_works\CUT\summary.json,2026-03-25 18:10:46,G:\GitHub\Latent_Style\Related_Works\runs\cut_5x5\infer_val_clean_5x5\fake_eval_checkpoint.pt,0.5500792562762896,0.754352012038231,0.7799807661066667,0.49365400008000004,0.8466666666666667,257.3573617553711,256.73204162597654,0.6253201293945313,-0.3241503074914364,386.1110665537762,0.0668406105041504,0.0689714064449072,-0.002130795940756798,-835133.6832805442,True,0.6933417921264966,0.7477941532929738,0.6773677923333333,0.9083333333333333,310.83110427856445,269.38597869873047,41.445125579833984,0.1283753514726399,425.17559245087637,0.1009930158033967,0.06485363841056824,0.036139377392828465,0.3800267842958126
SaMST-epoch_0100,root_eval,G:\GitHub\Latent_Style\final_works\SaMST-epoch_0100,SaMST-epoch_0100,G:\GitHub\Latent_Style\final_works\SaMST-epoch_0100\summary.json,2026-03-25 18:42:50,(reuse-only:no-checkpoint),0.5040608465174834,0.7225352675120034,0.7811549640933333,0.54192231716,0.6653333333333333,274.54498779296875,273.0458190917969,1.499168701171875,-0.008159424689246074,424.00634695009535,0.07834437695331871,0.11322214886546135,-0.034877771912142634,-700848.0923363572,True,0.6133205503225327,0.6903385077913602,0.6911983963333334,0.7583333333333334,299.3979721069336,283.3409423828125,16.057029724121094,0.055755654398138,464.84256762710976,0.12053285166621208,0.12208129838109016,-0.0015484467148780823,0.026677472095670826
Star-GAN-epoch_100000,root_eval,G:\GitHub\Latent_Style\final_works\Star-GAN-epoch_100000,Star-GAN-epoch_100000,G:\GitHub\Latent_Style\final_works\Star-GAN-epoch_100000\summary.json,2026-03-25 18:45:30,(reuse-only:no-checkpoint),0.7417695304950078,0.8283743729591371,0.6165591873199999,0.7256158608133333,0.924,274.54498779296875,246.13188720703124,28.4131005859375,0.07114285215100605,426.48643941900195,0.0780476059881039,0.11606916487216949,-0.038021558884065595,-1387808.883604437,True,0.8265657410025596,0.8393208970626195,0.5394695066666666,0.875,299.3979721069336,255.30775451660156,44.09021759033203,0.1432563166592729,449.9373406904641,0.12189257424324751,0.11761158145964146,0.004280992783606052,-0.051301642178666326
str_0.40,root_eval,G:\GitHub\Latent_Style\final_works\str_0.40,str_0.40,G:\GitHub\Latent_Style\final_works\str_0.40\summary.json,2026-03-25 18:13:10,G:\GitHub\Latent_Style\Related_Works\runs\sdedit_multi\str_0.40\fake_eval_checkpoint.pt,0.4670955584247908,0.6968130822976429,0.6727100867066668,0.5155083402327466,0.32,249.10148300170897,292.3582705688477,-43.25678756713867,-0.17234736891843247,472.3253066176928,0.06924076110124588,0.13820695742964745,-0.06896619632840156,-25560.755717657255,True,0.5846306316554546,0.6467879076798757,0.594300197,0.22499999999999998,305.9299507141113,351.16480255126953,-45.2348518371582,-0.17326924504670843,576.4619026453602,0.11341782938688993,0.15923251397907734,-0.045814684592187405,-0.7952289486563533
trial_0016,nested_full_eval,G:\GitHub\Latent_Style\final_works\trial_0016\full_eval\epoch_0060,full_eval\epoch_0060,G:\GitHub\Latent_Style\final_works\trial_0016\full_eval\epoch_0060\summary.json,2026-03-25 18:15:17,(reuse-only:no-checkpoint),0.4420271753768126,0.7023131265640259,0.7879049946266667,0.46803530909333335,0.26266666666666666,249.10148300170897,287.45000427246094,-38.34852127075195,-0.3934439976567261,426.8312868859744,0.06936866030097008,0.11286254017380998,-0.0434938798728399,-694752.3938583091,True,0.5421254556626082,0.664123771339655,0.7308586908333334,0.225,305.9299507141113,304.2625198364258,1.6674308776855469,0.008834246423205438,464.6407575006479,0.113540418446064,0.1307060457766056,-0.01716562733054161,-0.15322219224512246
trial_0019,nested_full_eval,G:\GitHub\Latent_Style\final_works\trial_0019\full_eval\epoch_0060,full_eval\epoch_0060,G:\GitHub\Latent_Style\final_works\trial_0019\full_eval\epoch_0060\summary.json,2026-03-25 18:17:34,(reuse-only:no-checkpoint),0.45750012283772235,0.7086427150964737,0.7776979869333335,0.48388764347999996,0.2813333333333334,249.10148300170897,289.65355590820315,-40.55207290649414,-0.40600908357225135,435.2697875008898,0.06927236318588256,0.11628438754472882,-0.047012024358846244,-732525.4758973143,True,0.566076463709275,0.6753774459163349,0.7110056266666666,0.2583333333333333,305.9299507141113,311.2969741821289,-5.367023468017578,-0.012437925882278572,481.831147413365,0.11273727472871542,0.13873128220438957,-0.025994007475674152,-0.23607755746185496
trial_0044,nested_full_eval,G:\GitHub\Latent_Style\final_works\trial_0044\full_eval\epoch_0060,full_eval\epoch_0060,G:\GitHub\Latent_Style\final_works\trial_0044\full_eval\epoch_0060\summary.json,2026-03-25 18:19:49,(reuse-only:no-checkpoint),0.3740233878654739,0.6852041941483816,0.8459222174133333,0.4180116234133333,0.268,249.10148300170897,274.3146655273438,-25.213182525634764,-0.3153257959372662,392.6189926273102,0.06917875997722149,0.09506307532545179,-0.025884315348230304,-593349.8419976176,True,0.4439617216587066,0.6222403801977634,0.8037172544166667,0.175,305.9299507141113,295.48368072509766,10.446269989013672,0.03463956704001443,438.8524741192839,0.11335572507232428,0.11204229667782784,0.0013134283944964409,-0.010866198113059878
