batch_size,checkpoint_dir,elapsed_sec,images,images_dir,log_path,max_iter,returncode,save_interval,stage,status,train_continue
2,G:\GitHub\Latent_Style\Related_Works\run_511\outputs\review_baseline_suite_full4g\aesfa\checkpoints\aesfa,6607.595,,,G:\GitHub\Latent_Style\Related_Works\run_511\outputs\review_baseline_suite_full4g\aesfa\logs\aesfa_train.log,16000,0,2000,train,ok,off
,,40.255,750,G:\GitHub\Latent_Style\Related_Works\run_511\outputs\review_baseline_suite_full4g\aesfa\infer_750\images,,,,,infer,ok,
