batch_size,checkpoint_dir,elapsed_sec,images,images_dir,log_path,max_iter,returncode,stage,status
1,G:\GitHub\Latent_Style\Related_Works\run_511\outputs\aespa_smoke_debug2\checkpoints\aespa,10.01,,,G:\GitHub\Latent_Style\Related_Works\run_511\outputs\aespa_smoke_debug2\logs\aespa_train.log,1,0,train,ok
,,53.209,0,G:\GitHub\Latent_Style\Related_Works\run_511\outputs\aespa_smoke_debug2\infer_750\images,,,,infer,failed
