src_style,tgt_style,src_image,gen_image,content_lpips,style_lpips,clip_style,clip_content,pred_style,class_correct
monet,photo,00444.jpg,monet_00444_to_photo.jpg,0.0,0.0,0.0,0.0,N/A,N/A
monet,photo,00286.jpg,monet_00286_to_photo.jpg,0.0,0.0,0.0,0.0,N/A,N/A
monet,photo,00092.jpg,monet_00092_to_photo.jpg,0.0,0.0,0.0,0.0,N/A,N/A
monet,photo,01208.jpg,monet_01208_to_photo.jpg,0.0,0.0,0.0,0.0,N/A,N/A
monet,photo,00756.jpg,monet_00756_to_photo.jpg,0.0,0.0,0.0,0.0,N/A,N/A
monet,photo,00278.jpg,monet_00278_to_photo.jpg,0.0,0.0,0.0,0.0,N/A,N/A
monet,photo,00786.jpg,monet_00786_to_photo.jpg,0.0,0.0,0.0,0.0,N/A,N/A
monet,photo,00389.jpg,monet_00389_to_photo.jpg,0.0,0.0,0.0,0.0,N/A,N/A
monet,photo,00812.jpg,monet_00812_to_photo.jpg,0.0,0.0,0.0,0.0,N/A,N/A
monet,photo,00542.jpg,monet_00542_to_photo.jpg,0.0,0.0,0.0,0.0,N/A,N/A
monet,photo,00291.jpg,monet_00291_to_photo.jpg,0.0,0.0,0.0,0.0,N/A,N/A
monet,photo,00075.jpg,monet_00075_to_photo.jpg,0.0,0.0,0.0,0.0,N/A,N/A
monet,photo,01059.jpg,monet_01059_to_photo.jpg,0.0,0.0,0.0,0.0,N/A,N/A
monet,photo,01039.jpg,monet_01039_to_photo.jpg,0.0,0.0,0.0,0.0,N/A,N/A
monet,photo,00282.jpg,monet_00282_to_photo.jpg,0.0,0.0,0.0,0.0,N/A,N/A
monet,photo,00677.jpg,monet_00677_to_photo.jpg,0.0,0.0,0.0,0.0,N/A,N/A
monet,photo,00959.jpg,monet_00959_to_photo.jpg,0.0,0.0,0.0,0.0,N/A,N/A
monet,photo,00018.jpg,monet_00018_to_photo.jpg,0.0,0.0,0.0,0.0,N/A,N/A
monet,monet,01155.jpg,monet_01155_to_monet.jpg,0.0,0.0,0.0,0.0,N/A,N/A
