row_id,transport_stats_mode,noise_projection_mode,status,transfer_clip_style,transfer_content_lpips,eval_wall_total_sec,generation_sec,vae_decode_sec,gpu_vram_mean_gb,gpu_vram_peak_gb,gpu_util_mean,gpu_power_mean_w,base_structural_drift_step50,fiber_energy_ratio_step50,low_freq_leak_step50,training_bridge_noise_projection_active_step50,training_bridge_noise_projection_pre_rms_step50,training_bridge_noise_projection_post_rms_step50,transport_stats_active_step50,transport_stats_bank_loaded_step50,notes
terminal_affine_control,terminal_affine,none,finished,0.6953568080,0.7060420503,223.8001,120.5082,57.2187,2.5644,6.6367,35.2931,68.4647,0.0462601893,0.3926540017,1.9016907215,0.0,0.0,0.0,1.0,1.0,"authoritative matched control for combo round; retained stats-track line with bridge-noise projection off"
terminal_affine_plus_bridge_vertical,terminal_affine,pure_vertical_flow,finished,0.6997729678,0.7068009330,212.6066,115.2553,57.0435,2.6642,6.6367,40.1887,72.6857,0.0439382866,0.4010623395,1.8533512354,1.0,1.0000200272,1.0000200272,1.0,1.0,"soft positive combo: style +0.00442 with slightly worse LPIPS (+0.00076) and modestly cleaner structure-side probes"
