family,role,train_epoch_wall_sec,train_avg_step_sec,train_ot_cost,train_ot_target_gini,train_ot_target_max_mass,train_ot_source_truncation,train_ot_target_truncation,train_fiber_energy_ratio,train_low_freq_leak,eval_clip_style,eval_lpips,eval_generated_rank,eval_generated_offdiag_cos,decision
self_affinity_gw_mix,control,88.2321,1.4955,2.7054,0.0594,0.3531,0.6472,0.6472,0.4274,3.5281,0.6750783222,0.7145172429,1.0312736877,0.9800403682,retained_control
self_affinity_gw_structure_only,candidate,86.9012,1.4729,2.0086,0.1140,0.3881,0.4908,0.4854,0.4198,3.5900,0.6595667344,0.7236243499,1.0207442451,0.9863147004,negative_for_promotion
