row_id,noise_projection_mode,status,transfer_clip_style,transfer_content_lpips,eval_wall_total_sec,generation_sec,vae_decode_sec,gpu_vram_mean_gb,gpu_vram_peak_gb,gpu_util_mean,gpu_power_mean_w,ot_cost_step50,ot_target_gini_step50,ot_target_max_mass_step50,base_structural_drift_step50,fiber_energy_ratio_step50,low_freq_leak_step50,training_bridge_noise_projection_active_step50,training_bridge_noise_projection_pre_rms_step50,training_bridge_noise_projection_post_rms_step50,notes
control_none,none,finished,0.6585729646,0.7843502393,215.0409,114.3811,57.1879,2.5387,6.4912,35.7530,69.2563,2.5690207481,0.0455914959,0.3438047767,0.0512612425,0.4132477939,2.0018465519,0.0,0.0,0.0,"authoritative control; bridge-noise projection inactive and transfer surface is weak on this matched lane"
candidate_vertical,pure_vertical_flow,finished,0.6257772675,0.7514356523,215.4122,118.0482,56.8704,2.6475,6.4961,38.3165,72.6741,2.5690219402,0.0455913767,0.3438048959,0.0417448021,0.4071270227,1.8064979315,1.0,1.0000200272,1.0000200272,"authoritative candidate; improves LPIPS and structure-side probes but loses style by -0.03280, so geometry-positive but frontier-negative"
